kept_index,curve_id,doi,doi_dir,top_dir,figure_folder,figure_label,figure_short,panel_letter,series_id,legend_hint,csv_path,max_x_hours,abs_max_pce,pce_at_200h,norm_pce_at_200h,delta_pce_rel_pct,max_pce_source,max_pce_bin,max_pce_bin_index,max_pce_bin_absolute,max_pce_bin_absolute_index,som_cluster_id,som_coord
1226,1251,10.1021/acs.jpcc.0c02628,10.1021_acs.jpcc.0c02628,x_time_h,Fig6_A_stability_performance_curve_pce_optimized_structure,Fig6_A,Fig6,_A,Series_1,SnO₂,x_time_h/10.1021_acs.jpcc.0c02628/Fig6_A_stability_performance_curve_pce_optimized_structure/accepted/10.1021_acs.jpcc.0c02628__Fig6__A__stability_performance_curve_pce_optimized_structure__SnO₂__Series_1.csv,1040.9778934238198,1.0126386226381563,0.9257609239983424,0.9140589237213135,8.594107627868652,pre-normalised,Q4,3,n/a,-1,0,"(0,0)"
1227,1252,10.1021/acs.jpcc.0c09606,10.1021_acs.jpcc.0c09606,x_time_h,Fig7_A_stability_performance_curve_pce,Fig7_A,Fig7,_A,Series_1,Control,x_time_h/10.1021_acs.jpcc.0c09606/Fig7_A_stability_performance_curve_pce/accepted/10.1021_acs.jpcc.0c09606__Fig7__A__stability_performance_curve_pce__Control__Series_1.csv,2157.4454881778383,1.0348272728892953,1.0024629036427792,0.9676125049591064,3.2387495040893555,pre-normalised,Q4,3,n/a,-1,0,"(0,0)"
1228,1253,10.1021/acs.jpcc.0c09794,10.1021_acs.jpcc.0c09794,x_time_h,Fig1_B_stability_performance_curve_pce,Fig1_B,Fig1,_B,Series_1,Pristine,x_time_h/10.1021_acs.jpcc.0c09794/Fig1_B_stability_performance_curve_pce/accepted/10.1021_acs.jpcc.0c09794__Fig1__B__stability_performance_curve_pce__Pristine__Series_1.csv,985.3114288512152,16.35658384879112,14.926819533681499,0.9238704442977905,7.612955570220947,absolute,Q5,4,Q2,1,0,"(0,0)"
1229,1254,10.1021/acs.jpcc.0c10805,10.1021_acs.jpcc.0c10805,x_time_h,Fig5_F_stability_performance_curve_pce,Fig5_F,Fig5,_F,Series_1,Control,x_time_h/10.1021_acs.jpcc.0c10805/Fig5_F_stability_performance_curve_pce/accepted/10.1021_acs.jpcc.0c10805__Fig5__F__stability_performance_curve_pce__Control__Series_1.csv,666.4096408628352,1.0051133332827056,0.950098684316772,0.9569523334503174,4.304766654968262,pre-normalised,Q4,3,n/a,-1,0,"(0,0)"
1230,1255,10.1021/acs.jpcc.1c04343,10.1021_acs.jpcc.1c04343,x_time_h,Fig5_A_stability_performance_curve_pce,Fig5_A,Fig5,_A,Series_1,Control,x_time_h/10.1021_acs.jpcc.1c04343/Fig5_A_stability_performance_curve_pce/accepted/10.1021_acs.jpcc.1c04343__Fig5__A__stability_performance_curve_pce__Control__Series_1.csv,287.1361604302222,0.9983692380331217,0.3804765848806003,0.38062238693237305,61.93775939941406,pre-normalised,Q2,1,n/a,-1,1,"(0,1)"
1231,1256,10.1021/acs.jpcc.1c04343,10.1021_acs.jpcc.1c04343,x_time_h,Fig5_A_stability_performance_curve_pce,Fig5_A,Fig5,_A,Series_3,PEAI-2D_3D,x_time_h/10.1021_acs.jpcc.1c04343/Fig5_A_stability_performance_curve_pce/accepted/10.1021_acs.jpcc.1c04343__Fig5__A__stability_performance_curve_pce__PEAI-2D_3D__Series_3.csv,282.76725964344433,1.006951080438018,0.7752413355058223,0.7787503600120544,22.124963760375977,pre-normalised,Q4,3,n/a,-1,2,"(1,0)"
1232,1257,10.1021/acs.jpcc.1c04343,10.1021_acs.jpcc.1c04343,x_time_h,Fig5_B_stability_performance_curve_pce,Fig5_B,Fig5,_B,Series_1,PEAI-2D_3D,x_time_h/10.1021_acs.jpcc.1c04343/Fig5_B_stability_performance_curve_pce/accepted/10.1021_acs.jpcc.1c04343__Fig5__B__stability_performance_curve_pce__PEAI-2D_3D__Series_1.csv,1329.775217204811,1.005368907550306,0.976819739193509,0.9771353006362915,2.2864699363708496,pre-normalised,Q4,3,n/a,-1,0,"(0,0)"
1233,1258,10.1021/acs.jpcc.1c04343,10.1021_acs.jpcc.1c04343,x_time_h,Fig5_B_stability_performance_curve_pce,Fig5_B,Fig5,_B,Series_3,Control,x_time_h/10.1021_acs.jpcc.1c04343/Fig5_B_stability_performance_curve_pce/accepted/10.1021_acs.jpcc.1c04343__Fig5__B__stability_performance_curve_pce__Control__Series_3.csv,829.5904952846789,0.9996590738789467,0.7541362260104914,0.771663248538971,22.833675384521484,pre-normalised,Q2,1,n/a,-1,2,"(1,0)"
1234,1259,10.1021/acs.jpclett.1c01074,10.1021_acs.jpclett.1c01074,x_time_h,Fig4_C_stability_performance_curve_pce,Fig4_C,Fig4,_C,Series_1,Control,x_time_h/10.1021_acs.jpclett.1c01074/Fig4_C_stability_performance_curve_pce/accepted/10.1021_acs.jpclett.1c01074__Fig4__C__stability_performance_curve_pce__Control__Series_1.csv,997.693387008712,1.0048962368373116,0.72366954078799,0.7320863008499146,26.791370391845703,pre-normalised,Q4,3,n/a,-1,2,"(1,0)"
1235,1260,10.1021/acs.jpclett.1c02371,10.1021_acs.jpclett.1c02371,x_time_h,Fig5_A_stability_performance_curve_pce,Fig5_A,Fig5,_A,Series_1,TiO₂,x_time_h/10.1021_acs.jpclett.1c02371/Fig5_A_stability_performance_curve_pce/accepted/10.1021_acs.jpclett.1c02371__Fig5__A__stability_performance_curve_pce__TiO₂__Series_1.csv,988.910817242561,0.9384973488761392,0.5895462874532332,0.625140368938446,37.4859619140625,pre-normalised,Q1,0,n/a,-1,1,"(0,1)"
