drop_fraction,repeat,n,n_clusters,noise_fraction,cluster_sizes,balance,dbcv,silhouette,davies_bouldin,calinski_harabasz,ari,ari_assigned,vi,common_assigned_fraction,n_overlap
0.1,4,79,2,0.0379746835443038,"[10, 66]",0.15151515151515152,0.6349437117535826,0.8166739464226386,0.3750708355751545,339.86407829873957,0.9165232940921468,1.0,0.2494515838427227,0.8987341772151899,79
0.1,5,79,2,0.06329113924050633,"[9, 65]",0.13846153846153847,0.5948353939766954,0.7405328393725245,0.4322158935463249,214.83074988680409,0.9749831023433304,1.0,0.13950801797363432,0.8987341772151899,79
0.1,6,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,7,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,8,79,2,0.08860759493670886,"[7, 65]",0.1076923076923077,0.569623330814714,0.7278933161756406,0.39343980169287085,165.23402568561826,0.990156145509044,1.0,0.07449336098823167,0.8987341772151899,79
0.1,9,79,2,0.0759493670886076,"[65, 8]",0.12307692307692308,0.5801361991995277,0.740033832488034,0.46663789156840035,184.3709362585158,0.9818215252572235,1.0,0.11389066220127697,0.8987341772151899,79
0.1,10,79,2,0.06329113924050633,"[8, 66]",0.12121212121212122,0.6919896675202883,0.9102731194943614,0.17726950468732547,1212.0108096605875,0.9167665557381018,1.0,0.2971448573371538,0.8860759493670886,79
0.1,11,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5750269282856535,0.7455983508991432,0.4530282871643556,146.24185248551314,0.9697025420953725,1.0,0.210576358651122,0.8734177215189873,79
0.1,12,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,13,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,14,79,2,0.08860759493670886,"[7, 65]",0.1076923076923077,0.5240913565697667,0.726402169934541,0.3889849176573632,172.05816445147767,0.990156145509044,1.0,0.07449336098823167,0.8987341772151899,79
0.1,15,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5361359930263895,0.7088922314833193,0.3734479714013169,146.8873943531527,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
0.1,16,79,2,0.8734177215189873,"[5, 5]",1.0,0.03974935418825289,0.5211126499717789,0.6720274860959298,16.857813602840356,-0.13403361488865453,,1.0025494014140182,0.12658227848101267,79
0.1,17,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.6273339048328741,0.74535932601494,0.341041729083268,175.95143897826347,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
0.1,18,79,2,0.06329113924050633,"[8, 66]",0.12121212121212122,0.5907822168201865,0.7305650654577016,0.43509216875983786,145.08931276132168,0.9275560762905701,1.0,0.21370594933704423,0.8987341772151899,79
0.1,19,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,20,79,2,0.08860759493670886,"[6, 66]",0.09090909090909091,0.48441098058702564,0.7578621780972293,0.4080671326977845,125.94111439592119,0.9275982738422909,1.0,0.24486790737990638,0.8860759493670886,79
0.1,21,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,22,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,23,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5409107253630386,0.7570939433825394,0.3401667832552625,193.32212447222577,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
0.1,24,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.4037683619911811,0.6875561417137676,0.47652200982385307,111.04765475627461,0.9818215252572235,1.0,0.14474755805694417,0.8860759493670886,79
