drop_fraction,repeat,cp_f1,cp_count,cp_times,sample_id,cluster
0.1,7,1.0,1,[48.703090835164716],S0007,1
0.1,8,0.0,1,[97.40618167032946],S0007,1
0.1,9,1.0,1,[48.703090835164716],S0007,1
0.1,10,0.0,1,[77.92494533626356],S0007,1
0.1,11,1.0,1,[48.703090835164716],S0007,1
0.1,12,0.0,1,[77.92494533626356],S0007,1
0.1,13,1.0,1,[68.18432716923061],S0007,1
0.1,14,1.0,1,[48.703090835164716],S0007,1
0.1,15,1.0,1,[48.703090835164716],S0007,1
0.1,16,1.0,1,[48.703090835164716],S0007,1
0.1,17,1.0,1,[68.18432716923061],S0007,1
0.1,18,1.0,1,[68.18432716923061],S0007,1
0.1,19,1.0,1,[48.703090835164716],S0007,1
0.1,20,1.0,1,[48.703090835164716],S0007,1
0.1,21,1.0,1,[48.703090835164716],S0007,1
0.1,22,1.0,1,[58.443709002197664],S0007,1
0.1,23,1.0,1,[68.18432716923061],S0007,1
0.1,24,1.0,1,[48.703090835164716],S0007,1
0.1,25,1.0,1,[68.18432716923061],S0007,1
0.1,26,1.0,1,[48.703090835164716],S0007,1
0.1,27,0.0,1,[77.92494533626356],S0007,1
0.1,28,0.0,1,[77.92494533626356],S0007,1
0.1,29,1.0,1,[48.703090835164716],S0007,1
0.1,30,1.0,1,[68.18432716923061],S0007,1
0.1,31,1.0,1,[68.18432716923061],S0007,1
0.1,32,1.0,1,[48.703090835164716],S0007,1
0.1,33,1.0,1,[48.703090835164716],S0007,1
0.1,34,0.0,1,[97.40618167032946],S0007,1
0.1,35,1.0,1,[48.703090835164716],S0007,1
0.1,36,1.0,1,[48.703090835164716],S0007,1
0.1,37,1.0,1,[48.703090835164716],S0007,1
0.1,38,1.0,1,[48.703090835164716],S0007,1
0.1,39,1.0,1,[48.703090835164716],S0007,1
0.1,40,1.0,1,[48.703090835164716],S0007,1
0.1,41,1.0,1,[68.18432716923061],S0007,1
0.1,42,1.0,1,[58.443709002197664],S0007,1
0.1,43,1.0,1,[48.703090835164716],S0007,1
0.1,44,1.0,1,[58.443709002197664],S0007,1
0.1,45,1.0,1,[48.703090835164716],S0007,1
0.1,46,1.0,1,[48.703090835164716],S0007,1
0.1,47,1.0,1,[48.703090835164716],S0007,1
0.1,48,1.0,1,[48.703090835164716],S0007,1
0.1,49,1.0,1,[68.18432716923061],S0007,1
0.05,0,1.0,1,[68.18432716923064],S0008,-1
0.05,1,1.0,1,[48.703090835164744],S0008,-1
0.05,2,1.0,1,[68.18432716923064],S0008,-1
0.05,3,1.0,1,[48.703090835164744],S0008,-1
0.05,4,1.0,1,[48.703090835164744],S0008,-1
0.05,5,1.0,1,[48.703090835164744],S0008,-1
