ari,ari_assigned,vi,common_assigned_fraction,cluster_0_jaccard,cluster_1_jaccard,repeat,n_unique,n_clusters,noise_fraction,candidate_id,cluster_2_jaccard,cluster_3_jaccard,cluster_4_jaccard
0.9002383169457553,1.0,0.1252199054702371,0.9591836734693877,0.9767441860465116,1.0,27,49,2,0.02531645569620253,300h__robust__full__000,,,
,,0.7068211651848291,0.0,0.0,0.0,28,46,0,1.0,300h__robust__full__000,,,
-0.12325037207821815,,1.175198679763484,0.32075471698113206,0.3181818181818182,0.0,29,53,2,0.7088607594936709,300h__robust__full__000,,,
0.9723839359806501,1.0,0.14827726166417876,0.8703703703703703,1.0,0.6666666666666666,30,54,2,0.10126582278481013,300h__robust__full__000,,,
0.9043184378520466,1.0,0.2431199303936631,0.9,0.975609756097561,0.8333333333333334,31,50,2,0.05063291139240506,300h__robust__full__000,,,
0.3626144004898174,0.7381621187800963,0.9232733916843812,0.6521739130434783,0.6857142857142857,0.8,32,46,3,0.27848101265822783,300h__robust__full__000,,,
0.9161666112322118,1.0,0.1350399903087599,0.9230769230769231,0.9772727272727273,1.0,33,52,2,0.0759493670886076,300h__robust__full__000,,,
0.10168390076429476,,0.9805426232888418,0.6226415094339622,0.6458333333333334,0.0,34,53,2,0.3291139240506329,300h__robust__full__000,,,
0.3922604841459257,,0.8263684860139879,0.7391304347826086,0.7948717948717948,0.0,35,46,2,0.21518987341772153,300h__robust__full__000,,,
0.894882252335219,1.0,0.2527290398930262,0.875,0.975,0.75,36,48,2,0.08860759493670886,300h__robust__full__000,,,
,,0.4140483413593772,0.0,0.0,0.0,37,55,0,1.0,300h__robust__full__000,,,
0.987696208195071,1.0,0.08079188754655875,0.9555555555555556,1.0,0.75,38,45,2,0.012658227848101266,300h__robust__full__000,,,
0.9806466302367942,1.0,0.11061766627996517,0.8235294117647058,1.0,0.8,39,51,2,0.1518987341772152,300h__robust__full__000,,,
0.9714786837542104,1.0,0.1953555866641007,0.8888888888888888,1.0,0.3333333333333333,40,54,2,0.06329113924050633,300h__robust__full__000,,,
0.8905737274324348,,0.28833439934220584,0.8301886792452831,0.9772727272727273,0.0,41,53,2,0.10126582278481013,300h__robust__full__000,,,
0.8596304662715959,0.8218674187022131,0.27908269022077126,0.8301886792452831,0.9523809523809523,0.75,42,53,2,0.17721518987341772,300h__robust__full__000,,,
0.5614249073529882,0.488356280809111,0.8495217907229733,0.8269230769230769,0.8636363636363636,0.2857142857142857,43,52,2,0.12658227848101267,300h__robust__full__000,,,
,,0.5242006217060988,0.0,0.0,0.0,44,53,0,1.0,300h__robust__full__000,,,
,,0.4563344322932884,0.0,0.0,0.0,45,48,0,1.0,300h__robust__full__000,,,
0.8862561909049977,1.0,0.12782865350086614,0.9583333333333334,0.9767441860465116,1.0,46,48,2,0.02531645569620253,300h__robust__full__000,,,
0.9607932788478025,1.0,0.18243346563801977,0.8571428571428571,1.0,0.5,47,49,2,0.10126582278481013,300h__robust__full__000,,,
0.2898346054877362,0.6956653073553843,0.9557426466789245,0.6458333333333334,0.65,0.6,48,48,3,0.25316455696202533,300h__robust__full__000,,,
,,0.6700035828793006,0.0,0.0,0.0,49,51,0,1.0,300h__robust__full__000,,,
,,0.7146218187514509,0.0,0.0,0.0,0,96,0,1.0,full_duration__robust__0.9__005,,,
0.7202640429905776,0.5072046109510087,0.6614424192845735,0.23404255319148937,0.5714285714285714,0.6111111111111112,1,94,2,0.7207792207792207,full_duration__robust__0.9__005,,,
,,0.6779164291087703,0.0,0.0,0.0,2,99,0,1.0,full_duration__robust__0.9__005,,,
,,0.7072714207854598,0.0,0.0,0.0,3,95,0,1.0,full_duration__robust__0.9__005,,,
,,0.7638192103232446,0.0,0.0,0.0,4,94,0,1.0,full_duration__robust__0.9__005,,,
0.6865321727718695,1.0,0.5446588597599484,0.18811881188118812,0.7272727272727273,0.6470588235294118,5,101,2,0.7727272727272727,full_duration__robust__0.9__005,,,
0.8821402551398886,0.8250565753080211,0.3280689094643543,0.22549019607843138,0.7777777777777778,0.8333333333333334,6,102,2,0.7467532467532467,full_duration__robust__0.9__005,,,
0.07933357096718038,,1.1628587732886466,0.23655913978494625,0.10638297872340426,0.3617021276595745,7,93,2,0.36363636363636365,full_duration__robust__0.9__005,,,
0.047160670382649005,,1.429768890922333,0.22826086956521738,0.14285714285714285,0.3409090909090909,8,92,3,0.42207792207792205,full_duration__robust__0.9__005,,,
,,0.7166341521021714,0.0,0.0,0.0,9,99,0,1.0,full_duration__robust__0.9__005,,,
0.7976785578480355,1.0,0.4126041469298438,0.20909090909090908,0.875,0.7619047619047619,10,110,2,0.7662337662337663,full_duration__robust__0.9__005,,,
0.8391239043798105,0.8261059735066233,0.42131116119308376,0.24731182795698925,0.8181818181818182,0.7647058823529411,11,93,2,0.7337662337662337,full_duration__robust__0.9__005,,,
0.7396477905125151,1.0,0.45493128578768527,0.27956989247311825,0.8333333333333334,0.7777777777777778,12,93,2,0.6363636363636364,full_duration__robust__0.9__005,,,
-0.12794077303234033,,1.2698733000261873,0.24210526315789474,0.09230769230769231,0.26153846153846155,13,95,2,0.22727272727272727,full_duration__robust__0.9__005,,,
0.2683364207212059,-0.11279826464208242,1.4315731091657562,0.2159090909090909,0.16666666666666666,0.35714285714285715,14,88,3,0.525974025974026,full_duration__robust__0.9__005,,,
,,0.6624529206583838,0.0,0.0,0.0,15,92,0,1.0,full_duration__robust__0.9__005,,,
0.6494646490236751,0.6215993404781534,0.749801294663338,0.1978021978021978,0.7142857142857143,0.5555555555555556,16,91,3,0.7272727272727273,full_duration__robust__0.9__005,,,
0.5043319791116935,1.0,0.689925569224922,0.16842105263157894,0.8888888888888888,0.36363636363636365,17,95,2,0.7987012987012987,full_duration__robust__0.9__005,,,
0.09924058685539343,,1.1433884898290783,0.25806451612903225,0.08333333333333333,0.4166666666666667,18,93,2,0.4025974025974026,full_duration__robust__0.9__005,,,
,,0.5859748568853981,0.0,0.0,0.0,19,95,0,1.0,full_duration__robust__0.9__005,,,
0.8465664529130553,1.0,0.33788203936200434,0.21875,0.875,0.8235294117647058,20,96,2,0.7467532467532467,full_duration__robust__0.9__005,,,
,,0.6624095034987045,0.0,0.0,0.0,21,101,0,1.0,full_duration__robust__0.9__005,,,
,,0.5824689381398442,0.0,0.0,0.0,22,92,0,1.0,full_duration__robust__0.9__005,,,
0.4109750449512122,0.5600430802369413,1.202133976348113,0.20202020202020202,0.4166666666666667,0.5217391304347826,23,99,3,0.6168831168831169,full_duration__robust__0.9__005,,,
,,0.7029189307735104,0.0,0.0,0.0,24,96,0,1.0,full_duration__robust__0.9__005,,,
0.552734106430765,1.0,0.7034776798349214,0.21568627450980393,0.625,0.6071428571428571,25,102,2,0.6103896103896104,full_duration__robust__0.9__005,,,
-0.12770818732719702,,1.183863391031606,0.25263157894736843,0.056338028169014086,0.28169014084507044,26,95,2,0.21428571428571427,full_duration__robust__0.9__005,,,
0.31664779405841464,,1.139035337495054,0.1702127659574468,0.0,0.5833333333333334,27,94,3,0.5584415584415584,full_duration__robust__0.9__005,,,
0.23803193632858732,0.7414448669201521,1.2777359058190139,0.18888888888888888,0.23076923076923078,0.43333333333333335,28,90,2,0.6298701298701299,full_duration__robust__0.9__005,,,
,,0.6652942009167648,0.0,0.0,0.0,29,95,0,1.0,full_duration__robust__0.9__005,,,
-0.10258972405154891,,0.9658320549125075,0.23333333333333334,0.04878048780487805,0.2073170731707317,30,90,2,0.025974025974025976,full_duration__robust__0.9__005,,,
0.7861545153926404,1.0,0.3897143038100197,0.2376237623762376,1.0,0.7391304347826086,31,101,2,0.7142857142857143,full_duration__robust__0.9__005,,,
0.6930365661004564,1.0,0.5311170188786759,0.21782178217821782,1.0,0.6086956521739131,32,101,2,0.7077922077922078,full_duration__robust__0.9__005,,,
0.7449831612504002,1.0,0.3816961178744691,0.2268041237113402,1.0,0.6818181818181818,33,97,2,0.7207792207792207,full_duration__robust__0.9__005,,,
,,0.7262795138741638,0.0,0.0,0.0,34,100,0,1.0,full_duration__robust__0.9__005,,,
0.7846880854611995,0.75,0.3924420572662488,0.16161616161616163,0.7142857142857143,0.6666666666666666,35,99,2,0.8311688311688312,full_duration__robust__0.9__005,,,
0.6425080781570354,1.0,0.6552395486505747,0.25555555555555554,0.8888888888888888,0.625,36,90,2,0.6623376623376623,full_duration__robust__0.9__005,,,
