ari,ari_assigned,vi,common_assigned_fraction,cluster_0_jaccard,cluster_1_jaccard,repeat,n_unique,n_clusters,noise_fraction
0.3773865325254373,0.6044517800242991,0.9141743522420329,0.7142857142857143,0.6,0.725,23,49,3,0.25316455696202533
0.005445476849047809,-0.12796386902521642,1.5660919839192018,0.7551020408163265,0.1724137931034483,0.5,24,49,3,0.16455696202531644
-0.09123931201339583,,1.1750338926663042,0.38461538461538464,0.0,0.34782608695652173,25,52,2,0.5822784810126582
0.3473618896087464,0.5331205278718025,0.8918983249719483,0.7450980392156863,0.75,0.7209302325581395,26,51,3,0.22784810126582278
1.0,1.0,5.551115123125783e-16,0.9591836734693877,1.0,1.0,27,49,2,0.06329113924050633
-0.13512943282969306,,1.2412840437150934,0.30434782608695654,0.0,0.34285714285714286,28,46,2,0.6329113924050633
-0.07673118315039461,,1.1857540554077635,0.39622641509433965,0.0,0.4090909090909091,29,53,2,0.620253164556962
0.36084949317184084,0.7495892734114156,0.9236462089964097,0.6666666666666666,0.6666666666666666,0.6976744186046512,30,54,3,0.25316455696202533
0.9044075144508671,1.0,0.2550493512881786,0.86,0.8,0.975,31,50,2,0.1518987341772152
0.8181360744707616,1.0,0.3678495914425386,0.8260869565217391,0.75,0.9459459459459459,32,46,2,0.11392405063291139
0.9088607791924845,0.867883020515059,0.2526243969746731,0.9038461538461539,0.8,0.9767441860465116,33,52,3,0.08860759493670886
0.10168390076429476,,0.9805426232888418,0.6226415094339622,0.0,0.6458333333333334,34,53,2,0.3291139240506329
0.3399899311965095,,0.8815078171514493,0.717391304347826,0.0,0.7692307692307693,35,46,2,0.22784810126582278
0.3707505096272822,0.6992921649987796,0.9088364314232132,0.6875,0.6,0.717948717948718,36,48,3,0.25316455696202533
,,0.4140483413593772,0.0,0.0,0.0,37,55,0,1.0
1.0,1.0,3.3306690738754696e-16,0.9555555555555556,1.0,1.0,38,45,2,0.05063291139240506
0.2377566307260566,0.5435473005485516,1.0839606281628598,0.6078431372549019,0.7142857142857143,0.5789473684210527,39,51,3,0.3291139240506329
0.9714786837542104,1.0,0.1953555866641008,0.8888888888888888,0.3333333333333333,1.0,40,54,2,0.06329113924050633
0.4611330250272035,-0.031385557540188826,0.5968183243127483,0.8867924528301887,0.0625,0.8775510204081632,41,53,2,0.0379746835443038
0.7828918970250531,1.0,0.42183321184077416,0.7924528301886793,0.8,0.926829268292683,42,53,2,0.16455696202531644
0.04551220653860602,0.10442727716038293,1.6431238085809723,0.6538461538461539,0.2857142857142857,0.4523809523809524,43,52,5,0.2911392405063291
,,0.5242006217060988,0.0,0.0,0.0,44,53,0,1.0
0.2570960152182619,,0.9161864563540492,0.7083333333333334,0.0,0.7380952380952381,45,48,2,0.2911392405063291
0.7145307863501483,1.0,0.3984406056158396,0.875,0.75,0.9285714285714286,46,48,2,0.11392405063291139
0.8297179646632769,0.7110397561838417,0.3434262629870004,0.8571428571428571,0.5,0.9487179487179487,47,49,3,0.11392405063291139
0.9680716161951632,1.0,0.15674877955012323,0.8958333333333334,0.5,1.0,48,48,2,0.0379746835443038
0.6766628503896296,0.7881472107982705,0.5712765724894759,0.8235294117647058,0.8333333333333334,0.875,49,51,3,0.16455696202531644
