curve_id,included_strict_150h,exclusion_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points_after_mean,duplicate_x_rows_aggregated_by_mean,x_min_hours_before_rezero,x_max_hours_before_rezero,duration_hours
图片140_54cfe16e6f,False,record_140_implausible_hour_scale,lab-v2/som_references/accepted/samples_test/图片140/accepted/samples_test__unknown__unknown__图片140__Series_2__Series_2.csv,图片140,samples_test__unknown__unknown__图片140__Series_2__Series_2,Time,(h),Normalized PCE,,1.0,36,0,-5264067.220997976,36044482.953464285,41308550.17446226
图片15_71b7a17ebf,False,duration_shorter_than_150h,lab-v2/som_references/accepted/samples_test/图片15/accepted/samples_test__unknown__unknown__图片15__Series_1__Series_1.csv,图片15,samples_test__unknown__unknown__图片15__Series_1__Series_1,Time (h),h,Norm.PCE,,1.0,30,0,1.3682383510497331,141.47682246198443,140.1085841109347
图片16_92ce9de464,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_1__Series_1.csv,图片16,samples_test__unknown__unknown__图片16__Series_1__Series_1,Time,(h),Maximum output power,(Norm.),,45,0,,,
图片16_d266b445b6,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_2__Series_2.csv,图片16,samples_test__unknown__unknown__图片16__Series_2__Series_2,Time,(h),Maximum output power,(Norm.),,46,0,,,
图片16_a271af3c1b,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_3__Series_3.csv,图片16,samples_test__unknown__unknown__图片16__Series_3__Series_3,Time,(h),Maximum output power,(Norm.),,50,0,,,
图片163_c3cef6f5fd,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Control__Series_1.csv,图片163,samples_test__unknown__unknown__图片163__Control__Series_1,Time,(h),SPO,(Normalized),,38,0,,,
图片163_9302500777,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Target__Series_2.csv,图片163,samples_test__unknown__unknown__图片163__Target__Series_2,Time,(h),SPO,(Normalized),,91,0,,,
图片165_01ba1b570f,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片165/accepted/samples_test__unknown__unknown__图片165__Series_1__Series_1.csv,图片165,samples_test__unknown__unknown__图片165__Series_1__Series_1,,,PCE,(a.u.),,32,0,,,
图片166_5723602de9,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片166/accepted/samples_test__unknown__unknown__图片166__Series_1__Series_1.csv,图片166,samples_test__unknown__unknown__图片166__Series_1__Series_1,,,PCE,(%),,32,0,,,
图片168_802b07ce7d,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片168/accepted/samples_test__unknown__unknown__图片168__Series_1__Series_1.csv,图片168,samples_test__unknown__unknown__图片168__Series_1__Series_1,,,,,,31,0,,,
