curve_id,n_time_points,time_start_h,time_end_h,max_abs_before_normalization,max_abs_after_normalization,all_finite_after_smoothing
图片197_d52078c7d4,900,0.16666666666666666,150.0,23.19742597569717,1.0,True
图片19_357d04a2ef,900,0.16666666666666666,150.0,1.00180362596591,1.0,True
图片19_b6c1315f5c,900,0.16666666666666666,150.0,0.9999264843014278,1.0,True
图片202_029296e6ba,900,0.16666666666666666,150.0,18.30977705505914,1.0,True
图片202_24972422a1,900,0.16666666666666666,150.0,18.852156004139054,1.0,True
图片203_16a7222a72,900,0.16666666666666666,150.0,0.9678859218290266,1.0,True
图片203_d202464f39,900,0.16666666666666666,150.0,1.0058597466151689,1.0,True
图片205_1de446d485,900,0.16666666666666666,150.0,1.0029731888256481,1.0,True
图片205_b3846cfa76,900,0.16666666666666666,150.0,0.9968035626953227,1.0,True
图片28_256b0ae51b,900,0.16666666666666666,150.0,15.821321777477314,1.0,True
图片28_9a4cdc85fc,900,0.16666666666666666,150.0,18.376584854268962,1.0,True
图片33_093a67ddfe,900,0.16666666666666666,150.0,11.930111343841324,1.0,True
图片33_d23b550cfe,900,0.16666666666666666,150.0,9.870584456718069,1.0,True
图片37_c2a73bab38,900,0.16666666666666666,150.0,0.9975661808907308,1.0,True
图片37_f594d68bde,900,0.16666666666666666,150.0,1.010556060345189,1.0,True
图片39_52020a09a1,900,0.16666666666666666,150.0,24.90076552663606,1.0,True
图片39_6dfc311fc6,900,0.16666666666666666,150.0,25.7220341961841,1.0,True
图片42_f37b3f4894,900,0.16666666666666666,150.0,1.003635149312873,1.0,True
图片42_fc20d8b062,900,0.16666666666666666,150.0,1.003768904964153,1.0,True
图片47_2e11cc21a9,900,0.16666666666666666,150.0,22.84988242526268,1.0,True
图片47_eb2fe59862,900,0.16666666666666666,150.0,23.269721046591613,1.0,True
图片48_1a4520b70c,900,0.16666666666666666,150.0,23.370585856147564,1.0,True
图片48_cf162c1fe3,900,0.16666666666666666,150.0,21.27062464847877,1.0,True
图片48_d7adcc3df7,900,0.16666666666666666,150.0,22.152794638376875,1.0,True
图片50_f893c166de,900,0.16666666666666666,150.0,23.172034807057653,1.0,True
图片58_365cfd8ab3,900,0.16666666666666666,150.0,1.0047284226165467,1.0,True
图片58_712607914b,900,0.16666666666666666,150.0,1.0054119180406562,1.0,True
图片58_7752eda896,900,0.16666666666666666,150.0,1.004728426672912,1.0,True
图片59_b33cd1e57a,900,0.16666666666666666,150.0,0.9947756098965497,1.0,True
图片59_ff131ffd27,900,0.16666666666666666,150.0,0.9986497548854758,1.0,True
图片63_301f8e7e3d,900,0.16666666666666666,150.0,0.991898021652375,1.0,True
