n_nodes,topology,sigma,learning_rate,iterations,seed,qe,te,target_node,target_node_size,target_target_count,target_precision,target_recall,target_f1,target_centroid_rise_then_fall_broad,target_centroid_rise_then_fall_core,target_centroid_peak_time_h,target_centroid_initial_gain,target_centroid_post_peak_drop,screen_score
16,4x4,0.3,0.05,20000,42,0.7683561350572108,0.840499306518724,12,97,11,0.1134020618556701,0.19642857142857142,0.1437908496732026,False,False,0.0,0.0,0.1386071946207077,0.13538032910758804
20,4x5,0.8,0.05,20000,42,0.7106125492163144,0.3058252427184466,17,103,11,0.10679611650485436,0.19642857142857142,0.13836477987421383,False,False,0.0,0.0,0.10926071986235442,0.13068551060284894
9,3x3,0.3,0.1,20000,42,0.9296028728232999,0.6130374479889042,8,368,22,0.059782608695652176,0.39285714285714285,0.10377358490566038,False,False,0.0,0.0,0.10958150188547555,0.12875014649009725
20,4x5,0.5,0.05,20000,42,0.7144984418036915,0.5277392510402219,3,91,10,0.10989010989010989,0.17857142857142858,0.1360544217687075,False,False,0.0,0.0,0.11448061183572478,0.127779958137101
10,2x5,0.5,0.3,20000,42,0.9377246900448342,0.0006934812760055479,4,374,22,0.058823529411764705,0.39285714285714285,0.10232558139534882,False,False,0.0,0.0,0.10586785453093406,0.12773842094977525
16,4x4,0.8,0.1,20000,42,0.7654308853730444,0.19972260748959778,9,77,9,0.11688311688311688,0.16071428571428573,0.13533834586466165,False,False,2.1666666666666665,8.162253106558381e-05,0.18398872780104947,0.12684125085440875
25,5x5,0.8,0.05,20000,42,0.6556396633159306,0.3356449375866852,24,63,8,0.12698412698412698,0.14285714285714285,0.13445378151260504,False,False,23.833333333333332,0.0011906693569205817,0.09888563805405248,0.12675070028011204
10,2x5,0.3,0.1,20000,42,0.9152353665586723,0.2579750346740638,3,352,21,0.05965909090909091,0.375,0.10294117647058823,False,False,0.0,0.0,0.09852945293418491,0.12561831550802138
20,4x5,0.5,0.1,20000,42,0.6899826013666609,0.5513176144244105,19,147,13,0.08843537414965986,0.23214285714285715,0.12807881773399016,False,False,3.333333333333333,4.0100161016409785e-05,0.0902190704000484,0.1253914496833216
7,1x7,0.5,0.1,20000,42,1.0070150752447193,0.4791955617198336,2,356,21,0.05898876404494382,0.375,0.10194174757281553,False,False,0.0,0.0,0.1206285004670653,0.1249175029998909
8,2x4,0.3,0.1,20000,42,0.9843221149546064,0.7503467406380028,4,357,21,0.058823529411764705,0.375,0.10169491525423728,False,False,0.0,0.0,0.12155317460883497,0.12474451645064805
8,2x4,0.5,0.1,20000,42,0.9828929517898795,0.14979195561719832,2,357,21,0.058823529411764705,0.375,0.10169491525423728,False,False,0.0,0.0,0.12155317460883497,0.12474451645064805
16,4x4,1.2,0.1,20000,42,0.7851172136379464,0.18307905686546463,13,156,13,0.08333333333333333,0.23214285714285715,0.12264150943396228,False,False,0.0,0.0,0.0957727510269828,0.12114218328840971
25,5x5,0.5,0.3,20000,42,0.65187799309051,0.29403606102635227,23,136,12,0.08823529411764706,0.21428571428571427,0.125,False,False,0.0,0.0,0.1029509005074245,0.12111344537815126
5,1x5,0.5,0.3,20000,42,1.2954667242705613,0.15742024965325938,4,428,22,0.0514018691588785,0.39285714285714285,0.09090909090909091,False,False,0.0,0.0,0.21475715825066888,0.11980367763078043
9,3x3,0.5,0.1,20000,42,0.9193174097699004,0.3155339805825243,1,357,20,0.056022408963585436,0.35714285714285715,0.09685230024213075,False,False,0.0,0.0,0.09050459931284072,0.11880430138156958
20,4x5,0.8,0.1,20000,42,0.69605882762733,0.19902912621359223,4,71,8,0.11267605633802817,0.14285714285714285,0.1259842519685039,False,False,0.0,0.0,0.17797357450878015,0.11822351431423182
16,4x4,1.2,0.3,20000,42,0.7937309486814376,0.1900138696255201,13,167,13,0.07784431137724551,0.23214285714285715,0.11659192825112107,False,False,0.0,0.0,0.09548083929216022,0.11647068611016276
20,4x5,0.5,0.3,20000,42,0.708003337277958,0.3210818307905687,9,75,8,0.10666666666666667,0.14285714285714285,0.12213740458015267,False,False,0.0,0.0,0.1763322290447249,0.11449727371864775
5,1x5,0.3,0.1,20000,42,1.233154585898777,0.9098474341192788,4,387,20,0.05167958656330749,0.35714285714285715,0.09029345372460496,False,False,0.0,0.0,0.20414481296350817,0.1142220314027233
16,4x4,0.8,0.3,20000,42,0.774244163276491,0.20388349514563106,14,63,7,0.1111111111111111,0.125,0.11764705882352941,False,False,0.0,0.0,0.22589132779266086,0.11090686274509805
6,2x3,0.3,0.1,20000,42,1.1138320862056261,0.6650485436893204,5,336,18,0.05357142857142857,0.32142857142857145,0.09183673469387756,False,False,0.0,0.0,0.17690049985591438,0.11020408163265306
6,2x3,0.5,0.1,20000,42,1.1138076454570345,0.09986130374479889,4,336,18,0.05357142857142857,0.32142857142857145,0.09183673469387756,False,False,0.0,0.0,0.17690049985591438,0.11020408163265306
16,4x4,0.5,0.1,20000,42,0.7652562373775226,0.35298196948682387,14,188,13,0.06914893617021277,0.23214285714285715,0.10655737704918034,False,False,0.0,0.0,0.10343115966209437,0.10884479794708257
16,4x4,1.2,0.05,20000,42,0.7854082584721253,0.1608876560332871,9,103,9,0.08737864077669903,0.16071428571428573,0.11320754716981132,False,False,0.0,0.0,0.1466677343173577,0.10692450867505823
10,2x5,0.5,0.1,20000,42,0.8731091896017258,0.13384188626907073,3,225,14,0.06222222222222222,0.25,0.099644128113879,False,False,0.0,0.0,0.15443839139387583,0.10598873072360618
