candidate_id,window_hours,rise_gain_abs,rise_gain_ratio,hill_rapid_drop_ratio,valley_drop_ratio,valley_recovery_ratio,valley_recovery_abs,valley_post_recovery_drop_ratio,minimum_phase_gap,latest_recovery_fraction,n_bridge,n_hill,n_slope,n_valley,minimum_class_size,silhouette,davies_bouldin,balance_entropy,topology_score,prototype_score,bridge_prototype_corr,hill_prototype_corr,slope_prototype_corr,valley_prototype_corr,coverage_fraction_axis_valid,valid_candidate,selection_score
2724,750,0.002,0.2,0.2,0.22,0.35,0.008,0.2,0.06,0.85,3,3,78,3,3,0.10505303066828285,1.8589807890023267,0.3218968308108827,0.8688440615586541,0.9040421251073708,0.994129965572247,0.9718415994951494,0.9772775824176312,0.2890878533739391,0.5612903225806452,True,0.7424837554348125
2723,750,0.002,0.2,0.2,0.22,0.35,0.008,0.15,0.06,0.85,3,3,78,3,3,0.10505303066828285,1.8589807890023267,0.3218968308108827,0.8688440615586541,0.9040421251073708,0.994129965572247,0.9718415994951494,0.9772775824176312,0.2890878533739391,0.5612903225806452,True,0.7424837554348125
2733,750,0.002,0.2,0.2,0.28,0.22,0.008,0.2,0.06,0.85,3,3,78,3,3,0.10505303066828285,1.8589807890023267,0.3218968308108827,0.8688440615586541,0.9040421251073708,0.994129965572247,0.9718415994951494,0.9772775824176312,0.2890878533739391,0.5612903225806452,True,0.7424837554348125
2732,750,0.002,0.2,0.2,0.28,0.22,0.008,0.15,0.06,0.85,3,3,78,3,3,0.10505303066828285,1.8589807890023267,0.3218968308108827,0.8688440615586541,0.9040421251073708,0.994129965572247,0.9718415994951494,0.9772775824176312,0.2890878533739391,0.5612903225806452,True,0.7424837554348125
2705,750,0.002,0.2,0.2,0.22,0.22,0.008,0.15,0.06,0.85,3,3,78,3,3,0.10505303066828285,1.8589807890023267,0.3218968308108827,0.8688440615586541,0.9040421251073708,0.994129965572247,0.9718415994951494,0.9772775824176312,0.2890878533739391,0.5612903225806452,True,0.7424837554348125
2704,750,0.002,0.2,0.2,0.22,0.22,0.008,0.1,0.06,0.85,3,3,78,3,3,0.10505303066828285,1.8589807890023267,0.3218968308108827,0.8688440615586541,0.9040421251073708,0.994129965572247,0.9718415994951494,0.9772775824176312,0.2890878533739391,0.5612903225806452,True,0.7424837554348125
2706,750,0.002,0.2,0.2,0.22,0.22,0.008,0.2,0.06,0.85,3,3,78,3,3,0.10505303066828285,1.8589807890023267,0.3218968308108827,0.8688440615586541,0.9040421251073708,0.994129965572247,0.9718415994951494,0.9772775824176312,0.2890878533739391,0.5612903225806452,True,0.7424837554348125
3703,750,0.006,0.1,0.2,0.28,0.22,0.008,0.1,0.06,0.85,3,3,78,3,3,0.07774026564267779,1.8643687157078812,0.3218968308108827,0.8658682719285997,0.9012485491956811,0.994129965572247,0.9488224413594014,0.9779481332598613,0.2890878533739391,0.5612903225806452,True,0.738992956672456
3228,750,0.004,0.15,0.2,0.28,0.28,0.008,0.2,0.06,0.85,3,3,78,3,3,0.07774026564267779,1.8643687157078812,0.3218968308108827,0.8658682719285997,0.9012485491956811,0.994129965572247,0.9488224413594014,0.9779481332598613,0.2890878533739391,0.5612903225806452,True,0.738992956672456
3714,750,0.006,0.1,0.2,0.28,0.28,0.008,0.2,0.06,0.85,3,3,78,3,3,0.07774026564267779,1.8643687157078812,0.3218968308108827,0.8658682719285997,0.9012485491956811,0.994129965572247,0.9488224413594014,0.9779481332598613,0.2890878533739391,0.5612903225806452,True,0.738992956672456
