curve_id,window_hours,amplitude,start_value,end_value,end_minus_start,end_minus_start_ratio,gain_abs,gain_ratio,peak_drop_abs,peak_drop_ratio,early_peak_drop_abs,early_peak_drop_ratio,early_drop_abs,early_drop_ratio,recovery_abs,recovery_ratio,post_recovery_drop_abs,post_recovery_drop_ratio,t_peak_fraction,t_early_min_fraction,t_recovery_fraction,early_boundary_fraction,early_slope,late_slope,fraction_negative_steps
图片122_839b6dd4d3,500,0.054601749911469155,0.998690587863785,0.9457300435488453,-0.052960544314939684,-0.9699422527814492,0.0013094121362157152,0.023981138669342754,0.0542699564511554,0.9939233914507919,0.03342881401043529,0.6122297190957525,0.03211940187421958,0.5882485804264098,0.0,0.0,0.020841142440720106,0.38169367235503937,0.0,0.4,0.4,0.4,-0.048606836826281474,-0.04058242455602317,0.5366666666666666
图片127_bf5402f13a,500,0.2571403764387712,0.9863379495532758,0.7464903495623405,-0.2398475999909353,-0.9327496650377132,0.013670940870870618,0.05316528294857601,0.2535185408618059,0.9859149479862892,0.2302720947773248,0.8955112299610244,0.21660115390645418,0.8423459470124484,0.0,0.0,0.02324644608448112,0.09040371802526483,0.0,0.4,0.4,0.4,-1.3711082997527104,1.2243671928288023e-06,0.6066666666666667
图片127_e6b6963001,500,0.11985863893755777,0.9968381977751246,0.8803869463979782,-0.1164512513771464,-0.9715716147737461,0.0031610809890167957,0.026373409685251058,0.1196123323661632,0.9979450244589971,0.091018550496476,0.7593824800888448,0.08785746950745921,0.7330090704035938,0.0,0.0,0.028593781869687196,0.23856254437015234,0.0,0.4,0.4,0.4,-0.3564082176323728,-0.02955644752575212,1.0
图片127_fa3bbaf3ca,500,0.0657842705173165,0.9982851278851065,0.9342177432317915,-0.06406738465331496,-0.973901270767309,0.001716165763583688,0.02608778284060988,0.06578355041689865,0.9999890536079189,0.05173925155240422,0.7864988263233049,0.05002308578882053,0.7604110434826951,0.0,0.0,0.014044298864494431,0.213490227284614,0.0,0.4,0.4,0.4,-0.1878741119552213,-2.963243197804452e-07,0.71
图片12_353c32e27e,500,0.039056576885246774,0.9998743210646519,0.9610835709670068,-0.0387907500976451,-0.993193802201798,0.0001256789353489829,0.0032178686759529312,0.03891642903299408,0.9964116708777508,0.012679410820933823,0.3246421430681843,0.01255373188558484,0.32142427439223137,0.0,0.0,0.02623701821206026,0.6717695278095666,0.0,0.4,0.4,0.4,-0.03367870779114445,-0.01250817139837343,0.88
图片132_03c9048497,500,0.12794154820533543,0.997367657053373,0.8728750454359062,-0.12449261161746683,-0.9730428728099073,0.002628690122349009,0.0205460240181726,0.12712130173981584,0.9935888968280799,0.05030145565865107,0.3931596605187352,0.047672765536302064,0.3726136365005626,0.0,0.0,0.07681984608116477,0.6004292363093447,0.16666666666666666,0.4,0.4,0.4,-0.09816661138280311,-0.13959659978068056,0.9033333333333333
图片132_74754f7a23,500,0.2872109622214579,0.9989962259889379,0.7169322468525697,-0.28206397913636816,-0.9820794337191032,0.0009946254844100944,0.0034630484739060024,0.28305860462077825,0.9855424821930093,0.11014440502889755,0.38349652177958726,0.10914977954448746,0.38003347330568127,0.0,0.0,0.1729141995918807,0.6020459604134221,0.0,0.4,0.4,0.4,-0.31714832080384353,-0.33336521496032695,1.0
图片135_933b9d0c2e,500,0.01352429173294134,0.9989547526874712,0.9934711187129256,-0.005483633974545654,-0.4054655195871793,0.0010452473125294182,0.0772866581976705,0.006528881287075072,0.4827521777848498,0.004487353953718576,0.33179955315431814,0.012479044420411922,0.9227133418023296,0.009059339872066308,0.6698568805640538,0.0020639294262000396,0.1526090583489036,0.0,0.14333333333333334,0.97,0.4,-0.10783790187819842,-0.0026479996720878197,0.17666666666666667
图片135_d9d595e475,500,0.1924034063093617,0.9975842185260552,0.8086371930184946,-0.1889470255075606,-0.9820357608625512,0.0024157814739454997,0.012555814474829055,0.1913628069815061,0.9945915753373802,0.09083386198107046,0.4721011115313648,0.08841808050712496,0.45954529705653574,0.0,0.0,0.10052894500043563,0.5224904638060154,0.0,0.4,0.4,0.4,-0.17951667401301144,-0.15503090482656773,0.98
图片136_4ddceb1f73,500,0.055340718774632314,0.9867919425341075,0.9695456680683542,-0.01724627446575333,-0.31163806411670364,0.013196865359298426,0.23846573827566098,0.030443139825051757,0.5501038023923647,0.011171718984715917,0.20187159169744887,0.0011345566508708105,0.020501299513133193,0.014331422010169237,0.25896703778879415,0.030443139825051757,0.5501038023923647,0.46,0.37333333333333335,0.46,0.4,0.08937289097635953,0.09432046791043254,0.5566666666666666
图片136_57d6f717d9,500,0.3279301440435394,0.9452039953650714,0.6773830635938353,-0.2678209317712361,-0.8167011683307694,0.0547839842661485,0.1670599219414084,0.3226049160373846,0.9837610902721778,0.08512139448055567,0.2595717289998631,0.030337410214407168,0.09251180705845469,0.0,0.0,0.23748352155682895,0.7241893612723147,0.21,0.4,0.4,0.4,0.2904669821541769,-0.345801164336773,0.79
