folder,filepath,num_points,min_time_h,max_time_h,min_time_orig,max_time_orig,initial_y,final_y,mean_y
x_time_h,x_time_h/10.1002_anie.202012095/Fig5_E_stability_performance_curve_pce/accepted/10.1002_anie.202012095__Fig5__E__stability_performance_curve_pce__Pristine__Series_1.csv,51,-3.7057743318871417,1000.548165248073,-3.7057743318871417,1000.548165248073,18.43973933253403,3.900466313752702,12.024835843035362
x_time_h,x_time_h/10.1039_c8ra03559h/Fig4_D_stability_performance_curve/accepted/10.1039_c8ra03559h__Fig4__D__stability_performance_curve__TiO2__Series_2.csv,32,-15.819474981548638,1416.7102214484544,-15.819474981548638,1416.7102214484544,16.405067651643286,18.043691782119016,18.36754148358128
x_time_h,x_time_h/10.1021_acsaem.2c00923/Fig4_E_stability_performance_curve/accepted/10.1021_acsaem.2c00923__Fig4__E__stability_performance_curve__Control__Series_1.csv,77,52.95445326650761,556.9709652464486,52.95445326650761,556.9709652464486,0.7289384665217327,0.1968953637088994,0.405821380500405
x_time_h,x_time_h/10.1021_acsami.8b19036/Fig6_B_stability_performance_curve_pce/accepted/10.1021_acsami.8b19036__Fig6__B__stability_performance_curve_pce__PCBM__Series_3.csv,62,2.8750484463941888,295.9860448571692,2.8750484463941888,295.9860448571692,94.73895368499124,35.85344726278268,58.52748975445391
x_time_h,x_time_h/10.1021_acsami.8b19036/Fig6_B_stability_performance_curve_pce/accepted/10.1021_acsami.8b19036__Fig6__B__stability_performance_curve_pce__PN__Series_4.csv,63,0.4324568096377277,298.42863649392564,0.4324568096377277,298.42863649392564,98.77220754952609,48.5581969360674,64.80324722377715
x_time_h,x_time_h/10.1002_adfm.202000034/Fig6_F_stability_performance_curve_pce/accepted/10.1002_adfm.202000034__Fig6__F__stability_performance_curve_pce__3D__Series_3.csv,71,0.6863418702203674,239.4611167641159,0.6863418702203674,239.4611167641159,1.0021613126634026,0.3586591348764681,0.7152072479711905
x_time_h,x_time_h/10.1002_adfm.202000034/Fig6_F_stability_performance_curve_pce/accepted/10.1002_adfm.202000034__Fig6__F__stability_performance_curve_pce__BA_(n=4)__Series_2.csv,70,1.027448691497355,236.39115537262296,1.027448691497355,236.39115537262296,1.0044595347269274,0.6551297810711629,0.8164649699306015
x_time_h,x_time_h/10.1021_jacs.1c02118/Fig5_D_stability_performance_curve/accepted/10.1021_jacs.1c02118__Fig5__D__stability_performance_curve__Ag-b1__Series_3.csv,43,147.316015991398,3936.0327727511985,147.316015991398,3936.0327727511985,100.03916123399785,95.57950201014428,97.93333630220855
x_time_h,x_time_h/10.1021_jacs.1c02118/Fig5_D_stability_performance_curve/accepted/10.1021_jacs.1c02118__Fig5__D__stability_performance_curve__Ag__Series_4.csv,47,78.43025677758351,3867.147013537384,78.43025677758351,3867.147013537384,99.6513647797497,82.45905530808243,88.69405220014282
x_time_h,x_time_h/10.1021_jacs.1c02118/Fig5_C_spectrum/accepted/10.1021_jacs.1c02118__Fig5__C__spectrum__Ag-b1__Series_4.csv,47,-1.5763136297289435,246.58061837119183,-1.5763136297289435,246.58061837119183,19.50747140438664,16.500918308064247,18.86777925623294
x_time_h,x_time_h/10.1021_jacs.1c02118/Fig5_C_spectrum/accepted/10.1021_jacs.1c02118__Fig5__C__spectrum__Ag__Series_2.csv,47,-1.5763136297289435,246.58061837119183,-1.5763136297289435,246.58061837119183,15.989164589541286,1.8519681153444871,6.1596822619539875
x_time_h,x_time_h/10.1039_C9TA03131F/Fig5_D_stability_performance_curve_pce/accepted/10.1039_C9TA03131F__Fig5__D__stability_performance_curve_pce__With_QDs__Series_2.csv,117,1.284269838613934,149.11804897103775,1.284269838613934,149.11804897103775,1.0083428933749885,0.7882882326651357,0.9067132105160373
x_time_h,x_time_h/10.1039_C9TA03131F/Fig5_D_stability_performance_curve_pce/accepted/10.1039_C9TA03131F__Fig5__D__stability_performance_curve_pce__Without_QDs__Series_1.csv,118,-0.2450451179283845,148.86316314494738,-0.2450451179283845,148.86316314494738,1.0044822852923592,0.4948820183853324,0.7821047163293994
x_time_h,x_time_h/10.1002_advs.201700484/Fig5_A_stability_performance_curve_pce/accepted/10.1002_advs.201700484__Fig5__A__stability_performance_curve_pce__PCE__Series_1.csv,60,5.789818779157798,775.8278283335222,5.789818779157798,775.8278283335222,0.9693360968245368,0.4996024337045895,0.6140184631068962
x_time_h,x_time_h/10.1002_advs.201700484/Fig5_A_stability_performance_curve_pce/accepted/10.1002_advs.201700484__Fig5__A__stability_performance_curve_pce__FF__Series_2.csv,56,37.65346055382116,767.8619178898564,37.65346055382116,767.8619178898564,0.9424242723749564,1.0990021600816056,1.0794299241182743
x_time_h,x_time_h/10.1002_advs.201700484/Fig5_A_stability_performance_curve_pce/accepted/10.1002_advs.201700484__Fig5__A__stability_performance_curve_pce__V_OC__Series_4.csv,58,5.789818779157798,775.8278283335222,5.789818779157798,775.8278283335222,0.988908332787868,0.988908332787868,0.9609841513057014
x_time_h,x_time_h/10.1002_advs.201700484/Fig5_A_stability_performance_curve_pce/accepted/10.1002_advs.201700484__Fig5__A__stability_performance_curve_pce__J_SC__Series_3.csv,59,5.789818779157798,775.8278283335222,5.789818779157798,775.8278283335222,1.0133736277420318,0.4506718437962617,0.5992052107891689
x_time_h,x_time_h/10.1007_s40820-021-00675-7/Fig5_C_jv_curve_stability_performance/accepted/10.1007_s40820-021-00675-7__Fig5__C__jv_curve_stability_performance__SnO₂_K_based_5×5_cm²_module__Series_2.csv,137,6.2703872773372495,1091.719398700976,6.2703872773372495,1091.719398700976,0.9569089302504276,0.7788411946994686,0.9063264287283487
x_time_h,x_time_h/10.1007_s40820-021-00675-7/Fig5_C_jv_curve_stability_performance/accepted/10.1007_s40820-021-00675-7__Fig5__C__jv_curve_stability_performance__SnO₂_based_5×5_cm²_module__Series_1.csv,63,7.866635823548478,502.7036851490308,7.866635823548478,502.7036851490308,0.9081522883733796,0.8275978365765169,0.836077252555134
x_time_h,x_time_h/10.1002_adma.201901966/Fig4_E_stability_performance_curve/accepted/10.1002_adma.201901966__Fig4__E__stability_performance_curve__LDRP__Series_1.csv,85,11.905153325713414,492.6236209092539,11.905153325713414,492.6236209092539,0.9660478225133836,0.8519781017822377,0.9115090760367511
x_time_h,x_time_h/10.1039_c9ta08314f/Fig5_D_stability_performance_curve_pce/accepted/10.1039_c9ta08314f__Fig5__D__stability_performance_curve_pce__Pristine__Series_2.csv,30,23.90511050403638,117.12617868506756,23.90511050403638,117.12617868506756,1.0010243144028297,0.6396727276820009,0.8999439468875374
x_time_h,x_time_h/10.3390_molecules29122758/Fig5_C_stability_performance_curve_pce/accepted/10.3390_molecules29122758__Fig5__C__stability_performance_curve_pce__2-cation__Series_1.csv,59,2.70549485304133,793.1186596613633,2.70549485304133,793.1186596613633,0.9983647382148076,0.5457339981093958,0.7561689337211152
x_time_h,x_time_h/10.3390_molecules29122758/Fig5_C_stability_performance_curve_pce/accepted/10.3390_molecules29122758__Fig5__C__stability_performance_curve_pce__3-cation__Series_2.csv,59,6.793838808946447,797.2070036172685,6.793838808946447,797.2070036172685,1.0051541993163886,0.6837863738415464,0.8317736107336378
x_time_h,x_time_h/10.3390_molecules29122758/Fig5_C_stability_performance_curve_pce/accepted/10.3390_molecules29122758__Fig5__C__stability_performance_curve_pce__4-cation__Series_3.csv,59,2.70549485304133,793.1186596613633,2.70549485304133,793.1186596613633,0.9983647382148076,0.4665236185909488,0.6999353180436122
x_time_h,x_time_h/10.3390_molecules29122758/Fig5_B_stability_performance_curve/accepted/10.3390_molecules29122758__Fig5__B__stability_performance_curve__4-cation__Series_2.csv,60,-5.337601251341653,2512.977143021218,-5.337601251341653,2512.977143021218,1.0093675752151263,0.5947405942936734,0.8286556007346653
x_time_h,x_time_h/10.3390_molecules29122758/Fig5_B_stability_performance_curve/accepted/10.3390_molecules29122758__Fig5__B__stability_performance_curve__2-cation__Series_1.csv,59,20.272379198887847,2495.903822721066,20.272379198887847,2495.903822721066,1.0205134617990366,0.7173453467166838,0.8803397695064731
