sample_id,cluster,time_hours,raw_output,relative_to_initial,model_normalized
S0006,1,266.1225450982863,0.9417367440364364,0.9382370692660736,-0.3878116343490301
S0006,1,281.776812457009,0.9417367440364364,0.9382370692660736,-0.3878116343490301
S0006,1,297.43107981573166,0.9417367440364364,0.9382370692660736,-0.3878116343490301
S0007,1,0.0,0.9804285976156624,1.0,0.307692307692308
S0007,1,19.481236334065898,0.9898531666885896,1.0096127031543625,0.3438914027149319
S0007,1,38.96247266813177,1.0087023048344443,1.0288381094630876,0.416289592760181
S0007,1,58.443709002197664,0.9898531666885896,1.0096127031543625,0.3438914027149319
S0007,1,77.92494533626356,0.9710040285427348,0.9903872968456372,0.2714932126696828
S0007,1,97.40618167032946,0.9568671749333438,0.9759682421140934,0.2171945701357463
S0007,1,116.88741800439536,0.9380180367874892,0.9567428358053683,0.1447963800904977
S0007,1,136.36865433846123,0.9144566141051708,0.9327110779194618,0.0542986425339364
S0007,1,155.84989067252715,0.8861829068863887,0.9038729684563741,-0.0542986425339369
S0007,1,175.33112700659305,0.8626214842040703,0.8798412105704676,-0.1447963800904981
S0007,1,194.81236334065895,0.8390600615217518,0.8558094526845611,-0.2352941176470593
S0007,1,214.29359967472485,0.8154986388394334,0.8317776947986547,-0.3257918552036206
S0007,1,233.77483600879077,0.7919372161571151,0.8077459369127483,-0.4162895927601814
S0007,1,253.25607234285664,0.7683757934747968,0.7837141790268419,-0.5067873303167422
S0007,1,272.7373086769225,0.7448143707924784,0.7596824211409354,-0.5972850678733035
S0007,1,292.2185450109884,0.7024038099643053,0.7164252569463039,-0.7601809954751133
S0008,-1,0.0,0.9050320450322432,1.0,-1.600000000000008
S0008,-1,19.481236334065898,0.9757163130791986,1.0781013981051213,-0.1000000000000021
S0008,-1,38.962472668131795,0.9898531666885896,1.0937216777261456,0.1999999999999971
S0008,-1,58.44370900219769,0.9898531666885896,1.0937216777261456,0.1999999999999971
S0008,-1,77.92494533626359,0.9898531666885896,1.0937216777261456,0.1999999999999971
S0008,-1,97.40618167032947,0.9945654512250532,1.0989284375998203,0.2999999999999969
S0008,-1,116.8874180043954,0.9945654512250532,1.0989284375998203,0.2999999999999969
S0008,-1,136.36865433846128,0.9898531666885896,1.0937216777261456,0.1999999999999971
S0008,-1,155.84989067252718,0.9898531666885896,1.0937216777261456,0.1999999999999971
S0008,-1,175.33112700659308,0.985140882152126,1.088514917852471,0.0999999999999997
S0008,-1,194.81236334065895,0.9757163130791986,1.0781013981051213,-0.1000000000000021
S0008,-1,214.29359967472487,0.9710040285427348,1.0728946382314466,-0.2000000000000042
S0008,-1,233.77483600879077,0.9662917440062712,1.067687878357772,-0.300000000000004
S0008,-1,253.25607234285667,0.9615794594698076,1.0624811184840972,-0.4000000000000014
S0008,-1,272.73730867692257,0.9662917440062712,1.067687878357772,-0.300000000000004
S0008,-1,292.21854501098846,0.9662917440062712,1.067687878357772,-0.300000000000004
S0013,1,0.0,1.0044508680643878,1.0,0.9090909090909032
S0013,1,20.323401680840703,0.9993345561520488,0.9949063592107812,0.6060606060606109
S0013,1,40.64680336168141,0.9942182442397096,0.9898127184215623,0.3030303030303054
S0013,1,60.97020504252208,0.9942182442397096,0.9898127184215623,0.3030303030303054
S0013,1,81.29360672336279,0.9942182442397096,0.9898127184215623,0.3030303030303054
S0013,1,101.6170084042035,0.9942182442397096,0.9898127184215623,0.3030303030303054
S0013,1,121.94041008504416,0.9942182442397096,0.9898127184215623,0.3030303030303054
S0013,1,142.26381176588484,0.9891019323273704,0.9847190776323432,0.0
