sample_id,cluster,membership_probability,outlier_score,source_path,figure_id,unit,duration_analysis,clean_n,qc_flags,final_relative_output,last_time_in_window
S0060,1,0.932213876120214,0.0677861238797858,/Users/shunhao/Desktop/ML/method1/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_3__Series_3.csv,图片16,hours,701.1031636759991,50,,0.8992322200885327,286.1645566024486
S0063,1,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_1__Series_1.csv,图片162,hours,1476.4354793422565,76,,0.6743460723494248,295.2870958684513
S0064,1,0.9987928254587868,0.001207174541213,/Users/shunhao/Desktop/ML/method1/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_2__Series_2.csv,图片162,hours,1456.7496729510262,75,,0.9156702925069073,295.2870958684512
S0065,1,0.8625946045498006,0.1374053954501993,/Users/shunhao/Desktop/ML/method1/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_3__Series_3.csv,图片162,hours,1456.7496729510262,75,,0.9668276007479173,295.2870958684513
S0066,1,0.8516255509132249,0.1483744490867751,/Users/shunhao/Desktop/ML/method1/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Control__Series_1.csv,图片163,hours,580.9602607474253,38,,0.6689691615577942,298.33094470813734
S0067,1,0.3712218071024921,0.6287781928975078,/Users/shunhao/Desktop/ML/method1/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Target__Series_2.csv,图片163,hours,1413.14658019644,91,,0.9245686565467278,298.33094470813734
S0071,0,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_1__Series_1.csv,图片17,hours,1131.1470929831216,50,,1.0111169833144709,277.0156146081115
S0072,1,0.3812588870345839,0.6187411129654161,/Users/shunhao/Desktop/ML/method1/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_2__Series_2.csv,图片17,hours,1154.2317275337978,51,,0.9095559357545687,277.0156146081115
S0081,1,0.6095553832370624,0.3904446167629375,/Users/shunhao/Desktop/ML/method1/samples_test/图片180/accepted/samples_test__unknown__unknown__图片180__Target__Series_2.csv,图片180,hours,396.7699293927394,59,,0.9251608310378707,294.1570166187551
S0086,1,0.323910245144446,0.676089754855554,/Users/shunhao/Desktop/ML/method1/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__OCT-doped__Series_2.csv,图片184,hours,990.6839997767672,48,,0.9611314155629216,288.9494999348905
S0087,1,0.383170682050039,0.6168293179499609,/Users/shunhao/Desktop/ML/method1/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__Pristine__Series_1.csv,图片184,hours,743.0129998325757,37,,0.9599643178436283,288.94949993489047
S0095,1,0.1209606405142802,0.8790393594857198,/Users/shunhao/Desktop/ML/method1/samples_test/图片193/accepted/samples_test__unknown__unknown__图片193__Series_1__Series_1.csv,图片193,hours,446.204850971782,40,negative_start_retained_shifted,0.6900084390681618,297.46990064785473
S0099,0,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片197/accepted/samples_test__unknown__unknown__图片197__0.74M(16_1)__Series_1.csv,图片197,hours,500.03163787024835,38,negative_start_retained_shifted,1.0474323252464324,297.3161090039314
S0100,-1,0.0,0.9558604065086164,/Users/shunhao/Desktop/ML/method1/samples_test/图片197/accepted/samples_test__unknown__unknown__图片197__1.40M（8_1）__Series_2.csv,图片197,hours,513.5460064613361,39,negative_start_retained_shifted,1.0605720793149787,297.3161090039314
S0103,1,0.1612708783600412,0.8387291216399588,/Users/shunhao/Desktop/ML/method1/samples_test/图片202/accepted/samples_test__unknown__unknown__图片202__WBGPSCs_with_YbOx__Series_2.csv,图片202,hours,490.314972508966,35,,0.6830979043047223,288.42057206409766
S0104,1,0.2002230531841927,0.7997769468158072,/Users/shunhao/Desktop/ML/method1/samples_test/图片202/accepted/samples_test__unknown__unknown__图片202__WBG_PSCs_withBCP__Series_1.csv,图片202,hours,490.314972508966,35,,0.9353579567386064,288.42057206409766
S0107,1,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片204/accepted/samples_test__unknown__unknown__图片204__Series_1__Series_1.csv,图片204,hours,987.0616558007978,42,,0.843415135550606,288.89609438072125
S0108,1,0.4279379438010136,0.5720620561989864,/Users/shunhao/Desktop/ML/method1/samples_test/图片204/accepted/samples_test__unknown__unknown__图片204__Series_2__Series_2.csv,图片204,hours,987.0616558007976,41,negative_start_retained_shifted,0.9585440057484642,288.89609438072125
S0109,1,0.710336740637902,0.2896632593620981,/Users/shunhao/Desktop/ML/method1/samples_test/图片205/accepted/samples_test__unknown__unknown__图片205__Series_1__Series_1.csv,图片205,hours,1003.8344196702012,54,negative_start_retained_shifted,0.7120488224514935,284.1040810387362
S0110,1,0.6158374114737079,0.3841625885262921,/Users/shunhao/Desktop/ML/method1/samples_test/图片205/accepted/samples_test__unknown__unknown__图片205__Series_2__Series_2.csv,图片205,hours,1003.8344196702012,54,negative_start_retained_shifted,0.8015739323343785,284.1040810387362
S0118,1,0.0654974024825014,0.9345025975174984,/Users/shunhao/Desktop/ML/method1/samples_test/图片28/accepted/samples_test__unknown__unknown__图片28__Series_1__Series_1.csv,图片28,hours,399.4283373072515,40,negative_start_retained_shifted,0.7000310887365018,297.01081492077674
S0119,-1,0.0,0.9518517649048754,/Users/shunhao/Desktop/ML/method1/samples_test/图片28/accepted/samples_test__unknown__unknown__图片28__Series_2__Series_2.csv,图片28,hours,399.4283373072516,40,negative_start_retained_shifted,1.005163023063084,297.01081492077674
S0128,1,0.7946880750445777,0.2053119249554222,/Users/shunhao/Desktop/ML/method1/samples_test/图片37/accepted/samples_test__unknown__unknown__图片37__Series_2__Series_2.csv,图片37,hours,389.6250188892927,44,,0.919777220587705,299.01454938015485
S0141,1,0.1377446158301336,0.8622553841698662,/Users/shunhao/Desktop/ML/method1/samples_test/图片50/accepted/samples_test__unknown__unknown__图片50__Series_1__Series_1.csv,图片50,hours,988.8806439298248,47,negative_start_retained_shifted,0.9727567102679835,279.46626893668974
S0153,1,0.924991273104049,0.0750087268959509,/Users/shunhao/Desktop/ML/method1/samples_test/图片59/accepted/samples_test__unknown__unknown__图片59__Control__Series_1.csv,图片59,hours,998.2401077705126,44,negative_start_retained_shifted,0.7150262317886085,278.5786347266546
S0154,1,0.5829148801653768,0.4170851198346231,/Users/shunhao/Desktop/ML/method1/samples_test/图片59/accepted/samples_test__unknown__unknown__图片59__Target__Series_2.csv,图片59,hours,998.2401077705126,44,negative_start_retained_shifted,0.8028398968063647,278.57863472665474
S0163,1,0.8623626734174054,0.1376373265825946,/Users/shunhao/Desktop/ML/method1/samples_test/图片62/accepted/samples_test__unknown__unknown__图片62__Series_1__Series_1.csv,图片62,hours,575.7584596915898,37,,0.6755842566781824,287.87922984579495
S0164,1,0.4504216823457211,0.5495783176542789,/Users/shunhao/Desktop/ML/method1/samples_test/图片62/accepted/samples_test__unknown__unknown__图片62__Series_2__Series_2.csv,图片62,hours,1423.402858681986,90,,0.9313849032279431,287.87922984579495
S0165,1,0.5602917416608564,0.4397082583391435,/Users/shunhao/Desktop/ML/method1/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_TDY-a__Series_2.csv,图片63,hours,983.8846344941696,73,,0.9321376418463766,286.9663517274661
S0166,1,0.6047512727464419,0.3952487272535581,/Users/shunhao/Desktop/ML/method1/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_TDY-β__Series_3.csv,图片63,hours,997.5496988621438,74,,0.9180012120367143,286.9663517274661
S0167,1,0.0779781561538757,0.9220218438461244,/Users/shunhao/Desktop/ML/method1/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_Y6__Series_1.csv,图片63,hours,983.8846344941694,73,,0.8481765571362744,286.96635172746613
S0170,1,0.2597925217201274,0.7402074782798725,/Users/shunhao/Desktop/ML/method1/samples_test/图片65/accepted/samples_test__unknown__unknown__图片65__Series_1__Series_1.csv,图片65,hours,800.1361207417871,105,,0.9166541514191894,292.35742873257607
S0172,1,0.3433753251566818,0.6566246748433182,/Users/shunhao/Desktop/ML/method1/samples_test/图片68/accepted/samples_test__unknown__unknown__图片68__Series_1__Series_1.csv,图片68,hours,581.2353740272309,37,,0.7614057563840024,290.61768701361547
S0173,1,0.1152349247812746,0.8847650752187254,/Users/shunhao/Desktop/ML/method1/samples_test/图片68/accepted/samples_test__unknown__unknown__图片68__Series_2__Series_2.csv,图片68,hours,968.7256233787182,61,,0.9843427654938738,290.61768701361547
S0174,1,0.2179983337326098,0.7820016662673902,/Users/shunhao/Desktop/ML/method1/samples_test/图片70/accepted/samples_test__unknown__unknown__图片70__Series_1__Series_1.csv,图片70,hours,807.0698056195981,36,,0.9964459350978685,299.76878494442224
S0175,1,0.1416713504112945,0.8583286495887055,/Users/shunhao/Desktop/ML/method1/samples_test/图片70/accepted/samples_test__unknown__unknown__图片70__Series_2__Series_2.csv,图片70,hours,853.1880802264325,38,negative_start_retained_shifted,0.9857330346707367,299.76878494442224
S0176,0,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片70/accepted/samples_test__unknown__unknown__图片70__Series_3__Series_3.csv,图片70,hours,853.1880802264325,38,negative_start_retained_shifted,1.0143180340531182,299.7687849444222
S0177,1,0.4342552202130278,0.5657447797869721,/Users/shunhao/Desktop/ML/method1/samples_test/图片71/accepted/samples_test__unknown__unknown__图片71__Control__Series_2.csv,图片71,hours,789.0591953981544,49,,0.9058711206805973,295.8971982743079
S0178,1,0.5159824496376627,0.4840175503623373,/Users/shunhao/Desktop/ML/method1/samples_test/图片71/accepted/samples_test__unknown__unknown__图片71__Target__Series_1.csv,图片71,hours,772.6204621606928,29,,0.7255758114155848,295.8971982743079
S0182,1,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片75/accepted/samples_test__unknown__unknown__图片75__Ceo-based_device(encapsulated)__Series_2.csv,图片75,hours,1000.5514869950622,54,negative_start_retained_shifted,0.89394773601612,283.1749491495459
S0183,1,0.1834399803893384,0.8165600196106616,/Users/shunhao/Desktop/ML/method1/samples_test/图片75/accepted/samples_test__unknown__unknown__图片75__SnOx-based_device_(unencapsulated)__Series_1.csv,图片75,hours,1000.5514869950624,54,,0.9907647884243272,283.17494914954597
S0186,1,0.2532004804533509,0.7467995195466491,/Users/shunhao/Desktop/ML/method1/samples_test/图片78/accepted/samples_test__unknown__unknown__图片78__Series_1__Series_1.csv,图片78,hours,519.617852201255,55,,0.7507342911002435,292.8755166952528
S0187,1,0.1200642236700764,0.8799357763299236,/Users/shunhao/Desktop/ML/method1/samples_test/图片78/accepted/samples_test__unknown__unknown__图片78__Series_2__Series_2.csv,图片78,hours,519.617852201255,56,negative_start_retained_shifted,0.7999484931601484,292.8755166952528
S0191,1,0.3482258080693933,0.6517741919306067,/Users/shunhao/Desktop/ML/method1/samples_test/图片85/accepted/samples_test__unknown__unknown__图片85__NBG_PSCs_with_YbOx__Series_1.csv,图片85,hours,491.94764135023235,72,,0.8649948564664924,297.94012081774633
S0192,1,0.1516924584825567,0.8483075415174434,/Users/shunhao/Desktop/ML/method1/samples_test/图片87/accepted/samples_test__unknown__unknown__图片87__Series_1__Series_1.csv,图片87,hours,1033.8789097239076,41,,0.9834555662994909,284.31670017407464
S0193,1,0.6131333268502763,0.3868666731497236,/Users/shunhao/Desktop/ML/method1/samples_test/图片87/accepted/samples_test__unknown__unknown__图片87__Series_2__Series_2.csv,图片87,hours,1033.8789097239076,41,,0.8793769037584095,284.31670017407464
S0194,1,0.7242661000861296,0.2757338999138704,/Users/shunhao/Desktop/ML/method1/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_1__Series_1.csv,图片88,hours,989.932547533014,63,,0.8709419552387764,287.39977186442337
S0195,-1,0.0,0.9816028299655168,/Users/shunhao/Desktop/ML/method1/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_2__Series_2.csv,图片88,hours,989.932547533014,63,,0.99556943981632,287.3997718644234
S0196,1,0.2639866746232424,0.7360133253767576,/Users/shunhao/Desktop/ML/method1/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_3__Series_3.csv,图片88,hours,989.932547533014,63,,0.9821988903777622,287.3997718644234
S0197,-1,0.0,0.9669048844941902,/Users/shunhao/Desktop/ML/method1/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__EtCz3EPA_PTAA_BCP__Series_1.csv,图片89,hours,1002.7522677989436,49,negative_start_retained_shifted,0.9977097390053584,292.4694114413585
S0198,0,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__EtCz3EPA__Series_2.csv,图片89,hours,1002.7522677989434,49,negative_start_retained_shifted,1.008627542244544,292.4694114413585
S0199,1,0.0861534004515964,0.9138465995484036,/Users/shunhao/Desktop/ML/method1/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__PTAA_BCP__Series_3.csv,图片89,hours,1002.7522677989436,49,,1.0,292.4694114413585
S0216,1,0.1502300112990878,0.8497699887009121,/Users/shunhao/Desktop/ML/method1/samples_test/图片98/accepted/samples_test__unknown__unknown__图片98__Series_1__Series_1.csv,图片98,hours,414.1410227028837,33,,0.8909784747827688,297.6638600676976
