window,T_h,id,duration_covers,n_original_in_window,included,reason
coverage090,47.80591738392364,C011,True,9,True,included
coverage090,47.80591738392364,C012,True,9,True,included
coverage090,47.80591738392364,C014,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C015,True,5,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C016,True,5,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C017,True,5,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C018,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C019,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C024,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C025,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C028,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C029,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C030,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C031,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C034,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C035,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C036,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C037,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C038,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C039,False,28,False,duration_short
coverage090,47.80591738392364,C040,False,28,False,duration_short
coverage090,47.80591738392364,C044,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C045,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C046,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C047,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C050,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C051,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C052,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C053,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C054,True,10,True,included
coverage090,47.80591738392364,C055,True,4,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C056,True,4,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C057,True,4,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C061,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C062,True,2,False,fewer_than_6_original_points_in_window
