id,normalization,raw_sd,raw_IQR,normalized_sd,derivative_rms
C056,y0,0.06232872143587146,0.111750054048262,0.062232012165203694,0.0004862358614482975
C057,y0,0.015076335717268269,0.023314759477695013,0.01502881571296182,0.00014637064206868316
C061,y0,0.03075033806709734,0.0471176675875864,0.03031057260929609,0.000285005717698748
C062,y0,0.01755466001729924,0.024501187145544945,0.017498657161976655,0.0001698342909171623
C063,y0,0.1014190606982919,0.1313733811294584,0.1050377732346327,0.001130892822981457
C064,y0,0.028212421737601027,0.03768908475025479,0.02761744053348427,0.00029928136069388734
C065,y0,0.011464855880754864,0.020459788864423567,0.011036921623615517,0.00016572793386611365
C086,y0,0.014883181808304963,0.014702229472390749,0.01475511443421306,0.00018978920389176192
C087,y0,0.017775488240166185,0.009801486314927277,0.01815168063525749,0.00035137671763109445
C091,y0,0.0044590432861426905,0.008660361879871181,0.0044591846713010015,5.3530238424664056e-05
C092,y0,0.03037882287546963,0.04588331175705174,0.030379786112290818,0.00025155415302298683
C093,y0,0.4325199058230057,0.3107440035245048,0.023132849032396215,0.0002920323925566132
C095,y0,1.0307349676077713,1.0864974557182592,0.06564326181356174,0.002111604174099114
C099,y0,0.36830990892233345,0.5676876026382836,0.017035389793210967,0.0006024577759785129
C100,y0,0.3365826337357742,0.42118757615098446,0.016372219474493414,0.000648939759765213
C103,y0,1.4907683025868415,1.5384121074154393,0.0812879487323714,0.002040201403063963
C104,y0,0.9424886408022323,1.5384121074154393,0.050917020291431365,0.0007557429162367566
C105,y0,0.05773938248265807,0.08862886507792411,0.0596495668031595,0.0005006937911566325
C106,y0,0.012430240348997975,0.01688168858627115,0.012356590628263461,0.00016989599677123945
C109,y0,0.0860459761721207,0.07536179396831888,0.08576727482324781,0.001127964445882047
C110,y0,0.05470684249601117,0.025120597989439775,0.05487314338337341,0.0009087476640776455
C118,y0,1.7868448715649083,2.9631230707789964,0.11433582883836725,0.0023462347928452517
C125,y0,0.1460158289090583,0.19816386235071803,0.012536261628198807,0.00012713982994077855
C129,y0,0.11046413452974904,0.10011636430891357,0.004297752666140276,5.050172895518867e-05
C130,y0,0.29007948577902426,0.3003490929267407,0.01164891966782599,0.00011360607637320345
C138,y0,0.2280587935607986,0.07472095990923222,0.010111976743742696,0.0001989995926184858
C139,y0,0.6341605914207691,0.8966515189108151,0.02983138045026443,0.0002754903946124125
C140,y0,1.4513353483710436,2.440884690368332,0.06550877746532867,0.0005137860234567392
C141,y0,0.49433886560898854,0.7003002195293,0.021634784106541093,0.0002719573061369692
C150,y0,0.01143810150131804,0.017398929427593357,0.01138411537436367,0.00010399531857860009
C151,y0,0.003353935024013108,0.004349732356898284,0.0033381049527392796,4.650812033669975e-05
C152,y0,0.006562493091683055,0.011309304127935627,0.0065315191066083345,5.882863598286731e-05
C153,y0,0.08792975831335374,0.07693084348469137,0.08803159006351374,0.0010961793746123412
