candidate,id,medoid,cluster,path_length,path_length_ratio,max_index_warp,mean_index_warp,max_time_warp_fraction,mean_time_warp_fraction,boundary_fraction,turn_collapse_fraction,turns
M016957,C036,C063,1,21,1.0,0.2,0.10000000000000002,0.15060667868109948,0.053728075810975474,0.047619047619047616,0.0,1
M016957,C037,C063,1,24,1.1428571428571428,0.11176470588235293,0.04877450980392157,0.12532526861064167,0.04599371523582165,0.0,0.0,2
M016957,C038,C063,1,23,1.0952380952380953,0.10294117647058826,0.04578005115089513,0.11582022902166904,0.0455445738236897,0.0,0.0,0
M016957,C045,C063,1,25,1.0869565217391304,0.09090909090909094,0.047636363636363636,0.08167734121463878,0.042988933056940654,0.0,0.0,0
M016957,C046,C063,1,21,1.0,0.175,0.08095238095238096,0.22052847871388542,0.10006140818746978,0.0,0.0,1
M016957,C047,C063,1,21,1.0,0.19999999999999996,0.07976190476190474,0.22574874407800022,0.10464556724346477,0.047619047619047616,0.0,4
M016957,C050,C063,1,21,1.0,0.13333333333333341,0.0492063492063492,0.1920437964291645,0.08942664044096327,0.0,0.0,1
M016957,C051,C063,1,21,1.0,0.2,0.09047619047619046,0.29061370022688693,0.14941419520482063,0.047619047619047616,0.0,2
M016957,C052,C063,1,21,1.0,0.19999999999999996,0.0761904761904762,0.2302815131448808,0.08351782017589934,0.047619047619047616,0.0,1
M016957,C053,C063,1,21,1.0,0.18333333333333332,0.06984126984126984,0.14275884453030274,0.05901688597028005,0.0,0.0,0
M016957,C056,C063,1,29,1.0,0.12142857142857144,0.05541871921182266,0.10628759008717671,0.04930299924090256,0.0,0.0,0
M016957,C057,C063,1,30,1.0344827586206897,0.08571428571428574,0.03571428571428572,0.09714824815952805,0.03550141624980637,0.0,0.0,0
M016957,C061,C063,1,23,1.0952380952380953,0.18846153846153846,0.08177257525083612,0.19785137215811172,0.08440074551636359,0.0,0.0,0
M016957,C062,C063,1,22,1.0476190476190477,0.1384615384615384,0.046678321678321685,0.14856642025925024,0.05074063182100188,0.0,0.0,0
M016957,C064,C063,1,23,1.0952380952380953,0.050000000000000044,0.015217391304347827,0.049284951898861534,0.014999767969218748,0.0,0.0,0
M016957,C065,C063,1,27,1.2857142857142858,0.1,0.037037037037037035,0.09856990379772296,0.036507371776934396,0.0,0.0,1
M016957,C086,C063,1,26,1.2380952380952381,0.08947368421052637,0.04129554655870445,0.08747727888484884,0.039471431723187185,0.0,0.0,0
M016957,C087,C063,1,26,1.2380952380952381,0.19210526315789467,0.0853238866396761,0.1884342031191961,0.08243779992955937,0.0,0.0,2
M016957,C091,C063,1,21,1.0,0.15000000000000002,0.05873015873015873,0.13275038635155473,0.05288125412386839,0.0,0.0,2
M016957,C092,C063,1,21,1.0,0.09999999999999998,0.03492063492063492,0.11764591700652549,0.038496045223840425,0.0,0.0,0
M016957,C093,C063,1,23,1.0952380952380953,0.15714285714285714,0.06894409937888199,0.16084928754544728,0.0671095963569634,0.0,0.0,0
M016957,C095,C063,1,36,1.0285714285714285,0.0911764705882353,0.042238562091503264,0.08256456136181016,0.03594164813235036,0.0,0.0,0
M016957,C099,C063,1,31,1.0333333333333334,0.19827586206896552,0.10456062291434927,0.17797015206051092,0.09131816469658485,0.0,0.0,1
M016957,C100,C063,1,33,1.1,0.19827586206896552,0.12758620689655173,0.17797015206051092,0.111868317057464,0.0,0.0,1
M016957,C103,C063,1,32,1.1428571428571428,0.19259259259259254,0.07343749999999999,0.17020632334634817,0.07005758571546794,0.0,0.0,0
