candidate,distance_key,window,T_h,n,effective_coverage,normalization,mode,lambda_value,radius,linkage,K,silhouette,dunn,min_cluster,max_fraction,eligible_structure,internal_score
M000016,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,complete,8,0.34145923013378643,0.23443979920298907,1,0.3793103448275862,False,0.20659722222222224
M000017,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,complete,9,0.3318236265376369,0.23811561445193705,1,0.3793103448275862,False,0.1876929012345679
M000018,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,complete,10,0.31634984874208294,0.24512670409702397,1,0.27586206896551724,False,0.15765542328042326
M000019,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,weighted,2,0.7329446047452678,0.5669135123972023,3,0.896551724137931,True,0.9578097442680775
M000020,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,weighted,3,0.6235263356710102,0.23381318493219547,3,0.7586206896551724,True,0.7601135361552028
M000021,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,weighted,4,0.6047563287810496,0.260589080223549,1,0.7586206896551724,False,0.7574404761904762
M000022,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,weighted,5,0.48653059048115377,0.15270327133528772,1,0.3793103448275862,False,0.5197310405643739
M000023,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,weighted,6,0.44480247934262934,0.1655708297920859,1,0.3793103448275862,False,0.45353835978835977
M000024,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,weighted,7,0.3879532678348037,0.1655708297920859,1,0.3793103448275862,False,0.2867063492063492
M000025,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,weighted,8,0.3545327384710685,0.1655708297920859,1,0.3793103448275862,False,0.1917989417989418
M000026,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,weighted,9,0.3437651838152398,0.1655708297920859,1,0.3793103448275862,False,0.16650132275132276
M000027,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,weighted,10,0.32105607188180824,0.23811561445193705,1,0.3793103448275862,False,0.1656194885361552
M000028,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,average,2,0.7330440346946415,0.5669135123972023,3,0.896551724137931,True,0.9583057760141094
M000029,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,average,3,0.6222610163666225,0.2234256712879151,3,0.7586206896551724,True,0.7498070987654321
