sample_index,cluster_neuron_id,cluster_x,cluster_y,cluster_coord,PCE_before,PCE_after,PCE_delta
162,1,0,1,"(0, 1)",10.44965361,9.371850984,10.31424259
163,1,0,1,"(0, 1)",9.556492085,8.807380821,7.838768216
164,1,0,1,"(0, 1)",9.735576251,8.728844755,10.34074892
165,1,0,1,"(0, 1)",9.768248637,9.057682276,7.274245238
166,1,0,1,"(0, 1)",14.25554447,11.94517182,16.20683559
167,1,0,1,"(0, 1)",12.23502218,11.81038095,3.470702571
168,1,0,1,"(0, 1)",13.13660777,10.67141854,18.76579761
169,1,0,1,"(0, 1)",14.68776924,11.40930533,22.32104722
170,1,0,1,"(0, 1)",13.11206637,10.12292436,22.79687981
171,1,0,1,"(0, 1)",14.55213753,11.43977655,21.38765509
172,1,0,1,"(0, 1)",11.574661,10.36800684,10.42496325
173,1,0,1,"(0, 1)",12.05891694,9.260648138,23.20497618
174,1,0,1,"(0, 1)",12.00407242,9.409709295,21.61235815
175,1,0,1,"(0, 1)",14.3499599,10.8314745,24.51913057
176,1,0,1,"(0, 1)",12.94902003,11.17290343,13.71622408
177,1,0,1,"(0, 1)",12.41050031,9.667695426,22.10067938
178,1,0,1,"(0, 1)",12.73744095,10.22017485,19.76273028
179,1,0,1,"(0, 1)",12.76643695,10.4807518,17.90386122
180,1,0,1,"(0, 1)",13.21232083,10.1583209,23.11478786
181,1,0,1,"(0, 1)",13.81083824,10.82184652,21.64236286
182,3,1,1,"(1, 1)",10.79079775,4.206840011,61.01455972
183,3,1,1,"(1, 1)",9.03937396,3.711336827,58.94254576
184,3,1,1,"(1, 1)",8.713863211,3.528502509,59.50702434
185,3,1,1,"(1, 1)",9.671551907,3.795702594,60.75394486
186,3,1,1,"(1, 1)",11.04575864,3.911479911,64.5883996
187,0,0,0,"(0, 0)",8.064882498,4.161638818,48.39802292
188,3,1,1,"(1, 1)",10.04273602,2.924517793,70.87927247
189,3,1,1,"(1, 1)",9.158951777,2.695417252,70.57067972
190,3,1,1,"(1, 1)",10.17949873,2.895266356,71.55786908
191,3,1,1,"(1, 1)",11.21716401,2.939807898,73.79187916
192,3,1,1,"(1, 1)",10.39684276,2.408192889,76.83726738
193,3,1,1,"(1, 1)",11.223877,2.281328738,79.67432522
194,0,0,0,"(0, 0)",6.646570786,3.668273204,44.80953679
195,3,1,1,"(1, 1)",10.49922914,3.494230979,66.7191664
196,3,1,1,"(1, 1)",9.605041506,3.832228958,60.10190112
197,0,0,0,"(0, 0)",5.403701826,3.816329778,29.37564098
198,0,0,0,"(0, 0)",6.689806626,3.939778699,41.10773421
199,3,1,1,"(1, 1)",8.883927347,2.008820748,77.38814525
200,3,1,1,"(1, 1)",8.05058588,2.291249742,71.53934165
