curve_id,sample,csv_path,cluster_zero_based,cluster_display,som_x,som_y
图片113_79585e07d2,图片113,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_1__Series_1.csv,0,1,0,0
图片113_c533222a3c,图片113,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_2__Series_2.csv,2,3,0,2
图片114_ee5e59416d,图片114,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_1__Series_1.csv,6,7,0,6
图片114_9e06e27c24,图片114,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_3__Series_3.csv,0,1,0,0
图片115_8c30182729,图片115,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_1__Series_1.csv,4,5,0,4
图片115_430f145e0d,图片115,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_2__Series_2.csv,3,4,0,3
图片12_bf69724187,图片12,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Control__Series_1.csv,0,1,0,0
图片12_38533f8bee,图片12,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Target__Series_2.csv,0,1,0,0
图片121_15f5c6cbae,图片121,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__2PaCz__Series_1.csv,0,1,0,0
图片122_c3ddf8ba4b,图片122,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__OCT-doped__Series_2.csv,0,1,0,0
图片122_3138f8748b,图片122,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__Pristine__Series_1.csv,1,2,0,1
图片127_aef6d9af0f,图片127,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_1__Series_1.csv,2,3,0,2
图片127_643357a725,图片127,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_2__Series_2.csv,1,2,0,1
图片127_02e16b0d01,图片127,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_3__Series_3.csv,4,5,0,4
图片132_3a415162c3,图片132,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2.csv,0,1,0,0
图片132_b06a9ac20e,图片132,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__Sn_{$__Series_1.csv,1,2,0,1
图片135_34111350bc,图片135,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,0,1,0,0
图片135_4b2d21d4f1,图片135,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_2__Series_2.csv,1,2,0,1
图片136_d25478ae5a,图片136,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片136/accepted/samples_test__unknown__unknown__图片136__Control__Series_2.csv,0,1,0,0
图片141_52b07a6326,图片141,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell1__Series_1.csv,0,1,0,0
图片141_123f56d443,图片141,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell2__Series_2.csv,0,1,0,0
图片141_8fd14d68be,图片141,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell3__Series_3.csv,0,1,0,0
图片141_b8ba6dc543,图片141,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell4__Series_4.csv,0,1,0,0
图片159_65f3e3ebbe,图片159,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片159/accepted/samples_test__unknown__unknown__图片159__MeO-2PACz__Series_2.csv,1,2,0,1
图片159_ebf4afac05,图片159,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片159/accepted/samples_test__unknown__unknown__图片159__PTAA__Series_1.csv,0,1,0,0
图片160_b6622eb275,图片160,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片160/accepted/samples_test__unknown__unknown__图片160__Series_1__Series_1.csv,0,1,0,0
图片160_f7efa7734d,图片160,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片160/accepted/samples_test__unknown__unknown__图片160__Series_2__Series_2.csv,0,1,0,0
图片162_9f1f502e03,图片162,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_1__Series_1.csv,4,5,0,4
图片162_222dd75460,图片162,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_2__Series_2.csv,1,2,0,1
图片162_19cb1979e3,图片162,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_3__Series_3.csv,0,1,0,0
图片172_753d12fa9b,图片172,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_1__Series_1.csv,5,6,0,5
图片172_bd939e70bb,图片172,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_2__Series_2.csv,2,3,0,2
图片172_84a27cb7e0,图片172,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_3__Series_3.csv,1,2,0,1
图片180_8801c12532,图片180,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片180/accepted/samples_test__unknown__unknown__图片180__Ctrl__Series_1.csv,4,5,0,4
图片180_e87debf7f3,图片180,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片180/accepted/samples_test__unknown__unknown__图片180__Target__Series_2.csv,1,2,0,1
图片183_442ec044b3,图片183,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片183/accepted/samples_test__unknown__unknown__图片183__Series_1__Series_1.csv,6,7,0,6
图片183_0f39f7aa44,图片183,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片183/accepted/samples_test__unknown__unknown__图片183__Series_2__Series_2.csv,4,5,0,4
图片184_3fb77091e9,图片184,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__OCT-doped__Series_2.csv,0,1,0,0
图片184_41b30d1245,图片184,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__Pristine__Series_1.csv,0,1,0,0
图片19_4fe06180b8,图片19,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片19/accepted/samples_test__unknown__unknown__图片19__PCE24.7%@t=0__Series_2.csv,0,1,0,0
图片19_0cdd22d929,图片19,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片19/accepted/samples_test__unknown__unknown__图片19__SAM__Series_1.csv,1,2,0,1
图片190_9183c29363,图片190,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片190/accepted/samples_test__unknown__unknown__图片190__Control__Series_1.csv,1,2,0,1
图片193_b2555293fe,图片193,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片193/accepted/samples_test__unknown__unknown__图片193__Series_1__Series_1.csv,5,6,0,5
图片197_e0c62dba70,图片197,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片197/accepted/samples_test__unknown__unknown__图片197__1.40M（8_1）__Series_2.csv,0,1,0,0
图片202_c362bc8fd2,图片202,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片202/accepted/samples_test__unknown__unknown__图片202__WBGPSCs_with_YbOx__Series_2.csv,5,6,0,5
图片202_608c29938a,图片202,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片202/accepted/samples_test__unknown__unknown__图片202__WBG_PSCs_withBCP__Series_1.csv,0,1,0,0
图片203_a0cc51d6e9,图片203,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片203/accepted/samples_test__unknown__unknown__图片203__0--Control__Series_1.csv,2,3,0,2
图片203_dac72be995,图片203,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片203/accepted/samples_test__unknown__unknown__图片203__DMPESI__Series_2.csv,0,1,0,0
图片205_b2366de081,图片205,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片205/accepted/samples_test__unknown__unknown__图片205__Series_1__Series_1.csv,4,5,0,4
图片205_522a9ae83d,图片205,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片205/accepted/samples_test__unknown__unknown__图片205__Series_2__Series_2.csv,4,5,0,4
图片28_c65ea9940b,图片28,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片28/accepted/samples_test__unknown__unknown__图片28__Series_1__Series_1.csv,2,3,0,2
图片28_209893d1b5,图片28,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片28/accepted/samples_test__unknown__unknown__图片28__Series_2__Series_2.csv,1,2,0,1
图片33_29efc2f954,图片33,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片33/accepted/samples_test__unknown__unknown__图片33__0—AZO__Series_2.csv,6,7,0,6
图片37_6f14f326fc,图片37,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片37/accepted/samples_test__unknown__unknown__图片37__Series_1__Series_1.csv,4,5,0,4
图片37_000746d01e,图片37,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片37/accepted/samples_test__unknown__unknown__图片37__Series_2__Series_2.csv,1,2,0,1
图片39_ee170f3dae,图片39,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片39/accepted/samples_test__unknown__unknown__图片39__Series_1__Series_1.csv,0,1,0,0
图片39_bb4eabe158,图片39,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片39/accepted/samples_test__unknown__unknown__图片39__Series_2__Series_2.csv,0,1,0,0
图片42_19506aa641,图片42,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片42/accepted/samples_test__unknown__unknown__图片42__Series_1__Series_1.csv,2,3,0,2
图片42_7d207d471d,图片42,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片42/accepted/samples_test__unknown__unknown__图片42__Series_2__Series_2.csv,4,5,0,4
图片48_18bb53501c,图片48,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片48/accepted/samples_test__unknown__unknown__图片48__EtCz3EPA_PTAA_BCP__Series_1.csv,0,1,0,0
图片48_bf7136b28b,图片48,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片48/accepted/samples_test__unknown__unknown__图片48__EtCz3EPA__Series_2.csv,0,1,0,0
图片48_5bbb0059b4,图片48,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片48/accepted/samples_test__unknown__unknown__图片48__PTAA_BCP__Series_3.csv,1,2,0,1
图片50_c0a214ebf5,图片50,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片50/accepted/samples_test__unknown__unknown__图片50__Series_1__Series_1.csv,0,1,0,0
图片58_d69ce56cdb,图片58,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片58/accepted/samples_test__unknown__unknown__图片58__Series_1__Series_1.csv,0,1,0,0
图片58_50448758b7,图片58,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片58/accepted/samples_test__unknown__unknown__图片58__Series_2__Series_2.csv,0,1,0,0
图片58_b811f75376,图片58,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片58/accepted/samples_test__unknown__unknown__图片58__Series_3__Series_3.csv,0,1,0,0
图片59_0e2117ef59,图片59,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片59/accepted/samples_test__unknown__unknown__图片59__Control__Series_1.csv,4,5,0,4
图片59_e3475cdbf8,图片59,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片59/accepted/samples_test__unknown__unknown__图片59__Target__Series_2.csv,3,4,0,3
图片63_4ff556b346,图片63,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_TDY-a__Series_2.csv,1,2,0,1
图片63_d58c506a03,图片63,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_TDY-β__Series_3.csv,1,2,0,1
图片63_284d7d14ca,图片63,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_Y6__Series_1.csv,3,4,0,3
图片68_859b9584f9,图片68,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片68/accepted/samples_test__unknown__unknown__图片68__Series_1__Series_1.csv,1,2,0,1
图片68_fad5e53559,图片68,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片68/accepted/samples_test__unknown__unknown__图片68__Series_2__Series_2.csv,0,1,0,0
图片70_784f10c9ac,图片70,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片70/accepted/samples_test__unknown__unknown__图片70__Series_1__Series_1.csv,0,1,0,0
图片70_d6ca5dd41a,图片70,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片70/accepted/samples_test__unknown__unknown__图片70__Series_2__Series_2.csv,0,1,0,0
图片71_38de5c5938,图片71,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片71/accepted/samples_test__unknown__unknown__图片71__Control__Series_2.csv,2,3,0,2
图片71_ce6043959c,图片71,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片71/accepted/samples_test__unknown__unknown__图片71__Target__Series_1.csv,3,4,0,3
图片74_def37f6468,图片74,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片74/accepted/samples_test__unknown__unknown__图片74__Series_1__Series_1.csv,0,1,0,0
图片74_86e6e04cc6,图片74,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片74/accepted/samples_test__unknown__unknown__图片74__Series_2__Series_2.csv,0,1,0,0
图片74_b8f09915be,图片74,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片74/accepted/samples_test__unknown__unknown__图片74__Series_3__Series_3.csv,0,1,0,0
图片75_de69b4039b,图片75,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片75/accepted/samples_test__unknown__unknown__图片75__Ceo-based_device(encapsulated)__Series_2.csv,2,3,0,2
图片75_dbebd4e570,图片75,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片75/accepted/samples_test__unknown__unknown__图片75__SnOx-based_device_(unencapsulated)__Series_1.csv,0,1,0,0
图片78_9902d223c6,图片78,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片78/accepted/samples_test__unknown__unknown__图片78__Series_1__Series_1.csv,5,6,0,5
图片78_98bed66678,图片78,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片78/accepted/samples_test__unknown__unknown__图片78__Series_2__Series_2.csv,5,6,0,5
图片85_079475eacb,图片85,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片85/accepted/samples_test__unknown__unknown__图片85__NBG_PSCs_with_YbOx__Series_1.csv,3,4,0,3
图片87_cc38dadd38,图片87,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片87/accepted/samples_test__unknown__unknown__图片87__Series_1__Series_1.csv,0,1,0,0
图片87_866a403675,图片87,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片87/accepted/samples_test__unknown__unknown__图片87__Series_2__Series_2.csv,1,2,0,1
图片88_39cf652f1d,图片88,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_1__Series_1.csv,1,2,0,1
图片88_e93d200ab7,图片88,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_2__Series_2.csv,0,1,0,0
图片88_2e8315436b,图片88,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_3__Series_3.csv,0,1,0,0
图片89_83194fd20f,图片89,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__PTAA_BCP__Series_3.csv,0,1,0,0
图片90_7ad9a3867b,图片90,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片90/accepted/samples_test__unknown__unknown__图片90__Series_1__Series_1.csv,0,1,0,0
图片98_3f64109ac7,图片98,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片98/accepted/samples_test__unknown__unknown__图片98__Series_1__Series_1.csv,2,3,0,2
