setting,k,seed_ari_mean,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,occupied_nodes_median,empty_nodes_median,min_cluster_size_median,min_cluster_fraction_median,minimum_center_rmse_median,median_within_rmse_median,center_overlap_ratio_median,source,sigma,learning_rate,random_order,layout
paper_sigma_sensitivity,9,0.48130292892945403,4.101611329074182,0.1832464800335602,0.4492512479201331,0.2055776185747334,9.0,0.0,12.0,0.009983361064891847,0.17921341733372886,0.13462028836050355,1.3325471548825043,paper,0.3,0.1,False,3x3
paper_sigma_sensitivity,10,0.536031591478076,3.9789009697437807,0.17776418548957057,0.47587354409317806,0.18944000721227575,10.0,0.0,11.0,0.009151414309484194,0.16588614880614594,0.1329931254158387,1.2461519232135942,paper,0.3,0.1,False,2x5
paper_lr_sensitivity,2,1.0,6.49058059317189,0.28997775548405086,0.0,0.742272691461661,2.0,0.0,51.0,0.042429284525790346,1.4065336961672132,0.21469184630488414,6.551407146423445,paper,0.5,0.3,False,1x2
paper_lr_sensitivity,3,1.0,5.597437580919604,0.2500750684591579,0.018302828618968387,0.3707193720571054,3.0,0.0,48.0,0.03993344425956739,0.44994488614453754,0.20107665939044056,2.2376783437038283,paper,0.5,0.3,False,1x3
paper_lr_sensitivity,4,1.0,5.07891284491862,0.22690909171022036,0.0,0.344874828562729,4.0,0.0,40.0,0.033277870216306155,0.36087139873139784,0.17848817670342754,2.021822427650168,paper,0.5,0.3,False,2x2
paper_lr_sensitivity,5,1.0,4.837778416767259,0.2161359999595653,0.03161397670549085,0.30761299697644134,5.0,0.0,31.0,0.025790349417637273,0.2859938311468257,0.16967686131637522,1.685520517802856,paper,0.5,0.3,False,1x5
paper_lr_sensitivity,6,0.9912008149192154,4.759893473740671,0.2126563573234947,0.005823627287853577,0.30179806014542127,6.0,0.0,13.0,0.010815307820299502,0.2865949000793167,0.1679566814975776,1.7063620122516407,paper,0.5,0.3,False,2x3
paper_lr_sensitivity,7,0.9660808782028096,4.437133552805383,0.19823650749812088,0.44342762063227953,0.2414623497538512,7.0,0.0,9.0,0.0074875207986688855,0.2433882276997851,0.1467625542928353,1.6583809737495725,paper,0.5,0.3,False,1x7
paper_lr_sensitivity,8,0.6950830389598475,4.285980651341435,0.191483493885205,0.024958402662229616,0.23658716067321864,8.0,0.0,10.0,0.008319467554076539,0.22983537281017433,0.14478704640109513,1.6097827434791296,paper,0.5,0.3,False,2x4
paper_lr_sensitivity,9,0.7894047925849831,4.142873796931732,0.18508995114424212,0.01747088186356073,0.1865091459094486,9.0,0.0,9.0,0.0074875207986688855,0.15837880083036995,0.13703338322018774,1.1557680222019022,paper,0.5,0.3,False,3x3
paper_lr_sensitivity,10,0.722200641544636,4.088110475616734,0.18264330638422158,0.11231281198003328,0.2110833189574454,10.0,0.0,9.0,0.0074875207986688855,0.19950568782114236,0.13942625303452383,1.4309047474228815,paper,0.5,0.3,False,2x5
optimized_random_order,2,0.9768566294879483,6.499930407595656,0.29039547438637037,0.0,0.7385379711697942,2.0,0.0,53.0,0.04409317803660566,1.3167899736884319,0.2138301974035055,6.1055024507429065,optimization,0.5,0.1,True,1x2
optimized_random_order,3,0.8407838191817817,5.465114547853549,0.2441633113248728,0.03993344425956739,0.31684918707477144,3.0,0.0,47.0,0.039101497504159734,0.385282709449869,0.1838683836337192,2.0919409234956237,optimization,0.5,0.1,True,1x3
optimized_random_order,4,0.7463475094056664,5.109683938421837,0.22828384278214134,0.0,0.3453664246706669,4.0,0.0,40.0,0.033277870216306155,0.3954573861131331,0.18565077268813573,2.130114409894267,optimization,0.5,0.1,True,2x2
optimized_random_order,5,0.849187857271265,4.719571354583869,0.21085489789446454,0.632279534109817,0.27538791342826446,5.0,0.0,32.0,0.026622296173044926,0.29253754457543063,0.16087268165989804,1.8097465716290808,optimization,0.5,0.1,True,1x5
optimized_random_order,6,0.5347802530764405,4.499956228409833,0.20104321765351832,0.24875207986688852,0.25505861467492746,6.0,0.0,28.0,0.02329450915141431,0.25524465196967977,0.15034885501990153,1.706528983412608,optimization,0.5,0.1,True,2x3
optimized_random_order,7,0.48178228911874915,4.342005601418036,0.19398650406143012,0.42346089850249585,0.2370894072787193,7.0,0.0,23.0,0.01913477537437604,0.2260575967984567,0.1455439991269467,1.553190774974728,optimization,0.5,0.1,True,1x7
optimized_random_order,8,0.6697859062205505,4.210179557125935,0.1880969507480672,0.2129783693843594,0.21500783672325582,8.0,0.0,13.0,0.010815307820299502,0.20891337428435092,0.13990756098809498,1.512167772225548,optimization,0.5,0.1,True,2x4
optimized_random_order,9,0.7256537656585201,4.116298978977133,0.1839026758377805,0.21630615640599002,0.23267499272413142,9.0,0.0,14.0,0.011647254575707155,0.20500689487412607,0.13749830862242704,1.5683490739611678,optimization,0.5,0.1,True,3x3
optimized_random_order,10,0.6106098568071301,4.0116624730130335,0.1792278615117581,0.3643926788685524,0.22283248661444158,10.0,0.0,11.0,0.009151414309484194,0.20043495368684078,0.13403624960975996,1.467885637733884,optimization,0.5,0.1,True,2x5
optimized_wider_neighborhood,2,0.9405702960814974,6.623341612907574,0.2959090804196394,0.0,0.7103225135200003,2.0,0.0,68.0,0.056572379367720464,0.8982362509536228,0.21537611097504222,4.039530373704552,optimization,1.0,0.1,True,1x2
optimized_wider_neighborhood,3,0.8927812256131485,5.507719044216575,0.24606673984741134,0.013311148086522463,0.319832802392142,3.0,0.0,54.0,0.04492512479201331,0.37116243295020673,0.17930444100871945,2.070012493054131,optimization,1.0,0.1,True,1x3
optimized_wider_neighborhood,4,0.7297642053626955,5.0615728878087,0.2261343995589182,0.0,0.3092060155777707,4.0,0.0,49.0,0.04076539101497504,0.32728191180247024,0.16924274807065048,1.9699808150536078,optimization,1.0,0.1,True,2x2
optimized_wider_neighborhood,5,0.7258155476081832,4.637559548992,0.20719088063632543,0.012479201331114808,0.25260456979558854,5.0,0.0,38.0,0.03161397670549085,0.25510915109151094,0.15481878153285006,1.675237440472365,optimization,1.0,0.1,True,1x5
optimized_wider_neighborhood,6,0.5012801896237108,4.512029618687769,0.20158261695125784,0.010815307820299502,0.21165238629100672,6.0,0.0,40.0,0.033277870216306155,0.2016621591626975,0.14454550406162303,1.4105286580436895,optimization,1.0,0.1,True,2x3
optimized_wider_neighborhood,7,0.5078959809214965,4.287640427528876,0.19155764721656432,0.021630615640599003,0.1974471009698126,7.0,0.0,32.0,0.026622296173044926,0.1942594130388798,0.13905626499342622,1.4358530373264815,optimization,1.0,0.1,True,1x7
optimized_wider_neighborhood,8,0.45584186235818525,4.177607465085588,0.18664173699550768,0.009983361064891847,0.18833575908497815,8.0,0.0,38.0,0.03161397670549085,0.19378467439794225,0.13087418590479477,1.5167186745430625,optimization,1.0,0.1,True,2x4
optimized_wider_neighborhood,9,0.5325282975552251,4.107081231552468,0.18349085725384132,0.016638935108153077,0.19306682805662956,9.0,0.0,21.0,0.01747088186356073,0.18121055446684695,0.12908017287132395,1.4034153969076397,optimization,1.0,0.1,True,3x3
optimized_wider_neighborhood,10,0.5176470607097168,3.963555268452202,0.17707859011747984,0.009983361064891847,0.17442426131880898,10.0,0.0,27.0,0.022462562396006656,0.1650565669863347,0.1272917037799556,1.3296263546757203,optimization,1.0,0.1,True,2x5
optimized_wider_faster,2,0.8461909890693949,6.685451994534995,0.29868396762703725,0.0,0.7085185185849718,2.0,0.0,67.0,0.05574043261231281,1.0238244643371426,0.22321402845125354,3.985425497660919,optimization,1.0,0.3,True,1x2
optimized_wider_faster,3,0.627824761703377,5.664825148071653,0.2530857229283188,0.012479201331114808,0.308441462147683,3.0,0.0,54.0,0.04492512479201331,0.37230314372881707,0.1868950818804483,2.0370755028794227,optimization,1.0,0.3,True,1x3
optimized_wider_faster,4,0.5939877491612493,5.215020252538954,0.23298992223068532,0.0,0.3033429692629933,4.0,0.0,48.0,0.03993344425956739,0.32438445371227803,0.17796902317708613,1.9240072106075736,optimization,1.0,0.3,True,2x2
optimized_wider_faster,5,0.5913152500421577,4.77261486167827,0.21322470702161997,0.012479201331114808,0.2524974470821652,5.0,0.0,39.0,0.0324459234608985,0.2894444528724307,0.15808690040690326,1.7763449312588484,optimization,1.0,0.3,True,1x5
optimized_wider_faster,6,0.46829943045527206,4.607709771233182,0.20585729091627702,0.0074875207986688855,0.2424812713260646,6.0,0.0,37.0,0.030782029950083195,0.2600452150120125,0.14959306399524394,1.7465406339674436,optimization,1.0,0.3,True,2x3
optimized_wider_faster,7,0.5517380449084882,4.356751305703884,0.19464529354419843,0.008319467554076539,0.2242165484398075,7.0,0.0,29.0,0.024126455906821963,0.2007407816657863,0.1464941663511978,1.3559006119399406,optimization,1.0,0.3,True,1x7
optimized_wider_faster,8,0.5024390386477572,4.272131848110211,0.1908647749864126,0.011647254575707155,0.2023395710034825,8.0,0.0,29.0,0.024126455906821963,0.18775558519847152,0.13666828346357635,1.3574017642357652,optimization,1.0,0.3,True,2x4
optimized_wider_faster,9,0.4869551534565373,4.159163283688246,0.1858177117412849,0.018302828618968387,0.19127831720050598,9.0,0.0,20.0,0.016638935108153077,0.1754225632957568,0.13384321428023804,1.294945754346119,optimization,1.0,0.3,True,3x3
optimized_wider_faster,10,0.46875513605192853,4.079496528803111,0.1822584636221579,0.009983361064891847,0.18206290892542587,10.0,0.0,18.0,0.014975041597337771,0.16507889653654126,0.13488372165886103,1.2168690743450605,optimization,1.0,0.3,True,2x5
