curve_id,window_hours,amplitude,start_value,end_value,end_minus_start,end_minus_start_ratio,gain_abs,gain_ratio,peak_drop_abs,peak_drop_ratio,early_peak_drop_abs,early_peak_drop_ratio,early_drop_abs,early_drop_ratio,recovery_abs,recovery_ratio,post_recovery_drop_abs,post_recovery_drop_ratio,t_peak_fraction,t_early_min_fraction,t_recovery_fraction,early_boundary_fraction,early_slope,late_slope,fraction_negative_steps
10.1002_aenm.201700763_Fig5_A_stability_performance_curve_pce_33c8401737,150,0.05590844117158256,0.9996825649407216,0.9443535267058394,-0.05532903823488222,-0.9896365750044407,0.0003174350592790587,0.005677766230413276,0.05564647329416128,0.995314341234854,0.03295554597440509,0.5894556400394849,0.03263811091512603,0.5837778738090716,0.0,0.0,0.022690927319756193,0.40585870119536904,0.0,0.6,0.6,0.6,-0.03809190877866781,-0.05008159994336009,1.0
10.1002_aenm.201700763_Fig5_A_stability_performance_curve_pce_6d9ffdd253,150,0.0598122236291988,0.9992874312099712,0.9405393189322157,-0.05874811227775556,-0.9822091324000907,0.0007083877625451152,0.0118435282884099,0.059456500040300675,0.9940526606885006,0.03969787326671337,0.6637083669187293,0.03898948550416825,0.6518648386303194,0.0,0.0,0.019758626773587307,0.3303442937697713,0.0,0.6,0.6,0.6,-0.08660129623713592,-0.04408723313310493,1.0
10.1002_aenm.201701688_Fig4_F_device_structure_3544312f11,150,0.1563419473455836,0.999317900553074,0.8465197296819825,-0.1527981708710915,-0.9773331691547962,0.000761154903441974,0.004868526434300394,0.15355932577453346,0.9822016955890965,0.07159122683115116,0.4579143860406411,0.07083007192770918,0.45304585960634075,0.0,0.0,0.0819680989433823,0.5242873095484554,0.0,0.6,0.6,0.6,-0.024001542192428376,-0.214107347663351,0.98
10.1002_aenm.201702934_Fig4_A_stability_performance_curve_b577a3323c,150,0.13941476104019457,0.999051291303851,0.8620983860361339,-0.13695290526771708,-0.9823414984603552,0.0009492508041468728,0.006808825672865408,0.13790215607186396,0.9891503241332207,0.07270467135514003,0.521499092439563,0.07175542055099315,0.5146902667666977,0.0,0.0,0.06519748471672393,0.4676512316936575,0.0,0.6,0.6,0.6,-0.11606299145778051,-0.1788719490140389,1.0
10.1002_aenm.201702960_Fig5_F_stability_performance_curve_89e05a2379,150,0.05943622170063412,0.9950180103907895,0.940940663194176,-0.0540773471966135,-0.9098382375142893,0.004981581547588321,0.08381390009411,0.05905892874420182,0.9936521376083993,0.02481311123713037,0.4174745723593941,0.01983152968954205,0.3336606722652841,0.0,0.0,0.03424581750707145,0.5761775652490052,0.13666666666666666,0.6,0.6,0.6,0.052176884314185996,-0.095152058223837,0.8633333333333333
10.1002_aenm.201703054_Fig8_A_stability_performance_curve_pce_7f3a40d735,150,0.0711359940674634,0.9989701417504858,0.9296267711274245,-0.06934337062306128,-0.9748000506930142,0.0010633132711822535,0.014947612458663847,0.07040668389424354,0.9897476631516781,0.04658911490052353,0.6549302573369497,0.04552580162934128,0.6399826448782858,0.0,0.0,0.023817568993720006,0.3348174058147284,0.0,0.6,0.6,0.6,-0.16367121271228527,-0.07197819268229998,0.9733333333333334
10.1002_aenm.201703392_Fig6_C_stability_performance_curve_14833648ee,150,0.14924787522506178,0.999292101907982,0.8517971099622744,-0.1474949919457076,-0.9882552212102793,0.0007078980920188771,0.0047431033168906815,0.14820289003772646,0.99299832452717,0.08406614598869366,0.5632652783962531,0.08335824789667479,0.5585221750793624,0.0,0.0,0.0641367440490328,0.4297330461309169,0.0,0.6,0.6,0.6,-0.09747211907535512,-0.16431077962550494,1.0
10.1002_aenm.201800275_Fig4_D_stability_performance_curve_pce_3bddce67cc,150,0.0009887205626037954,0.9990576693062878,0.9994388555111214,0.00038118620483362786,0.38553482070785916,0.0009433332268335981,0.9540948803060495,0.0005621470219999702,0.5685600595981904,1.002533161820196e-06,0.001013970174929937,4.538733577019727e-05,0.04590511969395046,0.0009887205626037954,1.0,0.0005621470219999702,0.5685600595981904,0.8166666666666667,0.0,0.8166666666666667,0.6,0.005187810866627516,-0.0018637440670919358,0.21333333333333335
10.1002_aenm.201800715_Fig6_D_stability_performance_curve_pce_6abfeb805e,150,0.11151108308522162,0.9998584158058733,0.8896323794589364,-0.11022603634693695,-0.9884760626232768,0.00014158419412690915,0.0012696871935025898,0.11036762054106386,0.9897457498167794,0.05878945947859937,0.5272073219275425,0.05864787528447246,0.5259376347340399,0.0,0.0,0.05157816106246449,0.46253842788923694,0.03,0.6,0.6,0.6,-0.009728141679493619,-0.12648751157387794,0.97
10.1002_aenm.201802774_Fig3_B_stability_performance_curve_pce_pattern_a8cfa11012,150,0.6511583048613189,0.9971251298135941,0.35319600331021545,-0.6439291265033786,-0.9888979710402682,0.0028748701864067527,0.004415009629676813,0.6468039966897854,0.993312980669945,0.3948263899680131,0.6063447045370967,0.39195151978160636,0.6019296949074199,0.0,0.0,0.25197760672177233,0.3869682761328484,0.0,0.6,0.6,0.6,-0.3997072136471483,-0.6346622410095775,1.0
