feature_set,n_nodes,topology,n_features,qe_primary,te_primary,mean_pairwise_seed_ARI,min_pairwise_seed_ARI,silhouette_pca20,davies_bouldin_pca20,calinski_harabasz_pca20,kmeans_ARI,rule_shape_category_NMI,n_empty_nodes,min_cluster_size,min_cluster_fraction,max_cluster_size,max_cluster_fraction,min_curve_centroid_RMSE,max_curve_centroid_correlation,initial_gain_best_f1,initial_gain_best_precision,initial_gain_best_recall,initial_gain_best_count,early_drop_best_f1,early_drop_best_precision,early_drop_best_recall,early_drop_best_count,dip_recovery_best_f1,dip_recovery_best_precision,dip_recovery_best_recall,dip_recovery_best_count,qe_mean_across_seeds,qe_std_across_seeds,te_mean_across_seeds,eligible,selection_score
curve_plus_derivative,7,1x7,242,0.3431128593458341,0.061495457721872815,0.9588223592051837,0.9051717510168964,0.3476471711196349,1.1937895942425432,854.4461854641477,0.8269672518336898,0.4887882475574221,0,17,0.011879804332634521,654,0.4570230607966457,0.0751728844655431,0.9995001924970625,0.3121951219512195,0.19571865443425077,0.7710843373493976,128,0.45299145299145305,0.975609756097561,0.22598870056497175,40,0.2580645161290323,0.0,0.0,0,0.3430135269022703,0.00095813852877125,0.2103424178895877,False,
curve_plus_derivative,8,2x4,242,0.3339988846721284,0.055904961565338925,0.9096981890196236,0.8045828838537714,0.3518716916353492,1.2533750980077354,767.4386402734286,0.8085862114081651,0.5024600181945666,0,16,0.011180992313067784,623,0.43535988819007687,0.03269383767113401,0.9989094112057686,0.38834951456310685,1.0,0.24096385542168675,40,0.45344129554655876,1.0,0.23728813559322035,42,0.26666666666666666,0.0,0.0,0,0.3337204666153668,0.0002931464570488118,0.07491264849755416,False,
curve_plus_derivative,9,3x3,242,0.32548450134354856,0.02236198462613557,0.7917539618133955,0.6528026628933082,0.3480222790002147,1.2522493600414637,715.4488499418947,0.7393915606030363,0.49179065589537363,0,19,0.013277428371767994,622,0.43466107617051014,0.032724889117462845,0.9991640680126121,0.38834951456310685,1.0,0.24096385542168675,40,0.34703196347031967,0.96,0.13559322033898305,24,0.18181818181818182,0.0,0.0,0,0.32406865012370595,0.0024805385989125806,0.07700908455625437,False,
curve_plus_derivative,10,2x5,242,0.31810419492587805,0.0034940600978336828,0.8644828160968296,0.7996457633830922,0.3443076948157679,1.2295065430237986,680.6500126228344,0.6245354822144609,0.5047997504667744,0,13,0.009084556254367574,611,0.42697414395527605,0.03309001060855377,0.9993657532124685,0.38834951456310685,1.0,0.24096385542168675,40,0.33802816901408456,1.0,0.2033898305084746,36,0.22222222222222224,0.0,0.0,0,0.31583293246746225,0.001988789325116812,0.1063591893780573,False,
descriptors_only,4,2x2,21,0.5041657363446871,0.0,1.0,1.0,0.4295310729260665,1.0078490720031956,637.984581561319,0.931059134690924,0.4280850485273524,0,66,0.04612159329140461,961,0.6715583508036338,0.044334173435946304,0.9963176018557324,0.5172413793103449,0.9090909090909091,0.3614457831325301,60,0.555984555984556,0.8780487804878049,0.4067796610169492,72,0.08333333333333334,0.0,0.0,0,0.5041657363446871,0.0,0.0,True,0.8982337123938426
descriptors_only,5,1x5,21,0.469117471199675,0.005590496156533892,1.0,1.0,0.3521287340738232,1.073597699616889,597.5949188495129,0.6804720995583767,0.41819275490883945,0,33,0.023060796645702306,811,0.5667365478686234,0.03329349381822959,0.9998257281202396,0.5065502183406114,0.9206349206349206,0.3493975903614458,58,0.4516129032258065,0.8787878787878788,0.1638418079096045,29,0.1702127659574468,0.0,0.0,0,0.46911747107392854,1.2744874737730019e-09,0.07309573724668064,True,0.5534161073886135
descriptors_only,6,2x3,21,0.4460574019479917,0.0006988120195667365,0.6482798649547807,0.40681739166221526,0.2882059867689457,1.17436612450805,529.4251210245236,0.7597128785047754,0.4559427279880623,0,34,0.023759608665269043,728,0.5087351502445842,0.028842326478562965,0.999369423883093,0.5065502183406114,0.9206349206349206,0.3493975903614458,58,0.45121951219512196,0.8823529411764706,0.1694915254237288,30,0.16666666666666666,0.0,0.0,0,0.44531263349990596,0.005780789432903699,0.08637316561844863,False,
descriptors_only,7,1x7,21,0.413259283321833,0.7924528301886793,0.6285026631168786,0.41627407356685225,0.24592429856465803,1.2014585611885589,485.5225700320768,0.660834112145304,0.4011943823109142,0,34,0.023759608665269043,427,0.2983927323549965,0.018440504925820316,0.9992597099765631,0.4933920704845815,0.9180327868852459,0.3373493975903614,56,0.46105919003115264,0.8823529411764706,0.1694915254237288,30,0.16666666666666666,0.0,0.0,0,0.4179201662767375,0.006203707222295514,0.4183088749126485,False,
descriptors_only,8,2x4,21,0.40078121605239725,0.09294199860237597,0.9048366648496369,0.8108740003284867,0.25857953500292613,1.2002190739410392,448.1567073745927,0.6348619303755269,0.43380332973416563,0,34,0.023759608665269043,396,0.27672955974842767,0.019526158979074365,0.9991394696185244,0.4799999999999999,1.0,0.26506024096385544,44,0.46394984326018807,0.8823529411764706,0.1694915254237288,30,0.16666666666666666,0.0,0.0,0,0.3985287477890679,0.0013332428035276172,0.14772886093640808,True,0.3208160537777125
descriptors_only,9,3x3,21,0.387209838523093,0.0726764500349406,0.8791352984967238,0.7091720674760715,0.2710516858671977,1.1667686117525666,453.45541965268814,0.6341741598603728,0.4498440586545407,0,14,0.009783368273934312,392,0.27393431167016075,0.01898897005787566,0.9993773460930995,0.4732142857142857,1.0,0.29518072289156627,49,0.5152542372881356,0.9814814814814815,0.2994350282485876,53,0.2857142857142857,0.0,0.0,0,0.386863333888858,0.0011862089942010264,0.08134171907756813,False,
descriptors_only,10,2x5,21,0.37082495114851977,0.08245981830887492,0.8458558753228456,0.724630497907418,0.2798712059128607,1.1521070448368493,431.67343387415895,0.6686323805496438,0.4264262727090425,0,13,0.009084556254367574,371,0.25925925925925924,0.018759806152656856,0.9999048121634578,0.4890829694323144,0.9152542372881356,0.3253012048192771,54,0.42477876106194695,0.9795918367346939,0.2711864406779661,48,0.29629629629629634,0.0,0.0,0,0.3730623086384023,0.0025514608263233884,0.3909154437456324,False,
time_weighted_curve,4,2x2,201,0.3222754240852438,0.0,1.0,1.0,0.5100740713795328,0.795176786828084,2296.822610316382,0.9748126130875905,0.41113268747870035,0,54,0.03773584905660377,826,0.5772187281621244,0.1123626611403053,0.9992450910865643,0.2842741935483871,0.17070217917675545,0.8493975903614458,141,0.4470588235294117,0.9259259259259259,0.2824858757062147,50,0.11764705882352941,0.0,0.0,0,0.32227542305422724,8.418214788187502e-10,0.0,False,
time_weighted_curve,5,1x5,201,0.28379253574994273,0.0,1.0,1.0,0.43607103917152185,0.8752805220492933,2102.9231977540444,0.8211017876097672,0.4697326408469469,0,51,0.03563941299790356,646,0.45143256464011183,0.07592227006809843,0.9996941154867997,0.29310344827586204,0.18421052631578946,0.7168674698795181,119,0.41228070175438597,0.9215686274509803,0.2655367231638418,47,0.12307692307692307,0.0,0.0,0,0.28379253531601123,5.880916607500548e-10,0.09182389937106919,False,
time_weighted_curve,6,2x3,201,0.2674220086874593,0.0,1.0,1.0,0.42633324189436717,0.9436636891350609,2005.2510485915548,0.9785928959370557,0.4650197734760274,0,23,0.01607267645003494,638,0.44584206848357794,0.07149712632846437,0.9995790635412863,0.2960199004975124,0.1865203761755486,0.7168674698795181,119,0.44255319148936173,0.896551724137931,0.2937853107344633,52,0.16216216216216214,0.0,0.0,0,0.26742201854098074,1.3172228290923204e-08,0.10286512928022362,False,
time_weighted_curve,7,1x7,201,0.2602937663686285,0.0573025856044724,0.919898929960245,0.8664982166004084,0.42825507813855646,0.9369349230951717,1873.9967796612132,0.9614668792043928,0.46409727608562235,0,26,0.01816911250873515,637,0.4451432564640112,0.07171122998066763,0.999794456573519,0.29638854296388545,0.18681318681318682,0.7168674698795181,119,0.36771300448430494,0.8913043478260869,0.23163841807909605,41,0.15,0.0,0.0,0,0.2578565538846438,0.00298495976587327,0.26121593291404616,False,
time_weighted_curve,8,2x4,201,0.24993838093442022,0.011879804332634521,0.8303562699002562,0.5758906747506404,0.4256208087851437,0.9454744861302978,1706.9686854970103,0.8994786649151114,0.480402566605174,0,26,0.01816911250873515,599,0.4185883997204752,0.03020841587360396,0.999820370444666,0.3942307692307692,0.9761904761904762,0.2469879518072289,41,0.36771300448430494,0.8913043478260869,0.23163841807909605,41,0.15,0.0,0.0,0,0.24232218538285366,0.0038080977757832903,0.019426974143955278,False,
time_weighted_curve,9,3x3,201,0.2357270603611276,0.004891684136967156,0.8234825733224997,0.5587064333062494,0.41436914988870266,0.9647159276328497,1708.5393557544307,0.55395550637164,0.48601638597365177,0,20,0.013976240391334731,576,0.4025157232704403,0.029889718062455713,0.9995562514536437,0.3942307692307692,0.9761904761904762,0.2469879518072289,41,0.38095238095238093,0.9310344827586207,0.15254237288135594,27,0.11764705882352941,0.0,0.0,0,0.23484643025707022,0.0017640677378027744,0.05143256464011181,False,
time_weighted_curve,10,2x5,201,0.22482650268017249,0.041928721174004195,0.9087870088633453,0.822518826136781,0.34589608862895427,1.0184213983490338,1618.7446956759782,0.8734514943627669,0.44789210040738614,0,19,0.013277428371767994,480,0.33542976939203356,0.04552619340637761,0.999773715823402,0.32817337461300305,0.22083333333333333,0.6385542168674698,106,0.330188679245283,1.0,0.1977401129943503,35,0.18181818181818182,0.0,0.0,0,0.22316035011479193,0.001764177705940816,0.04053109713487072,False,
