candidate,mode,replicates,ARI_mean,ARI_median,ARI_p025,ARI_p975,ARI_min,actual_deleted_fraction
M016957,drop05,50,0.9829749393694422,1.0,0.9054163298302345,1.0,0.9054163298302345,0.06736514734928056
M016957,drop10,50,0.9886499595796281,1.0,0.9054163298302345,1.0,0.9054163298302345,0.09749591005290453
M017938,bootstrap90,50,0.4432495253938567,-0.019710649529094515,-0.09452061557593656,1.0,-0.09625135503724166,
M017938,bootstrap95,50,0.5130859173219552,0.8607323042627011,-0.09550628046790276,1.0,-0.10941024814695456,
M017938,drop05,50,0.07502864919905394,-0.07028036453473101,-0.08324458906250992,1.0,-0.08380931458699473,0.06736514734928056
M017938,drop10,50,0.05609922313052885,-0.05979476007567506,-0.08344327460342749,0.915199366048822,-0.08356427201023237,0.09749591005290453
M018102,bootstrap90,50,0.7172286600369595,0.8054337148713984,0.24331469369918288,1.0,0.141595023296472,
M018102,bootstrap95,50,0.7191856247959266,0.8186942461524702,0.21237847818804875,1.0,0.1536373652952084,
M018102,drop05,50,0.6096523380542965,0.6594826006056862,0.2192724565798898,0.9078805068093617,0.18028502909557403,0.06736514734928056
M018102,drop10,50,0.5961992175189594,0.6265629774911343,0.18093747341691052,0.8688348641725965,0.14201539490976312,0.09749591005290453
M018550,bootstrap90,50,0.6778720027032348,0.9087811156816087,0.049705760771222664,1.0,0.04405286343612335,
M018550,bootstrap95,50,0.7129932612425642,1.0,0.05898669014766149,1.0,0.04131697869593286,
M018550,drop05,50,0.9782939556457112,1.0,0.8474633223222287,1.0,0.7932178449486854,0.060240790304060904
M018550,drop10,50,0.9520288305907715,1.0,0.6035192322900776,1.0,0.5484454415182237,0.0918735619368026
M019216,bootstrap90,50,0.33806619690290324,0.34960301417211154,-0.07294450558088351,1.0,-0.09684755972211799,
M019216,bootstrap95,50,0.3940776632755663,0.42934996221991695,-0.09430072012204259,1.0,-0.10660909996678844,
M019216,drop05,50,0.2633526871358458,0.11264360459534706,-0.06884416959923469,0.8648743476163326,-0.10104529616724739,0.060240790304060904
M019216,drop10,50,0.27971291702108547,0.23937495846348109,-0.10373545262829025,0.9695967282136746,-0.10373545262829025,0.0918735619368026
M019684,bootstrap90,50,0.663682705735063,0.9111408028490091,0.049705760771222664,1.0,0.04405286343612335,
M019684,bootstrap95,50,0.7065001401560258,0.9192208406407563,0.05898669014766149,1.0,0.04131697869593286,
M019684,drop05,50,0.9439705903757032,1.0,0.2476931281501518,1.0,0.08931498456348069,0.060240790304060904
M019684,drop10,50,0.9205877950175929,1.0,0.08931498456348069,1.0,0.08931498456348069,0.0918735619368026
M020341,bootstrap90,50,0.8251374138934306,0.8274897954694772,0.4138373171005703,1.0,0.3018812355041785,
M020341,bootstrap95,50,0.7795478686080053,0.7813697654694467,0.46683347897899996,1.0,0.08851995235259083,
M020341,drop05,50,0.8458927829163434,0.8415183805330485,0.669783657944435,1.0,0.13043920017340413,0.060240790304060904
M020341,drop10,50,0.839768378186948,0.8415183805330485,0.26915971032010233,1.0,0.13043920017340413,0.0918735619368026
M020521,bootstrap90,50,0.7054249802562634,0.6881552501273119,0.2925897031009562,1.0,-0.023809523809523808,
M020521,bootstrap95,50,0.725174273465153,0.7403094646692483,0.35161458338725604,1.0,0.3413950591654557,
M020521,drop05,50,0.8912661927859168,1.0,0.5873955431754875,1.0,0.3015508328546812,0.060240790304060904
M020521,drop10,50,0.8264026111099563,0.8892968639137222,0.4208207461146697,1.0,0.3015508328546812,0.0918735619368026
M020638,bootstrap90,50,0.9548236537946218,1.0,0.49908463657285757,1.0,0.0,
M020638,bootstrap95,50,0.9740165055758782,1.0,0.6692203992081232,1.0,0.4612005856515373,
M020638,drop05,50,0.9168367230903052,1.0,0.7161101282618311,1.0,0.6371964861873248,0.060240790304060904
M020638,drop10,50,0.8468227661145592,0.8543884403624435,0.14216798589313748,1.0,-0.06311678716554964,0.0918735619368026
M020845,bootstrap90,50,0.7054249802562634,0.6881552501273119,0.2925897031009562,1.0,-0.023809523809523808,
M020845,bootstrap95,50,0.725174273465153,0.7403094646692483,0.35161458338725604,1.0,0.3413950591654557,
