candidate,window,mode,replicate,ARI,unique_curves,actual_deleted_fraction
M000352,coverage100,drop10,40,1.0,29,0.10315116564524755
M000352,coverage100,drop10,41,1.0,29,0.10315116564524755
M000352,coverage100,drop10,42,1.0,29,0.10315116564524755
M000352,coverage100,drop10,43,1.0,29,0.10315116564524755
M000352,coverage100,drop10,44,1.0,29,0.10315116564524755
M000352,coverage100,drop10,45,1.0,29,0.10315116564524755
M000352,coverage100,drop10,46,1.0,29,0.10315116564524755
M000352,coverage100,drop10,47,1.0,29,0.10315116564524755
M000352,coverage100,drop10,48,1.0,29,0.10315116564524755
M000352,coverage100,drop10,49,1.0,29,0.10315116564524755
M000596,coverage100,bootstrap90,0,0.5225181598062953,17,
M000596,coverage100,bootstrap90,1,1.0,17,
M000596,coverage100,bootstrap90,2,1.0,16,
M000596,coverage100,bootstrap90,3,0.8202159634865858,20,
M000596,coverage100,bootstrap90,4,0.812987012987013,19,
M000596,coverage100,bootstrap90,5,0.807742496737712,17,
M000596,coverage100,bootstrap90,6,1.0,19,
M000596,coverage100,bootstrap90,7,0.800498753117207,16,
M000596,coverage100,bootstrap90,8,1.0,17,
M000596,coverage100,bootstrap90,9,1.0,17,
M000596,coverage100,bootstrap90,10,0.7804428044280443,17,
M000596,coverage100,bootstrap90,11,0.7737819025522041,16,
M000596,coverage100,bootstrap90,12,1.0,15,
M000596,coverage100,bootstrap90,13,0.7804428044280443,17,
M000596,coverage100,bootstrap90,14,0.7910493355735452,19,
M000596,coverage100,bootstrap90,15,0.7910493355735452,19,
M000596,coverage100,bootstrap90,16,0.5492044784914555,18,
M000596,coverage100,bootstrap90,17,0.7919293820933165,15,
M000596,coverage100,bootstrap90,18,0.5924347362813,18,
M000596,coverage100,bootstrap90,19,1.0,19,
M000596,coverage100,bootstrap90,20,1.0,18,
M000596,coverage100,bootstrap90,21,1.0,18,
M000596,coverage100,bootstrap90,22,0.6662641343725986,20,
M000596,coverage100,bootstrap90,23,1.0,17,
M000596,coverage100,bootstrap90,24,0.7550306211723534,16,
M000596,coverage100,bootstrap90,25,0.7930434782608695,17,
M000596,coverage100,bootstrap90,26,1.0,18,
M000596,coverage100,bootstrap90,27,1.0,18,
M000596,coverage100,bootstrap90,28,0.2176991150442478,17,
M000596,coverage100,bootstrap90,29,0.800498753117207,16,
M000596,coverage100,bootstrap90,30,1.0,19,
M000596,coverage100,bootstrap90,31,0.6268656716417911,15,
M000596,coverage100,bootstrap90,32,0.793873643905552,19,
M000596,coverage100,bootstrap90,33,0.4722814498933902,16,
M000596,coverage100,bootstrap90,34,0.6053571428571428,17,
M000596,coverage100,bootstrap90,35,0.5652286230948076,22,
M000596,coverage100,bootstrap90,36,0.8239314259237809,20,
M000596,coverage100,bootstrap90,37,0.5048543689320388,18,
M000596,coverage100,bootstrap90,38,0.6235500878734622,18,
M000596,coverage100,bootstrap90,39,0.4742268041237113,17,
M000596,coverage100,bootstrap90,40,1.0,18,
M000596,coverage100,bootstrap90,41,0.5686020110282193,20,
M000596,coverage100,bootstrap90,42,0.7658862876254181,15,
M000596,coverage100,bootstrap90,43,0.7550306211723534,16,
M000596,coverage100,bootstrap90,44,0.9717355371900827,19,
M000596,coverage100,bootstrap90,45,0.7706146926536732,18,
M000596,coverage100,bootstrap90,46,0.7550306211723534,16,
M000596,coverage100,bootstrap90,47,0.7393048128342246,16,
M000596,coverage100,bootstrap90,48,0.7472188567022799,18,
M000596,coverage100,bootstrap90,49,1.0,18,
M000596,coverage100,bootstrap95,0,0.0791295746785361,19,
M000596,coverage100,bootstrap95,1,1.0,20,
M000596,coverage100,bootstrap95,2,0.8132300219729386,20,
M000596,coverage100,bootstrap95,3,0.3775933609958506,16,
M000596,coverage100,bootstrap95,4,0.6196213425129088,17,
M000596,coverage100,bootstrap95,5,1.0,19,
M000596,coverage100,bootstrap95,6,0.5723684210526315,14,
M000596,coverage100,bootstrap95,7,0.7210229159747592,16,
M000596,coverage100,bootstrap95,8,0.42826361542462293,19,
M000596,coverage100,bootstrap95,9,0.5048543689320388,18,
M000596,coverage100,bootstrap95,10,0.4735376044568245,19,
M000596,coverage100,bootstrap95,11,0.4325938566552901,20,
M000596,coverage100,bootstrap95,12,1.0,19,
M000596,coverage100,bootstrap95,13,0.5183698672429762,16,
M000596,coverage100,bootstrap95,14,0.8192771084337349,19,
M000596,coverage100,bootstrap95,15,0.7861336315348058,18,
M000596,coverage100,bootstrap95,16,0.8074866310160428,19,
M000596,coverage100,bootstrap95,17,0.9530685920577617,14,
M000596,coverage100,bootstrap95,18,0.5207527025223542,19,
M000596,coverage100,bootstrap95,19,1.0,16,
M000596,coverage100,bootstrap95,20,0.7953364592573818,20,
M000596,coverage100,bootstrap95,21,0.7889182058047494,16,
M000596,coverage100,bootstrap95,22,0.7487821851078637,19,
M000596,coverage100,bootstrap95,23,0.8192771084337349,19,
M000596,coverage100,bootstrap95,24,0.6021000276319425,16,
M000596,coverage100,bootstrap95,25,0.7660818713450293,16,
M000596,coverage100,bootstrap95,26,0.7767795438838977,19,
M000596,coverage100,bootstrap95,27,0.51278318624329,21,
M000596,coverage100,bootstrap95,28,0.7804428044280443,17,
M000596,coverage100,bootstrap95,29,0.7706146926536732,18,
M000596,coverage100,bootstrap95,30,1.0,17,
M000596,coverage100,bootstrap95,31,0.6496380275918591,19,
M000596,coverage100,bootstrap95,32,0.7804428044280443,17,
M000596,coverage100,bootstrap95,33,0.46794471689701295,18,
M000596,coverage100,bootstrap95,34,1.0,17,
M000596,coverage100,bootstrap95,35,0.16114790286975716,19,
M000596,coverage100,bootstrap95,36,1.0,15,
M000596,coverage100,bootstrap95,37,0.6222222222222222,17,
M000596,coverage100,bootstrap95,38,0.6228287841191067,19,
M000596,coverage100,bootstrap95,39,0.8045644213574044,18,
M000596,coverage100,bootstrap95,40,0.43908629441624364,17,
M000596,coverage100,bootstrap95,41,0.7861336315348058,18,
M000596,coverage100,bootstrap95,42,0.7816698656429942,14,
M000596,coverage100,bootstrap95,43,0.7056603773584905,14,
M000596,coverage100,bootstrap95,44,1.0,18,
M000596,coverage100,bootstrap95,45,0.6353166986564299,20,
M000596,coverage100,bootstrap95,46,0.8045644213574044,18,
M000596,coverage100,bootstrap95,47,0.8132300219729386,20,
M000596,coverage100,bootstrap95,48,1.0,19,
M000596,coverage100,bootstrap95,49,0.7861336315348058,18,
