candidate,id,medoid,cluster,path_length,path_length_ratio,max_index_warp,mean_index_warp,max_time_warp_fraction,mean_time_warp_fraction,boundary_fraction,turn_collapse_fraction,turns
M028837,C129,C181,2,19,1.0,0.06349206349206352,0.023391812865497068,0.057450479993799444,0.02539533894853111,0.05263157894736842,0.0,0
M028837,C130,C181,2,19,1.0,0.06349206349206349,0.03007518796992481,0.0673932827129839,0.026588869546128917,0.10526315789473684,0.0,0
M028837,C136,C181,2,15,1.0,0.07142857142857142,0.029761904761904767,0.06362956538017803,0.02970759258144048,0.0,0.0,1
M028837,C137,C181,2,15,1.0,0.0892857142857143,0.0380952380952381,0.08813431068953279,0.03822184854218124,0.0,0.0,1
M028837,C138,C181,2,22,1.0,0.04761904761904767,0.022727272727272728,0.05067511934698614,0.018721451351895665,0.0,0.3333333333333333,3
M028837,C139,C181,2,22,1.0,0.04761904761904767,0.021645021645021648,0.07303636767393604,0.04182500873239609,0.0,0.0,0
M028837,C150,C181,2,16,1.0,0.06666666666666665,0.031249999999999997,0.06992978810829471,0.035676229623347766,0.0,0.0,0
M028837,C151,C181,2,16,1.0,0.05238095238095239,0.02142857142857143,0.04359697632973041,0.01688837126587281,0.0,0.0,2
M028837,C152,C181,2,16,1.0,0.038095238095238126,0.01696428571428571,0.0349648940541473,0.015269855839200997,0.0,0.0,2
M028837,C166,C181,2,73,1.0,0.041666666666666685,0.018264840182648404,0.0819276579375496,0.0429407267505903,0.0,0.0,0
M028837,C179,C181,2,16,1.0666666666666667,0.07142857142857151,0.0625,0.06857190065412136,0.05821425620911735,0.875,0.0,0
M028837,C180,C181,2,15,1.0,0.08571428571428574,0.03428571428571429,0.20571570196236397,0.06400044061051326,0.13333333333333333,0.0,0
M028837,C182,C181,2,53,1.0,0.04395604395604402,0.018764254613311215,0.08358440783468646,0.04131798889733884,0.0,0.0,0
M028837,C183,C181,2,53,1.0,0.04395604395604402,0.018556914783329877,0.08358440783468653,0.029891692752731208,0.0,0.3333333333333333,3
M028837,C192,C181,2,39,1.0,0.048872180451127845,0.020724889145941783,0.08492413683209164,0.02885666842489994,0.05128205128205128,0.0,2
M028837,C193,C181,2,39,1.0,0.048872180451127845,0.020435704646230967,0.08492413683209164,0.03975845816880592,0.05128205128205128,0.0,2
M028837,C195,C181,2,62,1.0,0.043325526932084316,0.018584271360580197,0.08875670453404909,0.033324067280895917,0.0,0.25,4
