curve_id,qc_status,qc_reason,n_points_original,pce_max,doi,figure_label,series_id,unit_label
x_time_day/10.1002_adma.201900605/Fig5_F_stability_performance_curve_pce/accepted/10.1002_adma.201900605__Fig5__F__stability_performance_curve_pce__CsPbl__Series_2.csv,included,,14.0,0.9958575970288297,10.1002/adma.201900605,Fig5_F,Series_2,days
x_time_day/10.1002_adma.201902902/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adma.201902902__Fig6__D__stability_performance_curve_pce__1TSnO₂__Series_1.csv,included,,11.0,0.996758014034471,10.1002/adma.201902902,Fig6_D,Series_1,days
x_time_day/10.1002_adma.201907623/Fig4_D_stability_performance_curve_pce/accepted/10.1002_adma.201907623__Fig4__D__stability_performance_curve_pce__0.0%PHCI__Series_1.csv,excluded,"Too few unique time points (5) in [0,200]h window (data spans 72% of window)",5.0,,10.1002/adma.201907623,Fig4_D,Series_1,days
x_time_day/10.1002_adma.201907864/Fig1_F_stability_performance_curve_pce/accepted/10.1002_adma.201907864__Fig1__F__stability_performance_curve_pce__1%_H₂O__Series_3.csv,included,,12.0,1.0005188959643325,10.1002/adma.201907864,Fig1_F,Series_3,days
x_time_day/10.1002_adma.201907864/Fig1_F_stability_performance_curve_pce/accepted/10.1002_adma.201907864__Fig1__F__stability_performance_curve_pce__Reference__Series_2.csv,included,,12.0,1.0050737635685887,10.1002/adma.201907864,Fig1_F,Series_2,days
x_time_day/10.1002_admi.201800499/Fig6_E_stability_performance_curve_pce/accepted/10.1002_admi.201800499__Fig6__E__stability_performance_curve_pce__Without_CF_film__Series_2.csv,included,,34.0,12.454200428864617,10.1002/admi.201800499,Fig6_E,Series_2,days
x_time_day/10.1002_admi.201900939/Fig11_D_pce/accepted/10.1002_admi.201900939__Fig11__D__pce__Standard__Series_2.csv,included,,13.0,0.9987181876360735,10.1002/admi.201900939,Fig11_D,Series_2,days
x_time_day/10.1002_admi.202101463/Fig7_B_stability_performance_curve_pce/accepted/10.1002_admi.202101463__Fig7__B__stability_performance_curve_pce__Pristine__Series_1.csv,included,,16.0,0.995869161328963,10.1002/admi.202101463,Fig7_B,Series_1,days
x_time_day/10.1002_advs.201700025/Fig7_whole_stability/accepted/10.1002_advs.201700025__Fig7__whole__stability__w_oBDTS-2DPP__Series_2.csv,included,,79.0,99.39793455340211,10.1002/advs.201700025,Fig7,Series_2,days
x_time_day/10.1002_advs.201801715/Fig5_A_sem_image_stability_performance_curve_pce/accepted/10.1002_advs.201801715__Fig5__A__sem_image_stability_performance_curve_pce__Control__Series_1.csv,included,,26.0,1.0007567476236672,10.1002/advs.201801715,Fig5_A,Series_1,days
x_time_day/10.1002_advs.202004662/Fig5_A_stability_performance_curve_pce/accepted/10.1002_advs.202004662__Fig5__A__stability_performance_curve_pce__pristine_TiO₂__Series_2.csv,excluded,"Too few unique time points (3) in [0,200]h window (data spans 71% of window)",3.0,,10.1002/advs.202004662,Fig5_A,Series_2,days
x_time_day/10.1002_advs.202101418/Fig5_A_stability_performance_curve_pce/accepted/10.1002_advs.202101418__Fig5__A__stability_performance_curve_pce__W_o_Ti₃C2C1x__Series_1.csv,included,,12.0,0.9995074662377987,10.1002/advs.202101418,Fig5_A,Series_1,days
x_time_day/10.1002_aenm.201501354/Fig9_C_stability_performance_curve/accepted/10.1002_aenm.201501354__Fig9__C__stability_performance_curve__Device_based_on_C-PbI₂__Series_1.csv,included,,11.0,0.992028174722042,10.1002/aenm.201501354,Fig9_C,Series_1,days
x_time_day/10.1002_aenm.201502206/Fig7_A_pce/accepted/10.1002_aenm.201502206__Fig7__A__pce__S1__Series_1.csv,included,,65.0,16.412487364496435,10.1002/aenm.201502206,Fig7_A,Series_1,days
x_time_day/10.1002_aenm.201502206/Fig7_A_pce/accepted/10.1002_aenm.201502206__Fig7__A__pce__S3__Series_2.csv,included,,66.0,15.632553086470814,10.1002/aenm.201502206,Fig7_A,Series_2,days
x_time_day/10.1002_aenm.201602556/Fig7_A_stability_performance_curve/accepted/10.1002_aenm.201602556__Fig7__A__stability_performance_curve__doped_Spiro-OMeTAD__Series_1.csv,included,,18.0,17.796818719076256,10.1002/aenm.201602556,Fig7_A,Series_1,days
x_time_day/10.1002_aenm.201700226/Fig4_A_stability_performance_curve_pce/accepted/10.1002_aenm.201700226__Fig4__A__stability_performance_curve_pce__★1-TiO2__Series_3.csv,included,,44.0,0.9951051060491668,10.1002/aenm.201700226,Fig4_A,Series_3,days
x_time_day/10.1002_aenm.201700683/Fig5_A_stability_performance_curve_pce/accepted/10.1002_aenm.201700683__Fig5__A__stability_performance_curve_pce__Spiro-OMeTAD__Series_1.csv,included,,12.0,1.0161405408044721,10.1002/aenm.201700683,Fig5_A,Series_1,days
x_time_day/10.1002_aenm.201702934/Fig4_A_stability_performance_curve/accepted/10.1002_aenm.201702934__Fig4__A__stability_performance_curve__ZnO__Series_2.csv,excluded,"Too few unique time points (4) in [0,200]h window (data spans 89% of window)",4.0,,10.1002/aenm.201702934,Fig4_A,Series_2,days
x_time_day/10.1002_aenm.201702960/Fig5_F_stability_performance_curve/accepted/10.1002_aenm.201702960__Fig5__F__stability_performance_curve__Pristine__Series_1.csv,included,,14.0,1.0196942480117726,10.1002/aenm.201702960,Fig5_F,Series_1,days
x_time_day/10.1002_aenm.201703392/Fig6_C_stability_performance_curve/accepted/10.1002_aenm.201703392__Fig6__C__stability_performance_curve__Reference__Series_1.csv,included,,16.0,1.0318698421537067,10.1002/aenm.201703392,Fig6_C,Series_1,days
x_time_day/10.1002_aenm.201800275/Fig4_D_stability_performance_curve_pce/accepted/10.1002_aenm.201800275__Fig4__D__stability_performance_curve_pce__Reference__Series_2.csv,excluded,"Too few unique time points (5) in [0,200]h window (data spans 83% of window)",5.0,,10.1002/aenm.201800275,Fig4_D,Series_2,days
x_time_day/10.1002_aenm.201800715/Fig6_D_stability_performance_curve_pce/accepted/10.1002_aenm.201800715__Fig6__D__stability_performance_curve_pce__W_OAQ310__Series_1.csv,included,,19.0,1.0082726964782032,10.1002/aenm.201800715,Fig6_D,Series_1,days
x_time_day/10.1002_aenm.201803587/Fig5_D_stability_performance_curve_pce_eqe/accepted/10.1002_aenm.201803587__Fig5__D__stability_performance_curve_pce_eqe__Reference__Series_1.csv,excluded,"Too few unique time points (6) in [0,200]h window (data spans 86% of window)",6.0,,10.1002/aenm.201803587,Fig5_D,Series_1,days
x_time_day/10.1002_aenm.201803766/Fig4_F_stability_performance_curve_pce/accepted/10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__Control__Series_1.csv,included,,20.0,0.9964861350666582,10.1002/aenm.201803766,Fig4_F,Series_1,days
x_time_day/10.1002_aenm.201803766/Fig4_F_stability_performance_curve_pce/accepted/10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__SP1__Series_2.csv,included,,19.0,0.996291331517482,10.1002/aenm.201803766,Fig4_F,Series_2,days
x_time_day/10.1002_aenm.201803766/Fig4_F_stability_performance_curve_pce/accepted/10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__SP3__Series_3.csv,included,,19.0,0.9964861350666582,10.1002/aenm.201803766,Fig4_F,Series_3,days
x_time_day/10.1002_aenm.201903013/Fig5_E_stability_performance_curve_pce/accepted/10.1002_aenm.201903013__Fig5__E__stability_performance_curve_pce__Reference__Series_1.csv,included,,18.0,0.9913577350160604,10.1002/aenm.201903013,Fig5_E,Series_1,days
x_time_day/10.1002_aenm.201903299/Fig6_C_stability_performance_curve_pce/accepted/10.1002_aenm.201903299__Fig6__C__stability_performance_curve_pce__0%__Series_2.csv,excluded,"Too few unique time points (9) in [0,200]h window (data spans 97% of window)",9.0,,10.1002/aenm.201903299,Fig6_C,Series_2,days
