cp_index,cp_time,support,location_error_median,tolerance,sample_id,cluster
0,85.23122431162088,0.91,0.0,18.94027206924909,S0109,1
0,85.23122431162088,1.0,0.0,18.94027206924909,S0110,1
0,25.60438059661869,0.95,0.0,10.241752238647479,S0118,1
1,76.81314178985608,0.77,0.0,10.241752238647479,S0118,1
2,107.53839850579847,0.96,0.0,10.241752238647479,S0118,1
0,35.84613283526616,1.0,0.0,10.241752238647479,S0119,-1
1,107.5383985057985,1.0,0.0,10.241752238647479,S0119,-1
2,189.47241641497828,0.99,0.0,10.241752238647479,S0119,-1
0,67.95785213185337,1.0,0.0,9.061046950913791,S0128,1
0,53.7435132570557,0.83,0.0,21.497405302822287,S0141,1
0,104.46698802249549,1.0,0.0,23.2148862272212,S0153,1
0,81.25210179527429,1.0,0.0,23.214886227221214,S0154,1
0,87.96309800843734,0.93,0.0,15.993290546988604,S0163,1
0,55.97651691446012,0.99,0.0,15.99329054698861,S0164,1
0,34.162660919936435,0.78,0.0,13.66506436797457,S0165,1
1,184.47836896765676,0.79,0.0,13.66506436797457,S0165,1
0,34.16266091993643,0.86,0.0,13.665064367974566,S0166,1
1,211.8084977036059,0.9,0.0,13.665064367974566,S0166,1
0,34.16266091993645,1.0,0.0,13.66506436797458,S0167,1
0,26.927657909579374,1.0,0.0,8.770722861977282,S0170,1
1,234.65530464062022,0.62,0.0,8.770722861977282,S0170,1
0,185.67241114758764,1.0,0.0,16.145427056311974,S0172,1
0,40.363567640779934,0.94,0.0,16.145427056311974,S0173,1
1,104.94527586602783,0.85,0.0,16.145427056311974,S0173,1
2,185.6724111475877,0.77,0.0,16.145427056311974,S0173,1
3,250.25411937283553,0.69,0.0,16.145427056311974,S0173,1
0,80.70698056195982,1.0,0.0,23.05913730341709,S0174,1
1,172.9435297756282,1.0,0.0,23.05913730341709,S0174,1
0,57.647843258542736,0.92,0.0,23.059137303417117,S0175,1
0,80.70698056195982,0.44,0.0,23.05913730341709,S0176,0
1,149.88439247221112,0.51,0.0,23.05913730341709,S0176,0
2,242.12094168587947,0.67,0.0,23.05913730341709,S0176,0
0,90.4130328060385,0.99,0.0,16.43873323746155,S0177,1
0,41.096833093653885,0.98,0.0,16.43873323746155,S0178,1
0,103.83081468816687,1.0,0.0,18.878329943303072,S0182,1
0,47.19582485825765,0.78,0.0,18.878329943303072,S0183,1
1,179.3441344613791,0.96,18.878329943303044,18.878329943303072,S0183,1
0,80.30457715837578,1.0,0.0,9.44759731275009,S0186,1
0,42.514187907375415,0.88,0.0,9.447597312750077,S0187,1
0,51.966300142630175,1.0,0.0,8.93820362453239,S0191,1
0,64.61743185774424,0.51,0.0,25.846972743097695,S0192,1
1,168.00532283013496,0.81,0.0,25.846972743097695,S0192,1
0,90.46440460084193,0.92,0.0,25.846972743097695,S0193,1
0,119.74990494350975,1.0,0.0,15.966653992467968,S0194,1
1,215.54982889831751,0.81,0.0,15.966653992467968,S0194,1
0,39.91663498116992,0.99,0.0,15.966653992467968,S0195,-1
0,71.84994296610586,0.93,0.0,15.966653992467968,S0196,1
1,183.6165209133816,1.0,0.0,15.966653992467968,S0196,1
0,94.00802510615097,0.72,0.0,20.890672245811317,S0197,-1
1,219.35205858101892,0.97,0.0,20.890672245811317,S0197,-1
0,135.7893695977736,0.62,0.0,20.890672245811317,S0198,0
1,240.2427308268302,0.74,0.0,20.890672245811317,S0198,0
0,156.68004184358492,0.77,0.0,20.890672245811317,S0199,1
0,32.35476739866279,0.98,0.0,12.941906959465115,S0216,1
1,200.59955787170924,0.91,0.0,12.941906959465115,S0216,1
2,252.36718570956972,0.91,0.0,12.941906959465115,S0216,1
