segment_index,start_time,end_time,duration,ordinary_slope,theil_sen_slope,start_value,end_value,amplitude_change,normalized_amplitude_change,local_variance,raw_point_count,stability,physical_slope,sample_id,cluster
0,0.0,82.5569999813973,0.2857142857142858,-2.5454545454545463,-2.121212121212135,0.9090909090909044,0.15151515151514558,-0.7575757575757588,-0.6250000000000007,0.06795224977043168,5,0.93,-0.008809340545763596,S0087,1
1,103.19624997674663,288.94949993489047,0.6428571428571428,-0.4885215794306795,-0.47138047138047967,0.0,-0.3030303030303083,-0.3030303030303083,-0.2500000000000042,0.013774104683196073,10,0.93,-0.0016906815188839537,S0087,1
0,0.0,22.882300049834967,0.07692307692307689,-13.68421052631581,-13.684210526315807,1.6247139588100692,0.5720823798626999,-1.0526315789473693,-0.5476190476190478,0.20433799319377646,3,0.79,-0.04600200052682035,S0095,1
1,34.32345007475247,297.46990064785473,0.8846153846153846,-0.7336185454183664,-0.6718154080854309,0.43478260869565216,-0.29748283752860444,-0.7322654462242566,-0.38095238095238093,0.039622486721230504,24,0.79,-0.0024661942059369057,S0095,1
0,0.0,27.028737182175576,0.0909090909090909,14.419475655430691,14.419475655430693,-1.535580524344566,-0.2247191011235941,1.3108614232209719,0.7954545454545445,0.2870943156260659,3,0.83,0.048498803861448433,S0099,0
1,40.54310577326336,175.6867916841413,0.4545454545454546,0.2771535580524417,0.2746566791510684,0.0,0.11235955056180069,0.11235955056180069,0.06818181818181998,0.0017389350692079677,11,0.83,0.0009321848014928007,S0099,0
2,189.2011602752291,297.3161090039314,0.3636363636363634,-1.4694132334581742,-1.483146067415722,0.03745318352060023,-0.48689138576778845,-0.5243445692883887,-0.31818181818181773,0.02985586923267806,9,0.84,-0.004942259060166647,S0099,0
0,0.0,27.028737182175576,0.0909090909090909,15.71428571428567,15.714285714285667,-1.6666666666666603,-0.23809523809523608,1.4285714285714242,0.8181818181818177,0.34153579127123906,3,0.82,0.05285379849390495,S0100,-1
1,40.54310577326336,297.3161090039314,0.8636363636363636,-0.45029239766081713,-0.4365079365079369,0.03968253968254063,-0.31746031746031733,-0.357142857142858,-0.20454545454545556,0.017857142857142776,20,0.82,-0.0015145240504101409,S0100,-1
0,0.0,28.842057206409777,0.10000000000000003,-10.999999999999993,-10.999999999999993,1.4499999999999995,0.34999999999999987,-1.0999999999999996,-0.6470588235294115,0.2038888888888888,3,0.98,-0.03813874967821432,S0103,1
1,43.26308580961465,288.42057206409766,0.85,-0.4561403508771932,-0.4545454545454557,0.2499999999999996,-0.25000000000000067,-0.5000000000000002,-0.29411764705882365,0.015524691358024712,18,0.98,-0.001581511150930739,S0103,1
0,0.0,144.21028603204883,0.5,0.46464646464646053,0.37037037037036097,0.0,0.22222222222222118,0.22222222222222118,0.22222222222222118,0.007550249974492284,11,1.0,0.0016110032003653298,S0104,1
1,158.63131463525372,288.42057206409766,0.44999999999999996,-1.6835016835016887,-1.6666666666666718,-0.11111111111111059,-0.7777777777777788,-0.6666666666666682,-0.6666666666666682,0.06185185185185218,10,1.0,-0.0058369681172657575,S0104,1
0,0.0,72.22402359518031,0.25,-2.540145985401468,-2.554744525547453,0.8759124087591252,0.2554744525547436,-0.6204379562043816,-0.5483870967741948,0.05660930257339267,4,1.0,-0.008792593720751174,S0107,1
1,96.2986981269071,288.89609438072125,0.6666666666666666,-0.5985401459854016,-0.6131386861313868,0.10948905109489046,-0.2554744525547444,-0.3649635036496348,-0.32258064516128987,0.016904680623223624,9,1.0,-0.0020718180606367647,S0107,1
0,0.0,72.22402359518031,0.25,-0.09740259740258904,-0.4545454545454446,0.5113636363636312,0.3977272727272701,-0.11363636363636115,-0.09090909090908897,0.03730486685032105,3,1.0,-0.00033715442782769915,S0108,1
1,96.29869812690708,288.89609438072125,0.6666666666666667,-0.9318181818181841,-0.909090909090919,0.2840909090909065,-0.3977272727272774,-0.6818181818181839,-0.5454545454545474,0.04144985205591279,9,1.0,-0.0032254440262186063,S0108,1
0,0.0,75.76108827699636,0.26666666666666683,-2.6746987951807237,-2.6807228915662646,0.9277108433734943,0.22891566265060218,-0.6987951807228922,-0.630434782608696,0.06373058499056478,5,0.91,-0.009414503253179394,S0109,1
1,94.7013603462454,284.1040810387362,0.6666666666666667,-0.47809419496166455,-0.5421686746987944,0.12048192771084323,-0.18072289156626506,-0.3012048192771083,-0.2717391304347824,0.010921711340033025,11,0.91,-0.0016828135421837844,S0109,1
