sample_id,initial,final,global_max,global_min,peak_time,valley_time,net_change,total_variation,area,positive_fraction,negative_fraction,max_positive_slope,max_negative_slope,median_positive_slope,median_negative_slope,segment_count,max_to_next_min,min_to_next_max,recovery_amplitude,recovery_ratio,immediate_post_peak_slope,late_time_slope,pre_valley_slope,largest_slope_reversal,slope_sign_reversals,seg1_duration,seg1_ordinary_slope,seg1_theil_sen_slope,seg1_start_value,seg1_end_value,seg1_amplitude_change,seg1_normalized_amplitude_change,seg1_local_variance,seg1_raw_point_count,seg2_duration,seg2_ordinary_slope,seg2_theil_sen_slope,seg2_start_value,seg2_end_value,seg2_amplitude_change,seg2_normalized_amplitude_change,seg2_local_variance,seg2_raw_point_count
S0021,0.29375259836587514,-0.3421937446395115,0.31652880232634506,-0.022829027894094987,0.0,0.21212121212121263,-1.1967408395673842,0.09356890845646137,-0.1209769706137756,0.0,0.4672243983399419,0.0,-0.5750964135905616,0.0,0.34495476675751197,0.0,1.2584172283485062,0.0,0.0,0.0,-0.9661080599067897,-0.2320825675847277,0.6191130938280006,0.0,0.0,-0.5648744922554818,-0.7459913401618425,-0.77576278857017,0.29375259836587514,0.44926223728843945,-0.15559552014278138,-0.010624417520969669,0.15975676492153576,-0.3333333333333333,0.6233609931043615,-0.1616689665615048,-0.18999781800183768,0.357353078190702,-0.5360572394687817,-0.5742520345685518,-0.5124339212466953,0.4975102209988435,0.5
S0022,-0.054488306800643684,0.489499238317081,-0.16813519663109044,0.14211030476515668,0.0,-1.100378787878787,0.5314718635345528,0.1658057747954495,-0.26128675498662846,0.9677419354838711,-0.13843685876739012,0.5210002183149433,0.23859421663890718,0.6295033836195912,-0.15246276647692883,1.0,-0.2735689626844413,1.1401869158878286,0.3726708074533998,0.38260869565215605,0.09892490294424938,0.43777736886440155,-3.9603018644799306,0.0,0.0,-0.15208159406878372,-0.00046584425270127276,-0.03247960145382645,-0.054488306800643684,0.39153095462238313,0.16728055920489296,0.11332712022366842,-0.398049842338359,0.0,-1.0267122239365944,0.13962791084077564,0.12391162043603166,-0.08747259531202675,0.721116490291757,0.5326395682954778,0.5118799386291448,-0.40517603502693994,-1.0
S0023,0.28185527745987304,0.5444356109950425,0.29997071554895843,0.4197880476076618,0.0,0.21212121212121263,-0.30319356209422466,-0.19775346757371762,0.9624738788572299,0.0,0.2249598954970091,0.0,0.29234146787571386,0.0,0.23301148628400653,0.0,0.15514732952242627,0.0,0.0,0.0,-0.005321386359515194,-0.178995928365342,0.6321840219224674,0.0,0.0,0.6735042023046118,-0.011741827739200498,-0.033061427823387134,0.28185527745987304,-0.07822770159177367,-0.37358426255951116,-0.41164409845951394,0.2086703934674364,0.6666666666666666,0.07333658742404288,0.2621706589518147,0.24465472455035064,0.01865590441637214,0.07161773362486601,0.031465864907869553,-0.04301512089319951,-0.2662299943590206,0.0
S0028,-0.6792589105875851,-1.9315994829008478,-0.8312173573555229,-0.816281348397802,0.9374999999999998,0.21212121212121263,-0.1730878108573185,0.015212412392659507,-0.458460343528293,0.4554079696394687,0.2605870282680287,0.44478402917281734,0.3820864687126426,0.5374144606883614,0.0,0.0,0.47808864133761814,0.0,0.299438552713661,0.27329192546583825,0.15751701981218208,-2.005676142723457,0.30286448084737344,0.0,0.0,4.0486931933605526,0.43746347987452733,0.4126725433441955,-0.6792589105875851,-2.0691494224187728,-0.28067727015831,-0.2509386233524117,0.011218769614167992,3.6666666666666665,-1.4149647455932899,-3.0736679438390477,-2.963634086911003,-1.969564336875341,-1.6253986684378245,0.016717672039844755,-0.018993689745050304,0.06697842928560818,-1.3333333333333333
S0029,-3.773053841487536,2.4332938532227018,-0.5194480731805019,-2.3961678983260133,14.062499999999993,-3.2878787878787863,12.24009031830228,1.6804212130953555,-0.8020305633222459,1.821631878557875,-0.9934880452718589,4.157369089003098,-0.7372885912125036,2.5115900305639913,-3.268452483900917,2.0,-4.032071527565553,21.40759107381319,6.997084548104944,3.826086956521705,-1.0985637554436594,-0.10284077942045484,0.0,0.0,0.0,-0.613438362630387,2.7237580709269116,2.7230857068177516,-3.773053841487536,-3.2632126949712172,2.2909203114158694,1.8132339235787465,1.3804641075946325,-0.3333333333333333,-0.897294716717696,0.8245594194243778,0.7599912720074358,-1.2608137851124979,0.0760360925137856,0.7656693794247365,0.7977349692921559,-0.481658702312918,-0.8333333333333334
S0030,0.09431824866006339,0.374049618765112,0.03896620693946774,0.3347291116407804,0.0,-0.021212121212120953,0.026301996473996274,-0.30517859373484363,0.998245905981883,0.0,-0.07383299134260805,0.0,0.1940084286811525,0.0,-0.19983586488020522,0.0,-0.25168344566968254,0.0,0.0,0.0,0.08071921127156781,-0.13756245385262147,-0.6192208883772551,0.0,0.0,0.37078941030103374,0.3372606515828776,0.3121335125728423,0.09431824866006339,1.0098971378453978,0.2880445992725962,0.25498602050325864,-0.6119341645200189,0.3333333333333333,0.19556423313078056,0.0,0.0,0.4141919142493661,-0.04516083070515795,-0.27378480840036123,-0.4727318336546092,0.04236888811868428,0.0
S0031,0.3516528934417574,0.5697063424268924,0.39711149130963397,0.4324035302454441,0.0,-0.9545454545454538,-0.4629151379425603,0.24420685372872553,0.7555369311788805,0.5161290322580646,-0.07383299134260805,0.5991502510621906,0.09146111637822898,0.7239288911625377,-0.3087939912077681,1.0,0.3523568239375983,1.3986292834890857,0.4571428571428424,0.4251207729468446,-0.42175787889405353,-0.005234294627708436,-4.266276990753509,0.0,0.0,-0.5098354391639213,-0.4553627570108241,-0.48269684622144354,0.3516528934417574,0.93908009777506,0.0,0.01888785337060871,-0.12995093076084682,-0.3333333333333333,-0.39112846626155984,-0.9258211025115671,-0.9119895264089025,1.255406687917842,0.08893770046931568,-0.6635801288347684,-0.790348534391295,0.6871664152997807,-0.5
S0037,-0.7570305344926725,-1.7106261869166783,-1.14589777551845,-0.7059685627778203,0.0,0.21212121212121263,0.24712917520370475,0.028957044675448816,-0.9860004435111897,0.6451612903225807,0.3460921469184755,0.499291875885158,0.5144687796276973,0.6032740759687804,-0.10903742627392192,1.0,-0.5243405118118738,0.0,0.47619047619046045,0.5101449275362148,0.3075317866935794,0.18538126806531982,-0.7817053413931234,0.0,0.0,-0.28967922679768304,0.4649610896340902,0.44534530454954624,-0.7570305344926725,-0.06711201322455666,0.6695322381901772,0.6799627213420351,-0.7929374564587713,-0.3333333333333333,-0.5378016411096442,-1.3009026429263952,-1.3299847260129676,0.8073271969885775,-0.15690960668385998,-0.5742520345685491,-0.9173952146859764,0.9925538896427732,-0.8333333333333334
S0038,-0.4153703703591402,-1.0370230657079043,-0.6703925175872172,-0.3696969948858452,0.0,0.21212121212121263,0.0,-0.2966033786339596,-0.3190625754371298,0.0,0.8306211526043411,0.0,0.7828284799687328,0.0,0.1938193012064055,1.0,-0.21920816235747811,0.0,0.0,0.0,0.32115179742610445,-0.588819771025174,0.09188910240428831,0.0,0.0,0.8111018350335102,0.38089755321728275,0.3492322804459242,-0.4153703703591402,-0.12469845037855383,0.30297778702290634,0.275818211720847,-0.575156734243607,0.3333333333333333,-1.2711675153500699,-0.4458780561742886,-0.4535431784560283,-0.25320603172995926,0.4152235274744446,0.4198832080716297,0.37735992419947567,-0.3631513929682655,-1.3333333333333333
S0044,-0.13360672243228952,1.4920880396894591,-0.27824818778838734,-2.3961678983259787,0.0,-2.4128787878787867,1.7152659129121313,3.3215248785765206,-2.9183395965844414,0.9677419354838711,-0.7440981158747222,3.423715720355428,-2.003433977809423,4.136736520928849,-5.959051113621834,1.0,5.572990582686107,14.985313751669036,4.897959183673397,2.5507246376811366,-2.1325727335055253,0.6185984560040364,-56.82238751003978,0.0,0.0,0.2607113041179136,-1.617877089614888,-1.6828716577447902,-0.13360672243228952,-6.4427532695585565,-2.7320148471823753,-1.1616029822926313,7.119222951414649,0.3333333333333333,-1.2100536924967007,0.8245594194243778,0.7599912720074358,-3.174774591170102,-1.536664901931232,0.7656693794247365,0.7977349692921559,-0.481658702312918,-1.1666666666666667
