sample_id,source_path,figure_id,unit,clean_n,cluster,membership_probability,outlier_score,status
S0066,/Users/shunhao/Desktop/ML/method1/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Control__Series_1.csv,图片163,hours,38,1.0,0.8516255509132249,0.14837444908677516,included
S0067,/Users/shunhao/Desktop/ML/method1/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Target__Series_2.csv,图片163,hours,91,1.0,0.37122180710249214,0.6287781928975078,included
S0068,/Users/shunhao/Desktop/ML/method1/samples_test/图片165/accepted/samples_test__unknown__unknown__图片165__Series_1__Series_1.csv,图片165,unknown,32,,,,unknown_time_unit
S0069,/Users/shunhao/Desktop/ML/method1/samples_test/图片166/accepted/samples_test__unknown__unknown__图片166__Series_1__Series_1.csv,图片166,unknown,32,,,,unknown_time_unit
S0070,/Users/shunhao/Desktop/ML/method1/samples_test/图片168/accepted/samples_test__unknown__unknown__图片168__Series_1__Series_1.csv,图片168,unknown,31,,,,unknown_time_unit
S0071,/Users/shunhao/Desktop/ML/method1/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_1__Series_1.csv,图片17,hours,50,0.0,1.0,0.0,included
S0072,/Users/shunhao/Desktop/ML/method1/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_2__Series_2.csv,图片17,hours,51,1.0,0.3812588870345839,0.6187411129654161,included
S0073,/Users/shunhao/Desktop/ML/method1/samples_test/图片171/accepted/samples_test__unknown__unknown__图片171__Series_1__Series_1.csv,图片171,unknown,25,,,,unknown_time_unit
S0074,/Users/shunhao/Desktop/ML/method1/samples_test/图片171/accepted/samples_test__unknown__unknown__图片171__Series_2__Series_2.csv,图片171,unknown,101,,,,unknown_time_unit
S0075,/Users/shunhao/Desktop/ML/method1/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_1__Series_1.csv,图片172,hours,42,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0076,/Users/shunhao/Desktop/ML/method1/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_2__Series_2.csv,图片172,hours,43,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0077,/Users/shunhao/Desktop/ML/method1/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_3__Series_3.csv,图片172,hours,66,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0078,/Users/shunhao/Desktop/ML/method1/samples_test/图片175/accepted/samples_test__unknown__unknown__图片175__Series_1__Series_1.csv,图片175,unknown,43,,,,unknown_time_unit
S0079,/Users/shunhao/Desktop/ML/method1/samples_test/图片175/accepted/samples_test__unknown__unknown__图片175__Series_2__Series_2.csv,图片175,unknown,15,,,,unknown_time_unit
S0080,/Users/shunhao/Desktop/ML/method1/samples_test/图片180/accepted/samples_test__unknown__unknown__图片180__Ctrl__Series_1.csv,图片180,hours,30,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0081,/Users/shunhao/Desktop/ML/method1/samples_test/图片180/accepted/samples_test__unknown__unknown__图片180__Target__Series_2.csv,图片180,hours,59,1.0,0.6095553832370624,0.39044461676293757,included
S0082,/Users/shunhao/Desktop/ML/method1/samples_test/图片181/accepted/samples_test__unknown__unknown__图片181__SnO2-SSSO__Series_2.csv,图片181,hours,36,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0083,/Users/shunhao/Desktop/ML/method1/samples_test/图片181/accepted/samples_test__unknown__unknown__图片181__SnO2__Series_1.csv,图片181,hours,36,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0084,/Users/shunhao/Desktop/ML/method1/samples_test/图片183/accepted/samples_test__unknown__unknown__图片183__Series_1__Series_1.csv,图片183,hours,34,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0085,/Users/shunhao/Desktop/ML/method1/samples_test/图片183/accepted/samples_test__unknown__unknown__图片183__Series_2__Series_2.csv,图片183,hours,34,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0086,/Users/shunhao/Desktop/ML/method1/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__OCT-doped__Series_2.csv,图片184,hours,48,1.0,0.32391024514444605,0.676089754855554,included
S0087,/Users/shunhao/Desktop/ML/method1/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__Pristine__Series_1.csv,图片184,hours,37,1.0,0.38317068205003907,0.6168293179499609,included
S0088,/Users/shunhao/Desktop/ML/method1/samples_test/图片186/accepted/samples_test__unknown__unknown__图片186__Series_1__Series_1.csv,图片186,hours,37,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0089,/Users/shunhao/Desktop/ML/method1/samples_test/图片186/accepted/samples_test__unknown__unknown__图片186__Series_2__Series_2.csv,图片186,hours,37,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0090,/Users/shunhao/Desktop/ML/method1/samples_test/图片186/accepted/samples_test__unknown__unknown__图片186__Series_3__Series_3.csv,图片186,hours,37,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0091,/Users/shunhao/Desktop/ML/method1/samples_test/图片19/accepted/samples_test__unknown__unknown__图片19__PCE24.7%@t=0__Series_2.csv,图片19,hours,31,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0092,/Users/shunhao/Desktop/ML/method1/samples_test/图片19/accepted/samples_test__unknown__unknown__图片19__SAM__Series_1.csv,图片19,hours,31,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0093,/Users/shunhao/Desktop/ML/method1/samples_test/图片190/accepted/samples_test__unknown__unknown__图片190__Control__Series_1.csv,图片190,hours,26,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0094,/Users/shunhao/Desktop/ML/method1/samples_test/图片190/accepted/samples_test__unknown__unknown__图片190__Target__Series_2.csv,图片190,hours,6,,,,fewer_than_12_points
S0095,/Users/shunhao/Desktop/ML/method1/samples_test/图片193/accepted/samples_test__unknown__unknown__图片193__Series_1__Series_1.csv,图片193,hours,40,1.0,0.12096064051428028,0.8790393594857198,included
S0096,/Users/shunhao/Desktop/ML/method1/samples_test/图片194/accepted/samples_test__unknown__unknown__图片194__Series_1__Series_1.csv,图片194,hours,39,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0097,/Users/shunhao/Desktop/ML/method1/samples_test/图片196/accepted/samples_test__unknown__unknown__图片196__Series_1__Series_1.csv,图片196,cycles,30,,,,non_time_axis
S0098,/Users/shunhao/Desktop/ML/method1/samples_test/图片196/accepted/samples_test__unknown__unknown__图片196__Series_2__Series_2.csv,图片196,cycles,27,,,,non_time_axis
S0099,/Users/shunhao/Desktop/ML/method1/samples_test/图片197/accepted/samples_test__unknown__unknown__图片197__0.74M(16_1)__Series_1.csv,图片197,hours,38,0.0,1.0,0.0,included
S0100,/Users/shunhao/Desktop/ML/method1/samples_test/图片197/accepted/samples_test__unknown__unknown__图片197__1.40M（8_1）__Series_2.csv,图片197,hours,39,-1.0,0.0,0.9558604065086163,included
S0101,/Users/shunhao/Desktop/ML/method1/samples_test/图片200/accepted/samples_test__unknown__unknown__图片200__Series_1__Series_1.csv,图片200,unknown,37,,,,unknown_time_unit
S0102,/Users/shunhao/Desktop/ML/method1/samples_test/图片200/accepted/samples_test__unknown__unknown__图片200__Series_2__Series_2.csv,图片200,unknown,37,,,,unknown_time_unit
S0103,/Users/shunhao/Desktop/ML/method1/samples_test/图片202/accepted/samples_test__unknown__unknown__图片202__WBGPSCs_with_YbOx__Series_2.csv,图片202,hours,35,1.0,0.1612708783600412,0.8387291216399588,included
S0104,/Users/shunhao/Desktop/ML/method1/samples_test/图片202/accepted/samples_test__unknown__unknown__图片202__WBG_PSCs_withBCP__Series_1.csv,图片202,hours,35,1.0,0.2002230531841927,0.7997769468158072,included
S0105,/Users/shunhao/Desktop/ML/method1/samples_test/图片203/accepted/samples_test__unknown__unknown__图片203__0--Control__Series_1.csv,图片203,days,46,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0106,/Users/shunhao/Desktop/ML/method1/samples_test/图片203/accepted/samples_test__unknown__unknown__图片203__DMPESI__Series_2.csv,图片203,days,46,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0107,/Users/shunhao/Desktop/ML/method1/samples_test/图片204/accepted/samples_test__unknown__unknown__图片204__Series_1__Series_1.csv,图片204,hours,42,1.0,1.0,0.0,included
S0108,/Users/shunhao/Desktop/ML/method1/samples_test/图片204/accepted/samples_test__unknown__unknown__图片204__Series_2__Series_2.csv,图片204,hours,41,1.0,0.42793794380101363,0.5720620561989864,included
S0109,/Users/shunhao/Desktop/ML/method1/samples_test/图片205/accepted/samples_test__unknown__unknown__图片205__Series_1__Series_1.csv,图片205,hours,54,1.0,0.710336740637902,0.2896632593620981,included
S0110,/Users/shunhao/Desktop/ML/method1/samples_test/图片205/accepted/samples_test__unknown__unknown__图片205__Series_2__Series_2.csv,图片205,hours,54,1.0,0.6158374114737079,0.38416258852629215,included
S0111,/Users/shunhao/Desktop/ML/method1/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_1__Series_1.csv,图片208,unknown,43,,,,unknown_time_unit
S0112,/Users/shunhao/Desktop/ML/method1/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_2__Series_2.csv,图片208,unknown,37,,,,unknown_time_unit
S0113,/Users/shunhao/Desktop/ML/method1/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_3__Series_3.csv,图片208,unknown,43,,,,unknown_time_unit
S0114,/Users/shunhao/Desktop/ML/method1/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_4__Series_4.csv,图片208,unknown,43,,,,unknown_time_unit
S0115,/Users/shunhao/Desktop/ML/method1/samples_test/图片210/accepted/samples_test__unknown__unknown__图片210__Series_1__Series_1.csv,图片210,unknown,40,,,,unknown_time_unit
S0116,/Users/shunhao/Desktop/ML/method1/samples_test/图片210/accepted/samples_test__unknown__unknown__图片210__Series_2__Series_2.csv,图片210,unknown,23,,,,unknown_time_unit
S0117,/Users/shunhao/Desktop/ML/method1/samples_test/图片210/accepted/samples_test__unknown__unknown__图片210__Series_3__Series_3.csv,图片210,unknown,41,,,,unknown_time_unit
S0118,/Users/shunhao/Desktop/ML/method1/samples_test/图片28/accepted/samples_test__unknown__unknown__图片28__Series_1__Series_1.csv,图片28,hours,40,1.0,0.06549740248250141,0.9345025975174985,included
S0119,/Users/shunhao/Desktop/ML/method1/samples_test/图片28/accepted/samples_test__unknown__unknown__图片28__Series_2__Series_2.csv,图片28,hours,40,-1.0,0.0,0.9518517649048754,included
S0120,/Users/shunhao/Desktop/ML/method1/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_1__Series_1.csv,图片31,unknown,50,,,,unknown_time_unit
S0121,/Users/shunhao/Desktop/ML/method1/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_2__Series_2.csv,图片31,unknown,50,,,,unknown_time_unit
S0122,/Users/shunhao/Desktop/ML/method1/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_3__Series_3.csv,图片31,unknown,50,,,,unknown_time_unit
S0123,/Users/shunhao/Desktop/ML/method1/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_4__Series_4.csv,图片31,unknown,50,,,,unknown_time_unit
S0124,/Users/shunhao/Desktop/ML/method1/samples_test/图片33/accepted/samples_test__unknown__unknown__图片33__0—AZO__Series_2.csv,图片33,hours,10,,,,fewer_than_12_points
S0125,/Users/shunhao/Desktop/ML/method1/samples_test/图片33/accepted/samples_test__unknown__unknown__图片33__AZO_SnOx__Series_1.csv,图片33,hours,29,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0126,/Users/shunhao/Desktop/ML/method1/samples_test/图片35/accepted/samples_test__unknown__unknown__图片35__Series_1__Series_1.csv,图片35,hours,25,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0127,/Users/shunhao/Desktop/ML/method1/samples_test/图片37/accepted/samples_test__unknown__unknown__图片37__Series_1__Series_1.csv,图片37,hours,23,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0128,/Users/shunhao/Desktop/ML/method1/samples_test/图片37/accepted/samples_test__unknown__unknown__图片37__Series_2__Series_2.csv,图片37,hours,44,1.0,0.7946880750445777,0.20531192495542228,included
S0129,/Users/shunhao/Desktop/ML/method1/samples_test/图片39/accepted/samples_test__unknown__unknown__图片39__Series_1__Series_1.csv,图片39,hours,37,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0130,/Users/shunhao/Desktop/ML/method1/samples_test/图片39/accepted/samples_test__unknown__unknown__图片39__Series_2__Series_2.csv,图片39,hours,37,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0131,/Users/shunhao/Desktop/ML/method1/samples_test/图片4/accepted/samples_test__unknown__unknown__图片4__Series_1__Series_1.csv,图片4,unknown,32,,,,unknown_time_unit
S0132,/Users/shunhao/Desktop/ML/method1/samples_test/图片4/accepted/samples_test__unknown__unknown__图片4__Series_2__Series_2.csv,图片4,unknown,32,,,,unknown_time_unit
S0133,/Users/shunhao/Desktop/ML/method1/samples_test/图片4/accepted/samples_test__unknown__unknown__图片4__Series_3__Series_3.csv,图片4,unknown,32,,,,unknown_time_unit
S0134,/Users/shunhao/Desktop/ML/method1/samples_test/图片42/accepted/samples_test__unknown__unknown__图片42__Series_1__Series_1.csv,图片42,hours,52,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0135,/Users/shunhao/Desktop/ML/method1/samples_test/图片42/accepted/samples_test__unknown__unknown__图片42__Series_2__Series_2.csv,图片42,hours,52,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0136,/Users/shunhao/Desktop/ML/method1/samples_test/图片47/accepted/samples_test__unknown__unknown__图片47__EtCz3EPA_PTAA_BCP__Series_1.csv,图片47,hours,44,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0137,/Users/shunhao/Desktop/ML/method1/samples_test/图片47/accepted/samples_test__unknown__unknown__图片47__PTAA_BCP__Series_2.csv,图片47,hours,40,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0138,/Users/shunhao/Desktop/ML/method1/samples_test/图片48/accepted/samples_test__unknown__unknown__图片48__EtCz3EPA_PTAA_BCP__Series_1.csv,图片48,hours,42,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0139,/Users/shunhao/Desktop/ML/method1/samples_test/图片48/accepted/samples_test__unknown__unknown__图片48__EtCz3EPA__Series_2.csv,图片48,hours,30,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0140,/Users/shunhao/Desktop/ML/method1/samples_test/图片48/accepted/samples_test__unknown__unknown__图片48__PTAA_BCP__Series_3.csv,图片48,hours,17,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0141,/Users/shunhao/Desktop/ML/method1/samples_test/图片50/accepted/samples_test__unknown__unknown__图片50__Series_1__Series_1.csv,图片50,hours,47,1.0,0.13774461583013367,0.8622553841698662,included
