sample_id,cluster,membership_probability,outlier_score,source_path,figure_id,unit,duration_analysis,clean_n,qc_flags
S0100,-1,0.0,0.9558604065086163,/Users/shunhao/Desktop/ML/method1/samples_test/图片197/accepted/samples_test__unknown__unknown__图片197__1.40M（8_1）__Series_2.csv,图片197,hours,513.5460064613361,39,negative_start_retained_shifted
S0103,1,0.1612708783600412,0.8387291216399588,/Users/shunhao/Desktop/ML/method1/samples_test/图片202/accepted/samples_test__unknown__unknown__图片202__WBGPSCs_with_YbOx__Series_2.csv,图片202,hours,490.314972508966,35,
S0104,1,0.2002230531841927,0.7997769468158072,/Users/shunhao/Desktop/ML/method1/samples_test/图片202/accepted/samples_test__unknown__unknown__图片202__WBG_PSCs_withBCP__Series_1.csv,图片202,hours,490.314972508966,35,
S0107,1,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片204/accepted/samples_test__unknown__unknown__图片204__Series_1__Series_1.csv,图片204,hours,987.0616558007978,42,
S0108,1,0.42793794380101363,0.5720620561989864,/Users/shunhao/Desktop/ML/method1/samples_test/图片204/accepted/samples_test__unknown__unknown__图片204__Series_2__Series_2.csv,图片204,hours,987.0616558007976,41,negative_start_retained_shifted
S0109,1,0.710336740637902,0.2896632593620981,/Users/shunhao/Desktop/ML/method1/samples_test/图片205/accepted/samples_test__unknown__unknown__图片205__Series_1__Series_1.csv,图片205,hours,1003.8344196702012,54,negative_start_retained_shifted
S0110,1,0.6158374114737079,0.38416258852629215,/Users/shunhao/Desktop/ML/method1/samples_test/图片205/accepted/samples_test__unknown__unknown__图片205__Series_2__Series_2.csv,图片205,hours,1003.8344196702012,54,negative_start_retained_shifted
S0118,1,0.06549740248250141,0.9345025975174985,/Users/shunhao/Desktop/ML/method1/samples_test/图片28/accepted/samples_test__unknown__unknown__图片28__Series_1__Series_1.csv,图片28,hours,399.4283373072515,40,negative_start_retained_shifted
S0119,-1,0.0,0.9518517649048754,/Users/shunhao/Desktop/ML/method1/samples_test/图片28/accepted/samples_test__unknown__unknown__图片28__Series_2__Series_2.csv,图片28,hours,399.4283373072516,40,negative_start_retained_shifted
S0128,1,0.7946880750445777,0.20531192495542228,/Users/shunhao/Desktop/ML/method1/samples_test/图片37/accepted/samples_test__unknown__unknown__图片37__Series_2__Series_2.csv,图片37,hours,389.6250188892927,44,
S0141,1,0.13774461583013367,0.8622553841698662,/Users/shunhao/Desktop/ML/method1/samples_test/图片50/accepted/samples_test__unknown__unknown__图片50__Series_1__Series_1.csv,图片50,hours,988.8806439298249,47,negative_start_retained_shifted
S0153,1,0.924991273104049,0.07500872689595099,/Users/shunhao/Desktop/ML/method1/samples_test/图片59/accepted/samples_test__unknown__unknown__图片59__Control__Series_1.csv,图片59,hours,998.2401077705126,44,negative_start_retained_shifted
S0154,1,0.5829148801653768,0.41708511983462315,/Users/shunhao/Desktop/ML/method1/samples_test/图片59/accepted/samples_test__unknown__unknown__图片59__Target__Series_2.csv,图片59,hours,998.2401077705126,44,negative_start_retained_shifted
S0163,1,0.8623626734174054,0.1376373265825946,/Users/shunhao/Desktop/ML/method1/samples_test/图片62/accepted/samples_test__unknown__unknown__图片62__Series_1__Series_1.csv,图片62,hours,575.7584596915898,37,
S0164,1,0.4504216823457211,0.5495783176542789,/Users/shunhao/Desktop/ML/method1/samples_test/图片62/accepted/samples_test__unknown__unknown__图片62__Series_2__Series_2.csv,图片62,hours,1423.402858681986,90,
S0165,1,0.5602917416608564,0.43970825833914357,/Users/shunhao/Desktop/ML/method1/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_TDY-a__Series_2.csv,图片63,hours,983.8846344941695,73,
S0166,1,0.6047512727464419,0.39524872725355814,/Users/shunhao/Desktop/ML/method1/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_TDY-β__Series_3.csv,图片63,hours,997.5496988621438,74,
S0167,1,0.07797815615387578,0.9220218438461243,/Users/shunhao/Desktop/ML/method1/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_Y6__Series_1.csv,图片63,hours,983.8846344941694,73,
S0170,1,0.25979252172012746,0.7402074782798725,/Users/shunhao/Desktop/ML/method1/samples_test/图片65/accepted/samples_test__unknown__unknown__图片65__Series_1__Series_1.csv,图片65,hours,800.1361207417871,105,
S0172,1,0.3433753251566818,0.6566246748433182,/Users/shunhao/Desktop/ML/method1/samples_test/图片68/accepted/samples_test__unknown__unknown__图片68__Series_1__Series_1.csv,图片68,hours,581.2353740272309,37,
