variant_id,k,seed,inertia,silhouette,min_cluster_fraction
w0150_detail_maxabs_level,2,53,486.58480058367275,0.6719828820336676,0.20670897552130554
w0150_detail_maxabs_level,2,71,486.58480058367275,0.6719828820336676,0.20670897552130554
w0150_detail_maxabs_level,3,11,269.9074519006473,0.5921736252176134,0.08522212148685404
w0150_detail_maxabs_level,3,23,269.9074519006473,0.5921736252176134,0.08522212148685404
w0150_detail_maxabs_level,3,37,269.9074519006473,0.5921736252176134,0.08522212148685404
w0150_detail_maxabs_level,3,53,269.9074519006473,0.5921736252176134,0.08522212148685404
w0150_detail_maxabs_level,3,71,269.90869763966714,0.5921851677687531,0.08522212148685404
w0150_detail_maxabs_level,4,11,187.18508629672226,0.557506614948708,0.044424297370806894
w0150_detail_maxabs_level,4,23,187.18508629672226,0.557506614948708,0.044424297370806894
w0150_detail_maxabs_level,4,37,187.18508629672226,0.557506614948708,0.044424297370806894
w0150_detail_maxabs_level,4,53,187.18508629672226,0.557506614948708,0.044424297370806894
w0150_detail_maxabs_level,4,71,187.18508629672226,0.557506614948708,0.044424297370806894
w0150_detail_maxabs_level,5,11,147.45668199423056,0.5143161629638956,0.030825022665457842
w0150_detail_maxabs_level,5,23,164.90507753736017,0.5478139022753048,0.007252946509519492
w0150_detail_maxabs_level,5,37,147.49982079938,0.5175936398645234,0.027198549410698096
w0150_detail_maxabs_level,5,53,147.49982079938,0.5175936398645234,0.027198549410698096
w0150_detail_maxabs_level,5,71,147.59886901180317,0.5124085831929659,0.033544877606527655
w0150_detail_maxabs_level,6,11,124.2298017213895,0.45489861019782196,0.02357207615593835
w0150_detail_maxabs_level,6,23,132.96807704119203,0.5144372948444869,0.007252946509519492
w0150_detail_maxabs_level,6,37,124.83686117004146,0.45342990335612543,0.030825022665457842
w0150_detail_maxabs_level,6,53,124.23747446382143,0.4549018393336705,0.022665457842248413
w0150_detail_maxabs_level,6,71,124.19611445162548,0.455174902237877,0.022665457842248413
w0150_detail_maxabs_level,7,11,110.75738344659847,0.4529477027215984,0.006346328195829556
w0150_detail_maxabs_level,7,23,119.1891909028961,0.454076416551679,0.0009066183136899365
w0150_detail_maxabs_level,7,37,111.7935662150152,0.43013767491183863,0.02357207615593835
w0150_detail_maxabs_level,7,53,110.75738344659847,0.4529477027215984,0.006346328195829556
w0150_detail_maxabs_level,7,71,111.74549156982305,0.42961067357585164,0.022665457842248413
w0150_detail_maxabs_level,8,11,102.35675399429238,0.43631967381490583,0.019038984587488667
w0150_detail_maxabs_level,8,23,102.29951251279039,0.44768750110568406,0.006346328195829556
w0150_detail_maxabs_level,8,37,103.57479502730976,0.4424884336061476,0.01813236627379873
w0150_detail_maxabs_level,8,53,101.76979559645258,0.43760910237541395,0.006346328195829556
w0150_detail_maxabs_level,8,71,101.77969092273781,0.4377914023213569,0.006346328195829556
w0150_detail_maxabs_level,9,11,91.75992554389495,0.4252041483751377,0.006346328195829556
w0150_detail_maxabs_level,9,23,91.11241588794249,0.42510478247242534,0.006346328195829556
w0150_detail_maxabs_level,9,37,94.30271651013106,0.4293052373839263,0.014505893019038985
w0150_detail_maxabs_level,9,53,91.6615595290713,0.43137190999509784,0.006346328195829556
w0150_detail_maxabs_level,9,71,91.76114505328314,0.4243534448720561,0.006346328195829556
w0150_detail_maxabs_level,10,11,85.3832742391765,0.3804887457249223,0.006346328195829556
w0150_detail_maxabs_level,10,23,84.91133378631957,0.38186265703920613,0.006346328195829556
w0150_detail_maxabs_level,10,37,89.82065544657345,0.43061022503531815,0.005439709882139619
w0150_detail_maxabs_level,10,53,85.90298490501782,0.4310586736696902,0.006346328195829556
w0150_detail_maxabs_level,10,71,85.32834043448338,0.380213255562674,0.006346328195829556
w0150_detail_z_level,2,11,8506.539642897904,0.7551125195075948,0.051677243880326386
w0150_detail_z_level,2,23,8506.539642897904,0.7551125195075948,0.051677243880326386
w0150_detail_z_level,2,37,8506.539642897904,0.7551125195075948,0.051677243880326386
w0150_detail_z_level,2,53,8506.539642897904,0.7551125195075948,0.051677243880326386
w0150_detail_z_level,2,71,8506.539642897904,0.7551125195075948,0.051677243880326386
w0150_detail_z_level,3,11,6317.433080733508,0.33767157540672144,0.050770625566636446
w0150_detail_z_level,3,23,6318.044370831449,0.34019168152929824,0.051677243880326386
w0150_detail_z_level,3,37,6317.433080733508,0.33767157540672144,0.050770625566636446
w0150_detail_z_level,3,53,6317.433080733508,0.33767157540672144,0.050770625566636446
w0150_detail_z_level,3,71,6317.433080733508,0.33767157540672144,0.050770625566636446
