variant_id,window_hours,cohort,representation,n,dimensions,accepted_input_total,retention_fraction,primary_window_eligible,smoothing_applied,labels_used,elbow_k,elbow_strength,inertia_at_elbow,silhouette_at_elbow,seed_ari_at_elbow,subsample_ari_to_full,min_cluster_fraction_at_elbow,passes_support,rank_silhouette_at_elbow,rank_subsample_ari_to_full,rank_seed_ari_at_elbow,rank_elbow_strength,rank_min_cluster_fraction_at_elbow,rank_n,kmeans_rank_sum,selected_for_som
w0300_detail_z_level,300,detail,z_level,1325,64,2104,0.6297528517110266,True,False,False,5,0.37581550799457863,5521.386967573121,0.29863534591929586,0.7966584698598244,0.8750032584290246,0.02188679245283019,True,15.0,18.0,33.0,24.0,41.0,6.5,137.5,False
w0750_detail_z_level_d1,750,detail,z_level_d1,734,127,2104,0.3488593155893536,True,False,False,5,0.34701057704375926,293.01923852260575,0.14455515194132879,0.911902577614943,0.9453848322156608,0.02861035422343324,True,31.0,4.0,13.0,32.0,32.0,26.5,138.5,False
w0500_detail_z_level,500,detail,z_level,1102,64,2104,0.5237642585551331,True,False,False,5,0.38270235380103734,4908.989293674759,0.27885451902832475,0.8922458927898731,0.8380965825749949,0.021778584392014518,True,17.0,28.0,17.0,21.0,42.0,14.5,139.5,False
w0750_coverage_z_level,750,coverage,z_level,770,64,2104,0.3659695817490494,True,False,False,5,0.3963071478687048,3435.537603219092,0.27369637508466216,0.866945455627332,0.8626336285368004,0.01948051948051948,True,21.0,19.0,20.0,15.0,44.0,22.5,141.5,False
w0500_coverage_z_level,500,coverage,z_level,1198,64,2104,0.5693916349809885,True,False,False,5,0.3803149602580972,5470.1010741586615,0.2802423195624092,0.6555547311071932,0.8588915738919425,0.025041736227045076,True,16.0,20.0,43.0,22.0,34.0,10.5,145.5,False
w0300_dense_z_level,300,dense,z_level,682,64,2104,0.32414448669201523,True,False,False,4,0.42023088467841996,2703.1539961192525,0.3072445452628082,0.8114486235010137,0.8427229490671506,0.024926686217008796,True,14.0,26.0,32.0,13.0,35.5,30.5,151.0,False
w0750_coverage_z_level_d1,750,coverage,z_level_d1,770,127,2104,0.3659695817490494,True,False,False,5,0.35104402289743264,306.66040373140606,0.14032183734511733,0.8794355676663672,0.8436408237145502,0.03116883116883117,True,34.0,25.0,19.0,31.0,20.5,22.5,152.0,False
w0500_dense_z_level_d1,500,dense,z_level_d1,774,127,2104,0.3678707224334601,True,False,False,5,0.30426649971192743,288.21114699811346,0.14464476983871635,0.6969940056099213,0.9140448163633053,0.031007751937984496,True,30.0,11.0,41.0,40.0,22.0,18.5,162.5,False
w0300_detail_z_level_d1_d2,300,detail,z_level_d1_d2,1325,189,2104,0.6297528517110266,True,False,False,5,0.3219989874168063,1741.8518975958882,0.054521025429357904,0.7545525346594458,0.801978965479622,0.03320754716981132,True,42.0,30.0,35.0,35.0,16.0,6.5,164.5,False
w0750_detail_z_level,750,detail,z_level,734,64,2104,0.3488593155893536,True,False,False,5,0.39013929864432295,3296.789408911399,0.2722371843179587,0.8518380809020517,0.8403120286112816,0.01634877384196185,True,22.0,27.0,24.0,18.0,47.0,26.5,164.5,False
w0300_dense_z_level_d1,300,dense,z_level_d1,682,127,2104,0.32414448669201523,True,False,False,5,0.35574691595903685,232.95532559658147,0.1641427958130625,0.9112528499524372,0.8176617944263566,0.024926686217008796,True,26.0,29.0,14.0,30.0,35.5,30.5,165.0,False
w0750_dense_z_level,750,dense,z_level,576,64,2104,0.2737642585551331,True,False,False,4,0.3989884471683941,2556.158808349266,0.27400623911587246,0.8922823904744235,0.7417263315132064,0.019097222222222224,True,20.0,40.0,16.0,14.0,45.0,34.5,169.5,False
w0500_detail_z_level_d1_d2,500,detail,z_level_d1_d2,1102,189,2104,0.5237642585551331,True,False,False,5,0.29365048432306995,1485.5965200087444,0.049329064927529497,0.8177708392388384,0.857375176007443,0.03357531760435572,True,46.0,21.0,31.0,43.0,15.0,14.5,170.5,False
w0500_coverage_z_level_d1_d2,500,coverage,z_level_d1_d2,1198,189,2104,0.5693916349809885,True,False,False,5,0.32079401571970567,1613.7880784838403,0.0498763691702557,0.8537747945695126,0.7534314263199786,0.0325542570951586,True,45.0,38.0,23.0,37.0,18.0,10.5,171.5,False
w1000_detail_z_level,1000,detail,z_level,472,64,2104,0.22433460076045628,True,False,False,5,0.39098532425779575,2124.6707944758164,0.26974912505530246,0.8363503080719452,0.7689790437781316,0.023305084745762712,True,23.0,34.0,28.0,17.0,38.5,42.5,183.0,False
w1000_coverage_z_level_d1,1000,coverage,z_level_d1,489,127,2104,0.23241444866920152,True,False,False,5,0.3619995301434896,202.3204414036979,0.14255278350798462,0.8484606420166589,0.7554447493439534,0.03067484662576687,True,32.0,37.0,25.0,27.0,24.0,38.5,183.5,False
w1000_detail_z_level_d1,1000,detail,z_level_d1,472,127,2104,0.22433460076045628,True,False,False,5,0.3653058224359531,194.16397041575422,0.14167197939155152,0.825550551254892,0.7636418695189218,0.029661016949152543,True,33.0,36.0,29.0,25.0,29.5,42.5,195.0,False
w0750_coverage_z_level_d1_d2,750,coverage,z_level_d1_d2,770,189,2104,0.3659695817490494,True,False,False,5,0.30061825716266866,1051.1013773367868,0.05445719413097051,0.7266641413801411,0.776803362993885,0.03116883116883117,True,43.0,32.0,38.0,41.0,20.5,22.5,197.0,False
w0750_detail_z_level_d1_d2,750,detail,z_level_d1_d2,734,189,2104,0.3488593155893536,True,False,False,5,0.28253126442995435,1001.1210712183527,0.05473777512079816,0.8230904154278198,0.7694433023970335,0.02997275204359673,True,41.0,33.0,30.0,44.0,26.0,26.5,200.5,False
w1000_coverage_z_level,1000,coverage,z_level,489,64,2104,0.23241444866920152,True,False,False,5,0.3882211104069665,2258.807528063383,0.2757689558911509,0.5549922543706087,0.7032774620380794,0.024539877300613498,True,18.0,42.0,46.0,20.0,37.0,38.5,201.5,False
w1000_dense_z_level_d1,1000,dense,z_level_d1,379,127,2104,0.18013307984790874,True,False,False,5,0.31090955718752933,158.98084176934447,0.12470306781847176,0.6712260786302104,0.7870106112954303,0.036939313984168866,True,35.0,31.0,42.0,39.0,13.0,46.5,206.5,False
w1000_coverage_z_level_d1_d2,1000,coverage,z_level_d1_d2,489,189,2104,0.23241444866920152,True,False,False,5,0.32123276474394635,671.7811158789161,0.058580953286454567,0.7241785775438682,0.6638158586291059,0.032719836400818,True,38.0,43.0,39.0,36.0,17.0,38.5,211.5,False
w0500_dense_z_level_d1_d2,500,dense,z_level_d1_d2,774,189,2104,0.3678707224334601,True,False,False,5,0.2684460072765664,1034.1377995037544,0.052616910110247016,0.7176876414493142,0.7116529754435333,0.029715762273901807,True,44.0,41.0,40.0,46.0,27.5,18.5,217.0,False
w0300_dense_z_level_d1_d2,300,dense,z_level_d1_d2,682,189,2104,0.32414448669201523,True,False,False,5,0.29782619123177334,888.2770660452213,0.05623941712311117,0.7774195048881534,0.746554162127367,0.02785923753665689,True,39.0,39.0,34.0,42.0,33.0,30.5,217.5,False
w0750_dense_z_level_d1,750,dense,z_level_d1,576,127,2104,0.2737642585551331,True,False,False,5,0.2708932767648753,229.17056926382708,0.12239702023435088,0.5669744776172453,0.5271306639820146,0.034722222222222224,True,36.0,46.0,45.0,45.0,14.0,34.5,220.5,False
