time_h,normalised_pce
128.5,0.961398
128.6667,0.961352
128.8333,0.961306
129.0,0.96126
129.1667,0.961215
129.3333,0.961169
129.5,0.961123
129.6667,0.961077
129.8333,0.961031
130.0,0.960985
130.1667,0.960939
130.3333,0.960893
130.5,0.960847
130.6667,0.960801
130.8333,0.960755
131.0,0.960709
131.1667,0.960663
131.3333,0.960617
131.5,0.960571
131.6667,0.960525
131.8333,0.960479
132.0,0.960433
132.1667,0.960387
132.3333,0.960341
132.5,0.960294
132.6667,0.960249
132.8333,0.960203
133.0,0.960157
133.1667,0.960111
133.3333,0.960065
133.5,0.960019
133.6667,0.959973
133.8333,0.959927
134.0,0.959882
134.1667,0.959836
134.3333,0.95979
134.5,0.959744
134.6667,0.959699
134.8333,0.959653
135.0,0.959607
135.1667,0.959561
135.3333,0.959515
135.5,0.959469
135.6667,0.959423
135.8333,0.959377
136.0,0.959331
136.1667,0.959284
136.3333,0.959238
136.5,0.959191
136.6667,0.959145
136.8333,0.959098
137.0,0.959051
137.1667,0.959004
137.3333,0.958957
137.5,0.958909
137.6667,0.958862
137.8333,0.958814
138.0,0.958767
138.1667,0.958719
138.3333,0.958671
138.5,0.958622
138.6667,0.958574
138.8333,0.958526
139.0,0.958477
139.1667,0.958428
139.3333,0.958379
139.5,0.95833
139.6667,0.958281
139.8333,0.958232
140.0,0.958182
140.1667,0.958133
140.3333,0.958083
140.5,0.958033
140.6667,0.957983
140.8333,0.957933
141.0,0.957883
141.1667,0.957833
141.3333,0.957783
141.5,0.957732
141.6667,0.957682
141.8333,0.957631
142.0,0.957581
142.1667,0.95753
142.3333,0.95748
142.5,0.957429
142.6667,0.957378
142.8333,0.957327
143.0,0.957277
143.1667,0.957226
143.3333,0.957175
143.5,0.957124
143.6667,0.957073
143.8333,0.957022
144.0,0.956971
144.1667,0.95692
144.3333,0.956869
144.5,0.956818
144.6667,0.956767
144.8333,0.956716
145.0,0.956666
145.1667,0.956615
145.3333,0.956564
145.5,0.956513
145.6667,0.956462
145.8333,0.956411
146.0,0.95636
146.1667,0.956309
146.3333,0.956258
146.5,0.956207
146.6667,0.956156
146.8333,0.956106
147.0,0.956055
147.1667,0.956004
147.3333,0.955953
147.5,0.955902
147.6667,0.955852
147.8333,0.955801
148.0,0.95575
148.1667,0.9557
148.3333,0.955649
148.5,0.955599
148.6667,0.955548
148.8333,0.955498
149.0,0.955447
149.1667,0.955397
149.3333,0.955347
149.5,0.955297
149.6667,0.955247
149.8333,0.955197
150.0,0.955147
150.1667,0.955097
150.3333,0.955047
150.5,0.954997
150.6667,0.954948
150.8333,0.954898
151.0,0.954849
151.1667,0.9548
151.3333,0.95475
151.5,0.954701
151.6667,0.954652
151.8333,0.954603
152.0,0.954555
152.1667,0.954506
152.3333,0.954458
152.5,0.954409
152.6667,0.954361
152.8333,0.954313
153.0,0.954264
153.1667,0.954216
153.3333,0.954168
153.5,0.954121
153.6667,0.954073
153.8333,0.954025
154.0,0.953977
154.1667,0.95393
154.3333,0.953882
154.5,0.953835
154.6667,0.953788
154.8333,0.95374
155.0,0.953693
155.1667,0.953646
155.3333,0.953599
155.5,0.953552
155.6667,0.953505
155.8333,0.953458
156.0,0.953411
156.1667,0.953364
156.3333,0.953317
156.5,0.95327
156.6667,0.953223
156.8333,0.953176
157.0,0.953129
157.1667,0.953082
157.3333,0.953035
157.5,0.952988
157.6667,0.952941
157.8333,0.952893
158.0,0.952846
158.1667,0.952799
158.3333,0.952752
158.5,0.952705
158.6667,0.952657
158.8333,0.95261
159.0,0.952562
159.1667,0.952515
159.3333,0.952467
159.5,0.95242
159.6667,0.952372
159.8333,0.952324
160.0,0.952276
160.1667,0.952229
160.3333,0.952181
160.5,0.952132
160.6667,0.952084
160.8333,0.952036
161.0,0.951988
161.1667,0.951939
161.3333,0.951891
161.5,0.951842
161.6667,0.951793
161.8333,0.951744
162.0,0.951696
162.1667,0.951647
162.3333,0.951597
162.5,0.951548
162.6667,0.951499
162.8333,0.951449
163.0,0.9514
163.1667,0.95135
163.3333,0.9513
163.5,0.95125
163.6667,0.9512
163.8333,0.95115
164.0,0.951099
164.1667,0.951049
164.3333,0.950998
164.5,0.950948
164.6667,0.950897
164.8333,0.950845
165.0,0.950794
165.1667,0.950743
165.3333,0.950691
165.5,0.950639
165.6667,0.950587
165.8333,0.950535
166.0,0.950483
166.1667,0.95043
166.3333,0.950377
166.5,0.950325
166.6667,0.950271
166.8333,0.950218
167.0,0.950164
167.1667,0.950111
167.3333,0.950056
167.5,0.950002
167.6667,0.949948
167.8333,0.949893
168.0,0.949838
168.1667,0.949782
168.3333,0.949727
168.5,0.949671
168.6667,0.949615
168.8333,0.949559
169.0,0.949502
169.1667,0.949446
169.3333,0.949389
169.5,0.949332
169.6667,0.949274
169.8333,0.949217
170.0,0.949159
170.1667,0.949102
170.3333,0.949044
170.5,0.948985
170.6667,0.948927
170.8333,0.948869
171.0,0.94881
171.1667,0.948752
171.3333,0.948693
171.5,0.948634
171.6667,0.948575
171.8333,0.948516
172.0,0.948457
172.1667,0.948398
172.3333,0.948339
172.5,0.94828
172.6667,0.94822
172.8333,0.948161
173.0,0.948101
173.1667,0.948042
173.3333,0.947982
173.5,0.947923
173.6667,0.947863
173.8333,0.947804
174.0,0.947744
174.1667,0.947685
174.3333,0.947625
174.5,0.947565
174.6667,0.947506
174.8333,0.947446
175.0,0.947386
175.1667,0.947327
175.3333,0.947267
175.5,0.947207
175.6667,0.947148
175.8333,0.947088
176.0,0.947028
176.1667,0.946968
176.3333,0.946909
176.5,0.946849
176.6667,0.946789
176.8333,0.94673
177.0,0.94667
177.1667,0.94661
177.3333,0.94655
177.5,0.946491
177.6667,0.946431
177.8333,0.946372
178.0,0.946312
178.1667,0.946252
178.3333,0.946193
178.5,0.946133
178.6667,0.946074
178.8333,0.946014
179.0,0.945955
179.1667,0.945895
179.3333,0.945836
179.5,0.945777
179.6667,0.945718
179.8333,0.945659
180.0,0.9456
180.1667,0.945541
180.3333,0.945482
180.5,0.945423
180.6667,0.945365
180.8333,0.945306
181.0,0.945248
181.1667,0.94519
181.3333,0.945132
181.5,0.945074
181.6667,0.945016
181.8333,0.944959
182.0,0.944901
182.1667,0.944844
182.3333,0.944787
182.5,0.94473
182.6667,0.944674
182.8333,0.944617
183.0,0.944561
183.1667,0.944505
183.3333,0.944449
183.5,0.944393
183.6667,0.944337
183.8333,0.944282
184.0,0.944226
184.1667,0.944171
184.3333,0.944115
184.5,0.94406
184.6667,0.944005
184.8333,0.94395
185.0,0.943895
185.1667,0.943841
185.3333,0.943786
