curve_id,kept_index,doi,doi_dir,top_dir,figure_folder,figure_label,series_id,legend_hint,csv_path,abs_max_pce,delta_pce_rel_pct,max_pce_bin,max_pce_bin_absolute,max_pce_source
613,596,10.3390/cryst12081090,10.3390_cryst12081090,x_time_day,Fig6_D_stability_performance_curve_pce,Fig6_D,Series_2,FTO_PEIE,x_time_day/10.3390_cryst12081090/Fig6_D_stability_performance_curve_pce/accepted/10.3390_cryst12081090__Fig6__D__stability_performance_curve_pce__FTO_PEIE__Series_2.csv,1.0002253951370972,21.51119041442871,Q2,n/a,pre-normalised
616,599,10.3390/ijms232214441,10.3390_ijms232214441,x_time_day,Fig5_C_stability_performance_curve_pce,Fig5_C,Series_2,PCE_(pristine),x_time_day/10.3390_ijms232214441/Fig5_C_stability_performance_curve_pce/accepted/10.3390_ijms232214441__Fig5__C__stability_performance_curve_pce__PCE_(pristine)__Series_2.csv,16.6375513603422,28.18879508972168,Q5,Q3,absolute
620,603,10.3390/molecules29112556,10.3390_molecules29112556,x_time_day,Fig6_whole_stability_performance_curve_pce,Fig6,Series_3,Pristine_device,x_time_day/10.3390_molecules29112556/Fig6_whole_stability_performance_curve_pce/accepted/10.3390_molecules29112556__Fig6__whole__stability_performance_curve_pce__Pristine_device__Series_3.csv,15.099020580663922,20.925199508666992,Q5,Q2,absolute
621,604,10.3390/molecules29215064,10.3390_molecules29215064,x_time_day,Fig5_A_stability_performance_curve,Fig5_A,Series_2,PEDOT_PSS,x_time_day/10.3390_molecules29215064/Fig5_A_stability_performance_curve/accepted/10.3390_molecules29215064__Fig5__A__stability_performance_curve__PEDOT_PSS__Series_2.csv,0.9987562854533681,41.65461730957031,Q2,n/a,pre-normalised
623,606,10.7498/aps.71.20211344,10.7498_aps.71.20211344,x_time_day,Fig13_B_image,Fig13_B,Series_1,w_oPEABr,x_time_day/10.7498_aps.71.20211344/Fig13_B_image/accepted/10.7498_aps.71.20211344__Fig13__B__image__w_oPEABr__Series_1.csv,0.9214984002486091,12.689399719238281,Q1,n/a,pre-normalised
627,610,10.1002/adfm.201601119,10.1002_adfm.201601119,x_time_h,Fig5_B_stability_performance_curve,Fig5_B,Series_2,[spiro-OMeTAD],x_time_h/10.1002_adfm.201601119/Fig5_B_stability_performance_curve/accepted/10.1002_adfm.201601119__Fig5__B__stability_performance_curve__[spiro-OMeTAD]__Series_2.csv,15.213402223387508,23.52941131591797,Q5,Q2,absolute
628,611,10.1002/adfm.201605988,10.1002_adfm.201605988,x_time_h,Fig7_D_stability_performance_curve_pce,Fig7_D,Series_1,FAPbl₃,x_time_h/10.1002_adfm.201605988/Fig7_D_stability_performance_curve_pce/accepted/10.1002_adfm.201605988__Fig7__D__stability_performance_curve_pce__FAPbl₃__Series_1.csv,1.0037826547967226,19.08017349243164,Q3,n/a,pre-normalised
629,612,10.1002/adfm.201702090,10.1002_adfm.201702090,x_time_h,Fig4_B_mppt_stability_performance_curve,Fig4_B,Series_2,Mesoporous_Ts_TiO2,x_time_h/10.1002_adfm.201702090/Fig4_B_mppt_stability_performance_curve/accepted/10.1002_adfm.201702090__Fig4__B__mppt_stability_performance_curve__Mesoporous_Ts_TiO2__Series_2.csv,1.0099350040377526,30.36986541748047,Q4,n/a,pre-normalised
631,614,10.1002/adfm.201705363,10.1002_adfm.201705363,x_time_h,Fig4_C_stability_performance_curve_pce,Fig4_C,Series_2,withPTT,x_time_h/10.1002_adfm.201705363/Fig4_C_stability_performance_curve_pce/accepted/10.1002_adfm.201705363__Fig4__C__stability_performance_curve_pce__withPTT__Series_2.csv,1.0000255231632431,27.835399627685547,Q2,n/a,pre-normalised
636,619,10.1002/adfm.201803269,10.1002_adfm.201803269,x_time_h,Fig7_A_stability_performance_curve_pce,Fig7_A,Series_1,w_o_DMSO-adducts,x_time_h/10.1002_adfm.201803269/Fig7_A_stability_performance_curve_pce/accepted/10.1002_adfm.201803269__Fig7__A__stability_performance_curve_pce__w_o_DMSO-adducts__Series_1.csv,10.581640952345893,32.04106140136719,Q5,Q1,absolute
