k,cluster_a,cluster_b,center_distance,within_radius_sum,separation_to_spread
13,1,9,0.39592187532089806,0.2063808896472409,1.9184037630501178
13,1,10,0.12728117143415132,0.1441155553651901,0.8831882936690609
13,1,11,0.25829016474361577,0.21046884116983292,1.2272133172206452
13,1,12,0.4909086120019154,0.2123653108453626,2.3116233533987045
13,1,13,0.6278452223774605,0.20833133062365464,3.0136860379951553
13,2,3,0.11565994505449624,0.13723606495408033,0.8427809781138541
13,2,4,0.15572423777548902,0.14633328752162567,1.0641750787733484
13,2,5,0.2213476307272991,0.18779375062501696,1.1786741038538704
13,2,6,0.2321291113903623,0.15652081432675513,1.4830558631375772
13,2,7,0.4208111747143946,0.1729535506998091,2.4330878031222696
13,2,8,0.31213068724207504,0.1410720125338687,2.2125628013362215
13,2,9,0.290327423034727,0.23582794409478017,1.231098477956638
13,2,10,0.1925882028588429,0.17356260981272936,1.1096180396609718
13,2,11,0.207573530299098,0.23991589561737217,0.865192903392049
13,2,12,0.3912974649654345,0.24181236529290184,1.618186334232597
13,2,13,0.5285761458661233,0.2377783850711939,2.222978113455775
13,3,4,0.08622962253459665,0.11218487940723894,0.7686385454993191
13,3,5,0.16249459919271675,0.15364534251063025,1.0575953461229992
13,3,6,0.17111544613018576,0.12237240621236839,1.3983172467265812
13,3,7,0.4098581151386643,0.1388051425854224,2.9527588640055793
13,3,8,0.27545767918250563,0.10692360441948195,2.5762101893033083
13,3,9,0.3237150012721344,0.20167953598039345,1.605095924574146
13,3,10,0.2508146350608386,0.13941420169834262,1.7990608704523419
13,3,11,0.2418438152509201,0.20576748750298546,1.1753256949663207
13,3,12,0.47508499959032785,0.20766395717851513,2.287758579029332
13,3,13,0.5512494636668887,0.20362997695680718,2.7071135198518266
13,4,5,0.12339062560975886,0.16274256507817558,0.7581951627128803
13,4,6,0.09142287295226485,0.13146962877991372,0.6953915805551638
13,4,7,0.32737649618170533,0.14790236515296773,2.2134635632304924
13,4,8,0.18960437885028425,0.11602082698702729,1.6342270933087264
13,4,9,0.26487271854193184,0.2107767585479388,1.25665049774304
13,4,10,0.3257497154216603,0.14851142426588795,2.1934320341474414
13,4,11,0.2448332279797789,0.2148647100705308,1.1394762215694274
13,4,12,0.4455790628906243,0.21676117974606046,2.055622060244496
13,4,13,0.48545724618532765,0.2127271995243525,2.282064763089939
13,5,6,0.14319775044903418,0.17293009188330505,0.8280672778781929
13,5,7,0.33024332911272747,0.18936282825635903,1.7439712543036414
13,5,8,0.2065666957620602,0.1574812900904186,1.3116903960048776
13,5,9,0.2884110078938254,0.2522372216513301,1.1434117693085704
13,5,10,0.3728451903472065,0.18997188736927928,1.9626335007265923
13,5,11,0.2452586964231098,0.2563251731739221,0.9568264146131934
13,5,12,0.4786208663815497,0.25822164284945176,1.8535273073938074
13,5,13,0.4623447995190025,0.25418766262774384,1.8189112513934376
13,6,7,0.267792254269879,0.1580898919580972,1.6939239501843621
13,6,8,0.12312150707050415,0.12620835379215675,0.975541660841753
13,6,9,0.24121622552720012,0.22096428535306822,1.0916525498307217
13,6,10,0.4105055312010002,0.15869895107101742,2.5866934118379894
13,6,11,0.3045003190755666,0.22505223687566023,1.3530206289120372
13,6,12,0.456551791298104,0.22694870655118993,2.0116959388579967
13,6,13,0.4511644767096432,0.22291472632948195,2.0239330264919055
13,7,8,0.15315133519172053,0.14264109016521076,1.0736831512878688
13,7,9,0.19893059051915163,0.23739702172612223,0.8379658222867338
13,7,10,0.6079839133316488,0.17513168744407143,3.471581426552573
13,7,11,0.3991883456313252,0.24148497324871424,1.6530566695766469
13,7,12,0.38864508443480755,0.2433814429242439,1.596855864462021
13,7,13,0.24599822764512905,0.23934746270253596,1.0277870710117314
13,8,9,0.2038524609815789,0.2055154835601818,0.9919080424024795
13,8,10,0.49962695974400095,0.14325014927813098,3.4877936411356716
13,8,11,0.335333219417918,0.2096034350827738,1.5998460105651067
13,8,12,0.4258474353971682,0.2114999047583035,2.0134639582169807
13,8,13,0.36308088440724134,0.20746592453659551,1.7500747904420153
13,9,10,0.46752619807548274,0.23800608083904246,1.9643456017061134
13,9,11,0.29684177469671147,0.3043593666436853,0.9753002773337524
13,9,12,0.25771518363797247,0.30625583631921494,0.8415029301493937
13,9,13,0.2867925724188162,0.302221856097507,0.9489471612744222
13,10,11,0.3011753285331948,0.24209403236163446,1.2440427613816851
