k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error,norm
14,0.3,0.03,29,5000,2x7,0.08576355681213133,14,0.19765053193243656,0.6926605504587156,minmax
14,0.3,0.03,47,5000,2x7,0.08269289880622582,14,0.1882531176471588,0.536697247706422,minmax
15,0.3,0.03,11,5000,3x5,0.07783585066564461,15,0.22318096141120125,0.6972477064220184,minmax
15,0.3,0.03,29,5000,3x5,0.08103309826511043,15,0.15921688876052575,0.6422018348623854,minmax
15,0.3,0.03,47,5000,3x5,0.07881364107635927,15,0.1962592406026855,0.39908256880733944,minmax
16,0.3,0.03,11,5000,4x4,0.07832354968124247,16,0.20493274983028065,0.6146788990825688,minmax
16,0.3,0.03,29,5000,4x4,0.07676079347951009,16,0.18140998857880303,0.7752293577981652,minmax
16,0.3,0.03,47,5000,4x4,0.07501308950430725,16,0.1953322391762881,0.518348623853211,minmax
1,0.3,0.1,11,5000,1x1,0.19489732025204404,1,,,minmax
1,0.3,0.1,29,5000,1x1,0.19577808123260673,1,,,minmax
1,0.3,0.1,47,5000,1x1,0.1916402360000002,1,,,minmax
2,0.3,0.1,11,5000,1x2,0.15437385862080494,2,0.4228556379055684,0.0,minmax
2,0.3,0.1,29,5000,1x2,0.15226723128854136,2,0.4242190003405477,0.0,minmax
2,0.3,0.1,47,5000,1x2,0.1499953581056896,2,0.3987709922775468,0.0,minmax
3,0.3,0.1,11,5000,1x3,0.1258355447911891,3,0.3578353376651608,0.6880733944954128,minmax
3,0.3,0.1,29,5000,1x3,0.12619802367680122,3,0.3610199451136497,0.7201834862385321,minmax
3,0.3,0.1,47,5000,1x3,0.12665565992468444,3,0.36149898650034457,0.2706422018348624,minmax
4,0.3,0.1,11,5000,2x2,0.10883688831691546,4,0.3346603735151717,0.0,minmax
4,0.3,0.1,29,5000,2x2,0.1088481089903964,4,0.3364044205345446,0.0,minmax
4,0.3,0.1,47,5000,2x2,0.1211155404642206,4,0.36360649706431736,0.0,minmax
5,0.3,0.1,11,5000,1x5,0.10135616969532828,5,0.26249360986193315,0.8669724770642202,minmax
5,0.3,0.1,29,5000,1x5,0.1034091448761981,5,0.26183710167496976,0.6467889908256881,minmax
5,0.3,0.1,47,5000,1x5,0.10496058224860355,5,0.3424414502491577,0.5275229357798165,minmax
6,0.3,0.1,11,5000,2x3,0.10303970820765926,6,0.34772984124682405,0.09174311926605505,minmax
6,0.3,0.1,29,5000,2x3,0.09777867652645622,6,0.2731526504791378,0.8394495412844036,minmax
6,0.3,0.1,47,5000,2x3,0.09752424655657493,6,0.2746326756024737,0.6238532110091743,minmax
7,0.3,0.1,11,5000,1x7,0.09408490796909257,7,0.25071730607684417,0.5963302752293578,minmax
7,0.3,0.1,29,5000,1x7,0.09317959352156473,7,0.26152068629776326,0.7522935779816514,minmax
7,0.3,0.1,47,5000,1x7,0.09537915362213839,7,0.2806287693115886,0.7798165137614679,minmax
8,0.3,0.1,11,5000,2x4,0.09123029930385541,8,0.25491807831470475,0.06422018348623854,minmax
