k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error,parent
8,0.5,0.1,47,30000,2x4,0.04847245963799453,8,0.22422740140546624,0.0,1
8,0.5,0.1,71,30000,2x4,0.0478489392224851,8,0.23525422743804206,0.06521739130434782,1
8,0.5,0.1,101,30000,2x4,0.049479924263760966,8,0.22437073286444112,0.21739130434782608,1
1,0.5,0.1,11,30000,1x1,0.2088093164790542,1,,,2
1,0.5,0.1,29,30000,1x1,0.209293480479206,1,,,2
1,0.5,0.1,47,30000,1x1,0.20814018090067749,1,,,2
1,0.5,0.1,71,30000,1x1,0.21171869276696195,1,,,2
1,0.5,0.1,101,30000,1x1,0.2110386410531925,1,,,2
2,0.5,0.1,11,30000,1x2,0.1679229089263241,2,0.32738598871459,0.0,2
2,0.5,0.1,29,30000,1x2,0.16741856655885454,2,0.32738598871459,0.0,2
2,0.5,0.1,47,30000,1x2,0.17006380658740625,2,0.32738598871459,0.0,2
2,0.5,0.1,71,30000,1x2,0.1689387608538641,2,0.32738598871459,0.0,2
2,0.5,0.1,101,30000,1x2,0.16781580500447843,2,0.32738598871459,0.0,2
3,0.5,0.1,11,30000,1x3,0.1486962412516571,3,0.2146952791060311,0.6521739130434783,2
3,0.5,0.1,29,30000,1x3,0.15097336613619414,3,0.2146952791060311,0.17391304347826086,2
3,0.5,0.1,47,30000,1x3,0.14952265809212234,3,0.21325089982944156,0.08695652173913043,2
3,0.5,0.1,71,30000,1x3,0.14876442258512043,3,0.2146952791060311,0.2608695652173913,2
3,0.5,0.1,101,30000,1x3,0.14909445479974542,3,0.2146952791060311,0.13043478260869565,2
4,0.5,0.1,11,30000,2x2,0.1322699436091801,4,0.23249891067469747,0.0,2
4,0.5,0.1,29,30000,2x2,0.1358508459218438,4,0.23141959998092557,0.0,2
4,0.5,0.1,47,30000,2x2,0.13411939407438048,4,0.23249891067469747,0.0,2
4,0.5,0.1,71,30000,2x2,0.13767095386705258,4,0.21695782606849612,0.0,2
4,0.5,0.1,101,30000,2x2,0.13479824863078213,4,0.23249891067469747,0.0,2
5,0.5,0.1,11,30000,1x5,0.12113925833401791,5,0.2630206780326059,0.4782608695652174,2
5,0.5,0.1,29,30000,1x5,0.12042225922694705,5,0.2630206780326059,0.6956521739130435,2
5,0.5,0.1,47,30000,1x5,0.12759887165759434,5,0.2166862935623402,0.21739130434782608,2
5,0.5,0.1,71,30000,1x5,0.11961209977328853,5,0.2630206780326059,0.5652173913043478,2
5,0.5,0.1,101,30000,1x5,0.11991896842027694,5,0.2630206780326059,0.391304347826087,2
6,0.5,0.1,11,30000,2x3,0.11246667032484596,6,0.26004934674585206,0.2608695652173913,2
6,0.5,0.1,29,30000,2x3,0.11542847503060354,6,0.2225596391595907,0.30434782608695654,2
6,0.5,0.1,47,30000,2x3,0.11038817044110419,6,0.27687715393822165,0.17391304347826086,2
6,0.5,0.1,71,30000,2x3,0.11014603701262651,6,0.27687715393822165,0.17391304347826086,2
6,0.5,0.1,101,30000,2x3,0.1138006556950474,6,0.22991534138743172,0.0,2
7,0.5,0.1,11,30000,1x7,0.10201772420992998,7,0.27000084543762354,0.7391304347826086,2
7,0.5,0.1,29,30000,1x7,0.10181454409639532,7,0.2776878607700298,0.6086956521739131,2
7,0.5,0.1,47,30000,1x7,0.1017696679433626,7,0.2776878607700298,0.7391304347826086,2
7,0.5,0.1,71,30000,1x7,0.10181560094912352,7,0.27339740117123823,0.5217391304347826,2
7,0.5,0.1,101,30000,1x7,0.10032862627635489,7,0.261039519791049,0.5652173913043478,2
1,0.5,0.1,11,30000,1x1,0.09299810873862038,1,,,3
1,0.5,0.1,29,30000,1x1,0.09206225252421633,1,,,3
1,0.5,0.1,47,30000,1x1,0.09213776453307561,1,,,3
1,0.5,0.1,71,30000,1x1,0.09286401910135515,1,,,3
1,0.5,0.1,101,30000,1x1,0.09157168575140004,1,,,3
2,0.5,0.1,11,30000,1x2,0.0781348137945187,2,0.23585306567401385,0.0,3
2,0.5,0.1,29,30000,1x2,0.07853250220897491,2,0.23616393101018326,0.0,3
2,0.5,0.1,47,30000,1x2,0.07950514707674516,2,0.23574268361194664,0.0,3
2,0.5,0.1,71,30000,1x2,0.07811681985204397,2,0.235597774970898,0.0,3
2,0.5,0.1,101,30000,1x2,0.07848368212427712,2,0.23616393101018326,0.0,3
3,0.5,0.1,11,30000,1x3,0.07495384631475686,3,0.24743214783882048,0.06741573033707865,3
3,0.5,0.1,29,30000,1x3,0.07305074235001494,3,0.25077814934897036,0.12359550561797752,3
3,0.5,0.1,47,30000,1x3,0.0725864067175574,3,0.24777252049419476,0.1348314606741573,3
3,0.5,0.1,71,30000,1x3,0.07394934139066242,3,0.24651809049153817,0.0449438202247191,3
3,0.5,0.1,101,30000,1x3,0.07333839126777755,3,0.2574602227916446,0.06741573033707865,3
4,0.5,0.1,11,30000,2x2,0.0708682726941015,4,0.2635816832551903,0.0,3
4,0.5,0.1,29,30000,2x2,0.07060681277202298,4,0.2617016287475466,0.0,3
4,0.5,0.1,47,30000,2x2,0.07071568699941287,4,0.26106031544193165,0.0,3
4,0.5,0.1,71,30000,2x2,0.07086453078464319,4,0.2611410944295075,0.0,3
4,0.5,0.1,101,30000,2x2,0.07034715358858451,4,0.26106031544193165,0.0,3
5,0.5,0.1,11,30000,1x5,0.06700577132691271,5,0.2652981991968954,0.14606741573033707,3
5,0.5,0.1,29,30000,1x5,0.06741347724355012,5,0.2505792635803406,0.6853932584269663,3
5,0.5,0.1,47,30000,1x5,0.0673414074097824,5,0.26107433656024165,0.8876404494382022,3
5,0.5,0.1,71,30000,1x5,0.06676701767856143,5,0.2717690736056385,0.6067415730337079,3
5,0.5,0.1,101,30000,1x5,0.06786368594660586,5,0.2670408039796565,0.5842696629213483,3
6,0.5,0.1,11,30000,2x3,0.06392233152012285,6,0.19842856722693814,0.0898876404494382,3
6,0.5,0.1,29,30000,2x3,0.06396165636854205,6,0.22325441590696118,0.30337078651685395,3
6,0.5,0.1,47,30000,2x3,0.06319367919537484,6,0.23424165235404157,0.2247191011235955,3
6,0.5,0.1,71,30000,2x3,0.06312112908366868,6,0.2147766269447125,0.033707865168539325,3
