k,sigma,seed,qe_elastic,occupied,silhouette_elastic,method,assigned_l2_centroid_error,silhouette_l2
5,0.3,11,0.03214106201342927,5,0.5870275763495105,dtw_0,0.16140606793795217,0.22047863789147665
5,0.3,29,0.030795805676707748,5,0.1764985840926723,dtw_0,0.13799934553272958,0.20733572294627767
5,0.3,47,0.03299018104549381,5,0.5791355802317454,dtw_0,0.16104526642862743,0.17333081085668772
5,0.3,71,0.03100233591294939,5,0.08602310931009594,dtw_0,0.13717949643829,0.10958898350526752
5,0.3,101,0.0305659090677698,5,0.47789301335858886,dtw_0,0.16057145810204027,0.08725404500404658
6,0.3,11,0.03202373904066828,6,0.6152014852063479,dtw_0,0.16178959364857814,0.20222183324115856
6,0.3,29,0.02974666419990282,6,0.11533557475247919,dtw_0,0.13785136550730226,0.18561367266923895
6,0.3,47,0.030007343391283112,6,0.6073225468768549,dtw_0,0.1593536360968757,0.14805069935947598
6,0.3,71,0.02968760711003244,6,0.07157639566442715,dtw_0,0.13570377296381367,0.08639269085039136
6,0.3,101,0.02956210222483603,6,0.46847818544692355,dtw_0,0.15952730833166132,0.06714034707627092
7,0.3,11,0.028738758114476265,7,0.1265711861518969,dtw_0,0.13785042152683338,0.15740027842340315
7,0.3,29,0.029023316635003876,7,0.11380236838679249,dtw_0,0.13685247885794893,0.16124364229454297
7,0.3,47,0.027392925022071087,7,0.15699581328542475,dtw_0,0.13369860627301894,0.16602541926912145
7,0.3,71,0.02841207327669951,7,0.07666177103594296,dtw_0,0.13437821151856058,0.08283111304453136
7,0.3,101,0.029063004996807723,7,0.40877234821122643,dtw_0,0.148764053550731,0.05777005197158005
8,0.3,11,0.027797063215933154,8,0.12211596672765929,dtw_0,0.13585645334837662,0.1236671245054508
8,0.3,29,0.028648665065995754,8,0.1018898914145731,dtw_0,0.1361043244965988,0.14971151174823882
8,0.3,47,0.02660607515128811,8,0.16862042361894505,dtw_0,0.1330250653527486,0.16163961220121942
8,0.3,71,0.027733546527226732,8,0.07388768509822506,dtw_0,0.13467038691425937,0.07691599662846675
8,0.3,101,0.028313900983692797,8,0.40309215861479214,dtw_0,0.14821613803152586,0.05408604725013874
9,0.3,11,0.027700929173904244,9,0.11216687055650537,dtw_0,0.135759923960624,0.122917919343595
9,0.3,29,0.027758520218749663,9,0.11532465365836758,dtw_0,0.13396054584810074,0.06622238012009228
9,0.3,47,0.02647937256521029,9,0.1581288010821333,dtw_0,0.13077924606889121,0.17383325979613526
9,0.3,71,0.02629077299137962,9,0.10943110235953016,dtw_0,0.12892471856496962,0.08806221779564698
9,0.3,101,0.027578218040216557,9,0.4047317767752876,dtw_0,0.15054025541161994,0.05522385071098604
10,0.3,11,0.02768409547006851,10,0.11364065650821858,dtw_0,0.134852858556113,0.040633658992209006
10,0.3,29,0.02651406493185172,10,0.1291024165934326,dtw_0,0.13205510222113118,0.07048680692505042
10,0.3,47,0.025883866617956955,10,0.16564991069527862,dtw_0,0.13286842871558505,0.14761813633990697
10,0.3,71,0.02609880745405261,10,0.09474604913521088,dtw_0,0.12086179244333896,0.11230618376063678
10,0.3,101,0.027141413802512452,10,0.4070177518491054,dtw_0,0.14683021554456308,0.04826384670271644
11,0.3,11,0.02720473184307592,11,0.1168690298811402,dtw_0,0.13323148552790515,0.03248260100467424
11,0.3,29,0.025427787687748817,11,0.14956547666763498,dtw_0,0.1279839428804413,0.08474907263459723
11,0.3,47,0.024785062055710787,11,0.1848712581421312,dtw_0,0.12906054381862714,0.12756229031610106
11,0.3,71,0.025348885916302626,11,0.09932567328141766,dtw_0,0.1263602614029876,0.07114897649003453
11,0.3,101,0.026029691379819257,11,0.39987317457182664,dtw_0,0.14484036462718494,-0.1035259397507139
12,0.3,11,0.02496872413966168,12,0.15385164656852904,dtw_0,0.12558168132879927,0.053581213244147836
12,0.3,29,0.024640937816965844,12,0.1632143911315857,dtw_0,0.12728079018962551,0.08746924098062583
12,0.3,47,0.024530811768286996,12,0.1784890332592003,dtw_0,0.12799572073280208,0.13156515236389646
12,0.3,71,0.024906879609855357,12,0.12079667401526999,dtw_0,0.12524794110769624,0.07028235532931096
12,0.3,101,0.025979062417196958,12,0.40127842781641393,dtw_0,0.1461183919733196,-0.11034710495947597
13,0.3,11,0.02473073690517568,13,0.1587698455237128,dtw_0,0.12750696940726933,0.043869626918985945
13,0.3,29,0.024095630549523593,13,0.16669060523461016,dtw_0,0.1261639922549962,0.07950970668667318
13,0.3,47,0.02388692566974825,13,0.1771607437092565,dtw_0,0.1267944124859638,0.125516149443341
