k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error,norm
16,0.5,0.1,101,50000,4x4,0.0750851973340764,16,0.21543016671122103,0.3623853211009174,minmax
1,0.5,0.3,11,50000,1x1,0.15354617084608074,1,,,maxabs
1,0.5,0.3,29,50000,1x1,0.14773832803280182,1,,,maxabs
1,0.5,0.3,47,50000,1x1,0.13737740585293456,1,,,maxabs
1,0.5,0.3,71,50000,1x1,0.2071003036974539,1,,,maxabs
1,0.5,0.3,101,50000,1x1,0.13730535817205275,1,,,maxabs
2,0.5,0.3,11,50000,1x2,0.10672669774089794,2,0.9047653216122501,0.0,maxabs
2,0.5,0.3,29,50000,1x2,0.11654147532447591,2,0.9047653216122501,0.0,maxabs
2,0.5,0.3,47,50000,1x2,0.10748490291748783,2,0.9047653216122501,0.0,maxabs
2,0.5,0.3,71,50000,1x2,0.10924275913021295,2,0.9047653216122501,0.0,maxabs
2,0.5,0.3,101,50000,1x2,0.1180956842436915,2,0.9047653216122501,0.0,maxabs
3,0.5,0.3,11,50000,1x3,0.07276930362671868,3,0.6334003079687897,0.0,maxabs
3,0.5,0.3,29,50000,1x3,0.06826171533761682,3,0.6216989871801576,0.0,maxabs
3,0.5,0.3,47,50000,1x3,0.0695712756638888,3,0.6356731803216658,0.0,maxabs
3,0.5,0.3,71,50000,1x3,0.06757910463849755,3,0.6334003079687897,0.0,maxabs
3,0.5,0.3,101,50000,1x3,0.06885565814934885,3,0.6272542969412469,0.0,maxabs
4,0.5,0.3,11,50000,2x2,0.0604266643725217,4,0.6007390426824473,0.0,maxabs
4,0.5,0.3,29,50000,2x2,0.05860737266652816,4,0.59270693677106,0.0,maxabs
4,0.5,0.3,47,50000,2x2,0.05936692860189445,4,0.5843165591699235,0.0,maxabs
4,0.5,0.3,71,50000,2x2,0.05923341088626375,4,0.5365339630132713,0.0,maxabs
4,0.5,0.3,101,50000,2x2,0.058803446196461606,4,0.5914119093341166,0.0,maxabs
5,0.5,0.3,11,50000,1x5,0.04826677116092747,5,0.48371503570482216,0.0,maxabs
5,0.5,0.3,29,50000,1x5,0.04813738507248523,5,0.47447872112151845,0.0,maxabs
5,0.5,0.3,47,50000,1x5,0.049121638153244725,5,0.48131869089285606,0.20642201834862386,maxabs
5,0.5,0.3,71,50000,1x5,0.048101199381872274,5,0.47692196967773126,0.21559633027522937,maxabs
5,0.5,0.3,101,50000,1x5,0.04801467274879109,5,0.4698777035298736,0.0,maxabs
6,0.5,0.3,11,50000,2x3,0.048054245059705125,6,0.5098638101656433,0.0,maxabs
6,0.5,0.3,29,50000,2x3,0.04385449629496471,6,0.47217749239745727,0.013761467889908258,maxabs
6,0.5,0.3,47,50000,2x3,0.04499979956997136,6,0.47791518073200057,0.22935779816513763,maxabs
