k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error,check
9,0.5,0.1,29,30000,3x3,0.084153378242259,9,0.25857523566753904,0.044585987261146494,documented_time_without_extreme_scale
9,0.5,0.1,47,30000,3x3,0.08200041284571372,9,0.24126260503192912,0.2229299363057325,documented_time_without_extreme_scale
10,0.5,0.1,11,30000,2x5,0.08123441390213243,10,0.27324022243219953,0.09554140127388536,documented_time_without_extreme_scale
10,0.5,0.1,29,30000,2x5,0.0815369382101518,10,0.2824921460414092,0.3057324840764331,documented_time_without_extreme_scale
10,0.5,0.1,47,30000,2x5,0.08041007042817415,10,0.2721316246635115,0.025477707006369428,documented_time_without_extreme_scale
11,0.5,0.1,11,30000,1x11,0.07897989555497598,11,0.262435485483125,0.6305732484076433,documented_time_without_extreme_scale
11,0.5,0.1,29,30000,1x11,0.07795644428066892,11,0.23371280951560972,0.5732484076433121,documented_time_without_extreme_scale
11,0.5,0.1,47,30000,1x11,0.07914052825965325,11,0.27508779407783834,0.4713375796178344,documented_time_without_extreme_scale
12,0.5,0.1,11,30000,3x4,0.07712965709306573,12,0.2679880326385942,0.2802547770700637,documented_time_without_extreme_scale
12,0.5,0.1,29,30000,3x4,0.07567332697155975,12,0.21376848787457253,0.0,documented_time_without_extreme_scale
12,0.5,0.1,47,30000,3x4,0.0763800701132031,12,0.22534309059978358,0.2229299363057325,documented_time_without_extreme_scale
13,0.5,0.1,11,30000,1x13,0.07364851606393698,13,0.23986159932596146,0.7070063694267515,documented_time_without_extreme_scale
13,0.5,0.1,29,30000,1x13,0.07259414850763352,13,0.21064843692836444,0.47770700636942676,documented_time_without_extreme_scale
13,0.5,0.1,47,30000,1x13,0.07250643332565977,13,0.21797366185456193,0.40764331210191085,documented_time_without_extreme_scale
14,0.5,0.1,11,30000,2x7,0.07193547959505285,14,0.21759584974588092,0.4012738853503185,documented_time_without_extreme_scale
14,0.5,0.1,29,30000,2x7,0.07352903841782388,14,0.245382313936461,0.2802547770700637,documented_time_without_extreme_scale
14,0.5,0.1,47,30000,2x7,0.0715582632222112,14,0.23733387049371774,0.12101910828025478,documented_time_without_extreme_scale
15,0.5,0.1,11,30000,3x5,0.07090392903210219,15,0.22510119449577914,0.24203821656050956,documented_time_without_extreme_scale
15,0.5,0.1,29,30000,3x5,0.07076570817362239,15,0.2300296114073818,0.3630573248407643,documented_time_without_extreme_scale
15,0.5,0.1,47,30000,3x5,0.07039440131318289,15,0.23627227325257752,0.18471337579617833,documented_time_without_extreme_scale
16,0.5,0.1,11,30000,4x4,0.06891859531328128,16,0.23856397534888274,0.35668789808917195,documented_time_without_extreme_scale
16,0.5,0.1,29,30000,4x4,0.06894108659446713,16,0.2256064890354455,0.36942675159235666,documented_time_without_extreme_scale
16,0.5,0.1,47,30000,4x4,0.06914419838070177,16,0.2333675444579262,0.6242038216560509,documented_time_without_extreme_scale
