curve_id,axis_valid,audit_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours
图片15_71b7a17ebf,True,,lab-v2/som_references/accepted/samples_test/图片15/accepted/samples_test__unknown__unknown__图片15__Series_1__Series_1.csv,图片15,samples_test__unknown__unknown__图片15__Series_1__Series_1,Time (h),h,Norm.PCE,,1.0,30,140.1085841109347
图片157_4e9fe149dd,True,,lab-v2/som_references/accepted/samples_test/图片157/accepted/samples_test__unknown__unknown__图片157__NBG_PSCs_with_YbOx__Series_1.csv,图片157,samples_test__unknown__unknown__图片157__NBG_PSCs_with_YbOx__Series_1,Time,(h),PCE,(%),1.0,74,986.6919371072015
图片159_41ff697bee,True,,lab-v2/som_references/accepted/samples_test/图片159/accepted/samples_test__unknown__unknown__图片159__MeO-2PACz__Series_2.csv,图片159,samples_test__unknown__unknown__图片159__MeO-2PACz__Series_2,Time,(hours),Normalized PCE,,1.0,35,479.00324495962485
图片159_c223572492,True,,lab-v2/som_references/accepted/samples_test/图片159/accepted/samples_test__unknown__unknown__图片159__PTAA__Series_1.csv,图片159,samples_test__unknown__unknown__图片159__PTAA__Series_1,Time,(hours),Normalized PCE,,1.0,35,479.00324495962485
图片16_92ce9de464,True,,lab-v2/som_references/accepted/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_1__Series_1.csv,图片16,samples_test__unknown__unknown__图片16__Series_1__Series_1,Time,(h),Maximum output power,(Norm.),1.0,45,629.562024525387
图片16_d266b445b6,True,,lab-v2/som_references/accepted/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_2__Series_2.csv,图片16,samples_test__unknown__unknown__图片16__Series_2__Series_2,Time,(h),Maximum output power,(Norm.),1.0,46,643.8702523555094
图片16_a271af3c1b,True,,lab-v2/som_references/accepted/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_3__Series_3.csv,图片16,samples_test__unknown__unknown__图片16__Series_3__Series_3,Time,(h),Maximum output power,(Norm.),1.0,50,701.1031636759991
图片160_68218de2a7,True,,lab-v2/som_references/accepted/samples_test/图片160/accepted/samples_test__unknown__unknown__图片160__Series_1__Series_1.csv,图片160,samples_test__unknown__unknown__图片160__Series_1__Series_1,Time,hour,Normalized PCE,,1.0,34,975.619819947768
图片160_d690ea710f,True,,lab-v2/som_references/accepted/samples_test/图片160/accepted/samples_test__unknown__unknown__图片160__Series_2__Series_2.csv,图片160,samples_test__unknown__unknown__图片160__Series_2__Series_2,Time,hour,Normalized PCE,,1.0,34,975.619819947768
图片162_d2a80a5e00,True,,lab-v2/som_references/accepted/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_1__Series_1.csv,图片162,samples_test__unknown__unknown__图片162__Series_1__Series_1,Time,(h),Normal. PCE,,1.0,76,1476.4354793422563
图片162_d9ab854a2e,True,,lab-v2/som_references/accepted/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_2__Series_2.csv,图片162,samples_test__unknown__unknown__图片162__Series_2__Series_2,Time,(h),Normal. PCE,,1.0,75,1456.7496729510262
图片162_44a16a7876,True,,lab-v2/som_references/accepted/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_3__Series_3.csv,图片162,samples_test__unknown__unknown__图片162__Series_3__Series_3,Time,(h),Normal. PCE,,1.0,75,1456.7496729510262
图片163_c3cef6f5fd,True,,lab-v2/som_references/accepted/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Control__Series_1.csv,图片163,samples_test__unknown__unknown__图片163__Control__Series_1,Time,(h),SPO,(Normalized),1.0,38,580.9602607474253
图片163_9302500777,True,,lab-v2/som_references/accepted/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Target__Series_2.csv,图片163,samples_test__unknown__unknown__图片163__Target__Series_2,Time,(h),SPO,(Normalized),1.0,91,1413.14658019644
图片165_01ba1b570f,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片165/accepted/samples_test__unknown__unknown__图片165__Series_1__Series_1.csv,图片165,samples_test__unknown__unknown__图片165__Series_1__Series_1,,,PCE,(a.u.),,32,
图片166_5723602de9,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片166/accepted/samples_test__unknown__unknown__图片166__Series_1__Series_1.csv,图片166,samples_test__unknown__unknown__图片166__Series_1__Series_1,,,PCE,(%),,32,
图片168_802b07ce7d,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片168/accepted/samples_test__unknown__unknown__图片168__Series_1__Series_1.csv,图片168,samples_test__unknown__unknown__图片168__Series_1__Series_1,,,,,,31,
图片17_9cc1fbc4c1,True,,lab-v2/som_references/accepted/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_1__Series_1.csv,图片17,samples_test__unknown__unknown__图片17__Series_1__Series_1,Time,(h),Stabilized output power,(Norm.),1.0,50,1131.1470929831216
图片17_b497897586,True,,lab-v2/som_references/accepted/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_2__Series_2.csv,图片17,samples_test__unknown__unknown__图片17__Series_2__Series_2,Time,(h),Stabilized output power,(Norm.),1.0,51,1154.2317275337978
图片171_25f7b9ba11,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片171/accepted/samples_test__unknown__unknown__图片171__Series_1__Series_1.csv,图片171,samples_test__unknown__unknown__图片171__Series_1__Series_1,,,,,,25,
图片171_18254ce7dd,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片171/accepted/samples_test__unknown__unknown__图片171__Series_2__Series_2.csv,图片171,samples_test__unknown__unknown__图片171__Series_2__Series_2,,,,,,101,
图片172_7ed83eec00,True,,lab-v2/som_references/accepted/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_1__Series_1.csv,图片172,samples_test__unknown__unknown__图片172__Series_1__Series_1,Time (h),(h),PCE (Norm.),(Norm.),1.0,42,160.90196423120835
图片172_00449ea194,True,,lab-v2/som_references/accepted/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_2__Series_2.csv,图片172,samples_test__unknown__unknown__图片172__Series_2__Series_2,Time (h),(h),PCE (Norm.),(Norm.),1.0,43,164.82640238318905
图片172_1500c740de,True,,lab-v2/som_references/accepted/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_3__Series_3.csv,图片172,samples_test__unknown__unknown__图片172__Series_3__Series_3,Time (h),(h),PCE (Norm.),(Norm.),1.0,66,255.08847987874492
图片175_5c5c4c8b1c,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片175/accepted/samples_test__unknown__unknown__图片175__Series_1__Series_1.csv,图片175,samples_test__unknown__unknown__图片175__Series_1__Series_1,,,Normalized PCE,,,43,
图片175_1e0feec90c,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片175/accepted/samples_test__unknown__unknown__图片175__Series_2__Series_2.csv,图片175,samples_test__unknown__unknown__图片175__Series_2__Series_2,,,Normalized PCE,,,15,
图片180_b28007d4ae,True,,lab-v2/som_references/accepted/samples_test/图片180/accepted/samples_test__unknown__unknown__图片180__Ctrl__Series_1.csv,图片180,samples_test__unknown__unknown__图片180__Ctrl__Series_1,Time,(h),Normalized PCE,,1.0,30,198.3849646963697
图片180_d5cbad9ce6,True,,lab-v2/som_references/accepted/samples_test/图片180/accepted/samples_test__unknown__unknown__图片180__Target__Series_2.csv,图片180,samples_test__unknown__unknown__图片180__Target__Series_2,Time,(h),Normalized PCE,,1.0,59,396.76992939273947
图片181_bbb32f8ae8,True,,lab-v2/som_references/accepted/samples_test/图片181/accepted/samples_test__unknown__unknown__图片181__SnO2-SSSO__Series_2.csv,图片181,samples_test__unknown__unknown__图片181__SnO2-SSSO__Series_2,UV Exposure Time,(hours),Normalized PCE,,1.0,36,27.748780763058747
图片181_cc34bace05,True,,lab-v2/som_references/accepted/samples_test/图片181/accepted/samples_test__unknown__unknown__图片181__SnO2__Series_1.csv,图片181,samples_test__unknown__unknown__图片181__SnO2__Series_1,UV Exposure Time,(hours),Normalized PCE,,1.0,36,27.748780763058747
图片183_dc8e592d8b,True,,lab-v2/som_references/accepted/samples_test/图片183/accepted/samples_test__unknown__unknown__图片183__Series_1__Series_1.csv,图片183,samples_test__unknown__unknown__图片183__Series_1__Series_1,Time,h,Normalized PCE,,1.0,34,158.45954212236788
图片183_3ad46164c8,True,,lab-v2/som_references/accepted/samples_test/图片183/accepted/samples_test__unknown__unknown__图片183__Series_2__Series_2.csv,图片183,samples_test__unknown__unknown__图片183__Series_2__Series_2,Time,h,Normalized PCE,,1.0,34,158.45954212236785
