curve_id,axis_valid,audit_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours
图片6_54ad41d28d,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_4__Series_4.csv,图片6,samples_test__unknown__unknown__图片6__Series_4__Series_4,Cycle (numbers),(numbers),Normalized PCE,,,63,
图片60_816c533967,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_1__Series_1.csv,图片60,samples_test__unknown__unknown__图片60__Series_1__Series_1,,,,,,43,
图片60_d59f3ce573,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_2__Series_2.csv,图片60,samples_test__unknown__unknown__图片60__Series_2__Series_2,,,,,,17,
图片60_3898888a90,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_3__Series_3.csv,图片60,samples_test__unknown__unknown__图片60__Series_3__Series_3,,,,,,52,
图片60_2ea5c1ecd1,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_4__Series_4.csv,图片60,samples_test__unknown__unknown__图片60__Series_4__Series_4,,,,,,56,
图片64_6b95ea0fa8,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片64/accepted/samples_test__unknown__unknown__图片64__Series_1__Series_1.csv,图片64,samples_test__unknown__unknown__图片64__Series_1__Series_1,,,,,,100,
图片64_840a3f4a83,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片64/accepted/samples_test__unknown__unknown__图片64__Series_2__Series_2.csv,图片64,samples_test__unknown__unknown__图片64__Series_2__Series_2,,,,,,25,
图片65_d5a5bfe761,False,y_axis_not_pce_efficiency_or_power,lab-v2/som_references/accepted/samples_test/图片65/accepted/samples_test__unknown__unknown__图片65__Series_1__Series_1.csv,图片65,samples_test__unknown__unknown__图片65__Series_1__Series_1,Time,h,,,,105,
图片65_196eb738ee,False,y_axis_not_pce_efficiency_or_power,lab-v2/som_references/accepted/samples_test/图片65/accepted/samples_test__unknown__unknown__图片65__Series_2__Series_2.csv,图片65,samples_test__unknown__unknown__图片65__Series_2__Series_2,Time,h,,,,28,
图片8_7b77b8fefa,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片8/accepted/samples_test__unknown__unknown__图片8__EtCz3EPA_PTAA_BCP__Series_3.csv,图片8,samples_test__unknown__unknown__图片8__EtCz3EPA_PTAA_BCP__Series_3,Cycles,,Efficiency,%,,51,
图片8_f1615b40a8,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片8/accepted/samples_test__unknown__unknown__图片8__EtCz3EPA__Series_2.csv,图片8,samples_test__unknown__unknown__图片8__EtCz3EPA__Series_2,Cycles,,Efficiency,%,,52,
图片8_c4c9fdbce7,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片8/accepted/samples_test__unknown__unknown__图片8__PTAA_BCP__Series_1.csv,图片8,samples_test__unknown__unknown__图片8__PTAA_BCP__Series_1,Cycles,,Efficiency,%,,52,
图片9_2733c50df4,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片9/accepted/samples_test__unknown__unknown__图片9__Control__Series_1.csv,图片9,samples_test__unknown__unknown__图片9__Control__Series_1,Number of temperature cycles,,Normalized PCE,,,47,
图片9_7b0da2ffe9,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片9/accepted/samples_test__unknown__unknown__图片9__DMPESI__Series_2.csv,图片9,samples_test__unknown__unknown__图片9__DMPESI__Series_2,Number of temperature cycles,,Normalized PCE,,,47,
图片92_b8c7af2ebb,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片92/accepted/samples_test__unknown__unknown__图片92__Series_1__Series_1.csv,图片92,samples_test__unknown__unknown__图片92__Series_1__Series_1,HF Cycle,,Normalized PCE,(a.u.),,33,
图片92_df4b7b39b6,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片92/accepted/samples_test__unknown__unknown__图片92__Series_2__Series_2.csv,图片92,samples_test__unknown__unknown__图片92__Series_2__Series_2,HF Cycle,,Normalized PCE,(a.u.),,29,
