id_a,id_b,cluster,DTW
C100,C034,1,0.8352594725308035
C100,C035,1,0.8017047222546516
C100,C036,1,0.8191551061102159
C100,C037,1,0.6738727655891444
C100,C038,1,0.745327462438819
C100,C045,1,0.7420633047907954
C100,C046,1,0.68979994308415
C100,C047,1,0.6880331156738936
C100,C050,1,0.7767272028455904
C100,C051,1,0.5676601028931416
C100,C052,1,0.8359765081179059
C100,C053,1,0.8908460322565254
C100,C056,1,0.709705677963651
C100,C057,1,0.8113984191023442
C100,C061,1,0.6771209362544129
C100,C062,1,0.7515986392118158
C100,C063,1,0.7956596847265401
C100,C064,1,0.8015786747662089
C100,C065,1,0.7434266891568009
C100,C086,1,0.8221137839674801
C100,C087,1,0.7666058356199343
C100,C091,1,0.8221633523086918
C100,C092,1,0.7558247372226659
C100,C093,1,0.89359577846158
C100,C095,1,0.774769421855815
C100,C099,1,0.1304587736124225
C103,C005,1,0.1896479457787481
C103,C006,1,0.1493653938712402
C103,C007,1,0.25351345564204214
C103,C008,1,0.44260865592758764
C103,C009,1,0.30177739489428446
C103,C010,1,0.3495380439169607
C103,C014,1,0.17573456027759424
C103,C015,1,0.26858718691814526
C103,C016,1,0.8089274334733761
C103,C017,1,0.3367765109593069
C103,C018,1,0.34851821586006904
C103,C019,1,0.34732865201635255
C103,C025,1,0.2188441509449751
C103,C028,1,0.20507437578480758
C103,C030,1,0.18671454346523234
C103,C031,1,0.292531524519826
C103,C034,1,0.3625002433826347
C103,C035,1,0.34242119728285336
C103,C036,1,0.47257389386426374
C103,C037,1,0.22949733915170603
C103,C038,1,0.1534352968963563
C103,C045,1,0.18326152583320326
C103,C046,1,0.31760284284076507
C103,C047,1,0.4055394168191621
C103,C050,1,0.21329986294082376
C103,C051,1,0.6089597654318509
C103,C052,1,0.2827211316766068
C103,C053,1,0.35740544539806574
C103,C056,1,0.20159082881907825
C103,C057,1,0.17809762792315736
C103,C061,1,0.22642985435426416
C103,C062,1,0.17410653399194012
C103,C063,1,0.14520461001367718
C103,C064,1,0.16371504639006904
C103,C065,1,0.20287077421349142
C103,C086,1,0.19666540919344336
C103,C087,1,0.2908081555629837
C103,C091,1,0.3263079544297526
C103,C092,1,0.14371768137414978
C103,C093,1,0.2665057832136445
C103,C095,1,0.13825891580091573
C103,C099,1,0.7216791650815569
C103,C100,1,0.7592940639501584
C104,C005,1,0.37770045317364803
C104,C006,1,0.3823104600203495
C104,C007,1,0.1509315787862014
C104,C008,1,0.40547943747281256
C104,C009,1,0.6050675906791853
C104,C010,1,0.582049608921951
C104,C014,1,0.2209310918062933
C104,C015,1,0.5059407999568519
C104,C016,1,0.8300103170388348
C104,C017,1,0.16846352841900442
C104,C018,1,0.6297749811157636
C104,C019,1,0.6049021793079271
C104,C025,1,0.23913025017267436
C104,C028,1,0.18078954175310946
C104,C030,1,0.3639934143763364
C104,C031,1,0.23296359353217747
C104,C034,1,0.594455922334112
C104,C035,1,0.5108195134577221
C104,C036,1,0.7179058494881383
C104,C037,1,0.25303752750068603
C104,C038,1,0.2786828650094836
C104,C045,1,0.2883515214719706
C104,C046,1,0.22451539710082552
C104,C047,1,0.33563678723231455
C104,C050,1,0.31713086832339715
C104,C051,1,0.41110697301749766
C104,C052,1,0.4150657771640168
C104,C053,1,0.5693629539368501
C104,C056,1,0.2710249177016884
C104,C057,1,0.3932624162835177
C104,C061,1,0.15001323157152788
