K,mode,replicate,ARI
5,bootstrap90,26,0.6526124799022734
6,bootstrap90,26,0.656233051832339
7,bootstrap90,26,0.5453927015338765
8,bootstrap90,26,0.8621037886438414
9,bootstrap90,26,0.9935787546851846
10,bootstrap90,26,0.9935838037011678
2,bootstrap90,27,1.0
3,bootstrap90,27,0.7475658091949684
4,bootstrap90,27,1.0
5,bootstrap90,27,0.8632174019909057
6,bootstrap90,27,0.8555416041405077
7,bootstrap90,27,0.6968047026370234
8,bootstrap90,27,0.8815377738042021
9,bootstrap90,27,0.9882914726574449
10,bootstrap90,27,0.9417877661372085
2,bootstrap90,28,1.0
3,bootstrap90,28,1.0
4,bootstrap90,28,1.0
5,bootstrap90,28,0.916843432703098
6,bootstrap90,28,0.8565391390498429
7,bootstrap90,28,0.74792252415023
8,bootstrap90,28,0.8767525520936182
9,bootstrap90,28,0.9395124335553248
10,bootstrap90,28,0.9395835760531265
2,bootstrap90,29,1.0
3,bootstrap90,29,0.8712051039205687
4,bootstrap90,29,0.9929092011669974
5,bootstrap90,29,0.9882186429463389
6,bootstrap90,29,0.6041669357651223
7,bootstrap90,29,0.5064837225704073
8,bootstrap90,29,0.8683896964838926
9,bootstrap90,29,0.9928935467662049
10,bootstrap90,29,0.9914750710410747
2,bootstrap90,30,1.0
3,bootstrap90,30,0.36648064710917644
4,bootstrap90,30,1.0
5,bootstrap90,30,1.0
6,bootstrap90,30,0.7259266682533916
7,bootstrap90,30,0.7225022957701606
8,bootstrap90,30,0.9193899193493914
9,bootstrap90,30,0.7017997990072175
10,bootstrap90,30,0.6962817015965614
2,bootstrap90,31,1.0
3,bootstrap90,31,1.0
4,bootstrap90,31,0.8915601023017903
5,bootstrap90,31,0.9936504133221516
6,bootstrap90,31,0.7497433791829193
7,bootstrap90,31,0.6903978852938724
8,bootstrap90,31,0.926230996295076
9,bootstrap90,31,0.9937367875103402
10,bootstrap90,31,0.5444448374659545
2,bootstrap90,32,1.0
3,bootstrap90,32,1.0
4,bootstrap90,32,1.0
5,bootstrap90,32,0.9956761437980276
6,bootstrap90,32,0.8252968769809407
7,bootstrap90,32,0.5828830611043447
8,bootstrap90,32,0.8681879871350215
9,bootstrap90,32,0.9939519093400866
10,bootstrap90,32,0.9939555571151603
2,bootstrap90,33,1.0
3,bootstrap90,33,1.0
4,bootstrap90,33,0.6636099724648334
5,bootstrap90,33,0.5998260542101157
6,bootstrap90,33,0.5869673476020486
7,bootstrap90,33,0.5905746669317956
8,bootstrap90,33,0.8725757254870458
9,bootstrap90,33,0.933432770629754
10,bootstrap90,33,0.9309100534997771
2,bootstrap90,34,1.0
3,bootstrap90,34,0.767917800704686
4,bootstrap90,34,0.8862318517362118
5,bootstrap90,34,0.6835448485396198
6,bootstrap90,34,0.6863826174939763
7,bootstrap90,34,0.6918557622717016
8,bootstrap90,34,0.9911154529580541
9,bootstrap90,34,0.9247779879802589
10,bootstrap90,34,0.40061275618606074
2,bootstrap90,35,1.0
3,bootstrap90,35,1.0
4,bootstrap90,35,1.0
5,bootstrap90,35,0.9925150080861621
6,bootstrap90,35,0.9944182365668647
7,bootstrap90,35,0.9228529445988402
8,bootstrap90,35,0.9286514075755673
9,bootstrap90,35,0.7653474406767427
10,bootstrap90,35,0.7656203121620396
2,bootstrap90,36,0.8564767768545639
3,bootstrap90,36,0.8006034840351519
4,bootstrap90,36,0.807729199002459
5,bootstrap90,36,0.8261839805480848
6,bootstrap90,36,0.8291264968967801
7,bootstrap90,36,0.8395782561062473
8,bootstrap90,36,0.8622885325477558
9,bootstrap90,36,0.9357766268311595
10,bootstrap90,36,0.9358569810478392
2,bootstrap90,37,1.0
3,bootstrap90,37,0.6800374201624682
4,bootstrap90,37,1.0
5,bootstrap90,37,0.915286190870417
6,bootstrap90,37,0.660286065455815
7,bootstrap90,37,0.6614696347423779
8,bootstrap90,37,0.9325719242446148
9,bootstrap90,37,0.9312269311640038
10,bootstrap90,37,0.5873244434598714
2,bootstrap90,38,1.0
3,bootstrap90,38,0.8353065128788089
4,bootstrap90,38,0.7155613649360475
5,bootstrap90,38,0.7184401688426426
6,bootstrap90,38,0.7240843031050571
7,bootstrap90,38,0.5971198767037519
8,bootstrap90,38,0.8509328794637455
9,bootstrap90,38,0.9926076688235633
10,bootstrap90,38,0.995569161363087
2,bootstrap90,39,1.0
3,bootstrap90,39,0.8708481375674825
4,bootstrap90,39,0.9927413832458343
5,bootstrap90,39,0.6551466666666667
6,bootstrap90,39,0.5472800839202757
7,bootstrap90,39,0.5436835198600249
8,bootstrap90,39,0.8576404262227338
9,bootstrap90,39,0.9894405950457131
10,bootstrap90,39,0.7274112642072512
2,bootstrap90,40,1.0
3,bootstrap90,40,0.7516253977036934
4,bootstrap90,40,0.8340245715627201
5,bootstrap90,40,0.8532623537593808
6,bootstrap90,40,0.8554072785584215
7,bootstrap90,40,0.7479482342197282
8,bootstrap90,40,0.882635094820829
9,bootstrap90,40,0.9947909782092519
10,bootstrap90,40,0.9986993682645856
2,bootstrap90,41,0.6454154727793696
3,bootstrap90,41,0.8286345525615122
4,bootstrap90,41,0.8628255306337498
5,bootstrap90,41,0.7661667726920581
6,bootstrap90,41,0.7191944048698355
7,bootstrap90,41,0.7214658534534613
8,bootstrap90,41,0.8272969542205165
9,bootstrap90,41,0.9243794599070546
10,bootstrap90,41,0.9227935686196426
2,bootstrap90,42,1.0
3,bootstrap90,42,1.0
4,bootstrap90,42,0.9910064239828694
5,bootstrap90,42,0.8341884702581046
6,bootstrap90,42,0.8369881622355909
7,bootstrap90,42,0.8394862063220516
8,bootstrap90,42,0.9939151669039981
9,bootstrap90,42,0.9908844622727541
10,bootstrap90,42,0.41059120153515627
2,bootstrap90,43,1.0
3,bootstrap90,43,0.8389619393900306
4,bootstrap90,43,0.8711459116014817
5,bootstrap90,43,0.7657721494455447
6,bootstrap90,43,0.7614842588662682
7,bootstrap90,43,0.4954193935876166
8,bootstrap90,43,0.5958966340566696
9,bootstrap90,43,0.5320276106669684
10,bootstrap90,43,0.5283117878104904
2,bootstrap90,44,1.0
3,bootstrap90,44,0.8334313149127964
4,bootstrap90,44,0.6004132765078135
5,bootstrap90,44,0.5368688703232837
6,bootstrap90,44,0.5403087266187718
7,bootstrap90,44,0.5534859262129473
8,bootstrap90,44,0.8519362186788155
9,bootstrap90,44,0.9235241193162157
10,bootstrap90,44,0.3700687120582688
2,bootstrap90,45,1.0
3,bootstrap90,45,0.8692645374276953
4,bootstrap90,45,0.8613939805385834
5,bootstrap90,45,0.6498544304989071
6,bootstrap90,45,0.5876406851433561
7,bootstrap90,45,0.5898696219667819
8,bootstrap90,45,0.504456063739174
9,bootstrap90,45,0.558648161774034
10,bootstrap90,45,0.5559377717163985
2,bootstrap90,46,1.0
3,bootstrap90,46,1.0
4,bootstrap90,46,1.0
5,bootstrap90,46,0.8283551116190416
6,bootstrap90,46,0.8253512721962021
7,bootstrap90,46,0.5089588682436321
8,bootstrap90,46,0.5080434370905154
9,bootstrap90,46,0.6448675583216738
10,bootstrap90,46,0.6465226694550247
2,bootstrap90,47,1.0
3,bootstrap90,47,0.718081501655862
4,bootstrap90,47,0.7184432382492205
5,bootstrap90,47,0.7151084661163372
6,bootstrap90,47,0.7165883656086475
7,bootstrap90,47,0.6519825377926904
8,bootstrap90,47,0.9164270227379551
9,bootstrap90,47,0.37363871660887826
10,bootstrap90,47,0.3762726762214029
2,bootstrap90,48,1.0
3,bootstrap90,48,1.0
4,bootstrap90,48,1.0
5,bootstrap90,48,0.9009411089449881
6,bootstrap90,48,0.9927634809536229
7,bootstrap90,48,1.0
8,bootstrap90,48,0.8429657680401527
9,bootstrap90,48,0.8741164455025056
10,bootstrap90,48,1.0
2,bootstrap90,49,1.0
3,bootstrap90,49,0.6220396326727888
4,bootstrap90,49,0.7401441756353048
