candidate,distance_key,window,T_h,n,effective_coverage,normalization,mode,lambda_value,radius,linkage,K,silhouette,dunn,min_cluster,max_fraction,eligible_structure,internal_score,bootstrap90,bootstrap95,drop05,drop10,stability_mean,stability_worst,warp_mean_time,warp_p95_max_time,turn_collapse_mean,selection_score,extreme_warp
M021331,coverage060_z_multivariate_l2_r0.2,coverage060,605.7960715706885,80,0.5970149253731343,z,multivariate,2.0,0.2,average,2,0.6235579793902819,0.47268333542881447,6,0.925,True,0.8742008377425045,0.7506774705851457,0.7804099226935237,0.8330818301325346,0.8221227262412427,0.7965729874131118,0.7506774705851457,0.07457945728458297,0.23274371023178636,0.040170940170940174,0.6773334424132061,False
M001162,coverage100_ymax_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,ymax,classic,0.0,0.05,average,2,0.7437534815202869,0.6248077365298044,3,0.896551724137931,True,0.9832727072310405,0.8698745879267435,0.8681513925735773,1.0,1.0,0.9345064951250802,0.8681513925735773,0.08034830841483373,0.2683146903537159,0.0,0.6743054888712243,False
M001486,coverage100_ymax_multivariate_l0.25_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,ymax,multivariate,0.25,0.05,average,2,0.743538031742017,0.625166678301529,3,0.896551724137931,True,0.9826113315696648,0.8698745879267435,0.8681513925735773,1.0,1.0,0.9345064951250802,0.8681513925735773,0.08034830841483373,0.2683146903537159,0.05802469135802469,0.6742921509243056,False
M001648,coverage100_ymax_multivariate_l0.5_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,ymax,multivariate,0.5,0.05,average,2,0.7429050688103103,0.6262372802441565,3,0.896551724137931,True,0.9818397266313933,0.8698745879267435,0.8681513925735773,1.0,1.0,0.9345064951250802,0.8681513925735773,0.08034830841483373,0.2683146903537159,0.05802469135802469,0.6742535390618842,False
M002134,coverage100_ymax_multivariate_l4_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,ymax,multivariate,4.0,0.05,average,2,0.707366730293005,0.5923426275712104,3,0.896551724137931,True,0.9502039241622575,0.8976359794081461,0.8806865348703627,0.9919757182183949,1.0,0.942574558124226,0.8806865348703627,0.08100038030732179,0.2683146903537159,0.05802469135802469,0.6740127334846849,False
M020341,coverage060_ymax_multivariate_l4_r0.15,coverage060,605.7960715706885,80,0.5970149253731343,ymax,multivariate,4.0,0.15,complete,2,0.6615222384440166,0.10995315639971237,17,0.7875,True,0.7949735449735449,0.8251374138934306,0.7795478686080053,0.8458927829163434,0.839768378186948,0.8225866109011819,0.7795478686080053,0.082380284280411,0.1947688715096714,0.09143495393495393,0.6713198567154206,False
M001972,coverage100_ymax_multivariate_l2_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,ymax,multivariate,2.0,0.05,average,2,0.7321749474473511,0.630502188443129,3,0.896551724137931,True,0.9690531305114638,0.8698745879267435,0.856223141452501,1.0,1.0,0.9315244323448111,0.856223141452501,0.08006973227088583,0.2683146903537159,0.05802469135802469,0.6677611199394612,False
M000352,coverage100_y0_multivariate_l0.25_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,multivariate,0.25,0.05,average,2,0.7328461100278238,0.567300378474881,3,0.896551724137931,True,0.9576444003527337,0.860305719040951,0.8803171176206582,0.9928896672504379,0.9928896672504378,0.9316005427906213,0.860305719040951,0.07806373811514525,0.2683146903537159,0.03333333333333333,0.6676101930659148,False
M020521,coverage060_z_classic_l0_r0.2,coverage060,605.7960715706885,80,0.5970149253731343,z,classic,0.0,0.2,average,2,0.6239070952421601,0.470121333894986,5,0.9375,True,0.8754684744268078,0.7054249802562634,0.725174273465153,0.8912661927859168,0.8264026111099563,0.7870670144043224,0.7054249802562634,0.0745698945900879,0.23274371023178636,0.0,0.6568970377998044,False
M021169,coverage060_z_multivariate_l1_r0.2,coverage060,605.7960715706885,80,0.5970149253731343,z,multivariate,1.0,0.2,average,2,0.6236699110946108,0.4707639676904491,5,0.9375,True,0.8743110670194003,0.7054249802562634,0.725174273465153,0.8934802555076422,0.8327475438258395,0.7892067632637244,0.7054249802562634,0.07575236152631201,0.23551552083451088,0.057264957264957256,0.6566606176666068,False
M020845,coverage060_z_multivariate_l0.25_r0.2,coverage060,605.7960715706885,80,0.5970149253731343,z,multivariate,0.25,0.2,average,2,0.623898007752668,0.47016154042661273,5,0.9375,True,0.8754133597883598,0.7054249802562634,0.725174273465153,0.8912661927859168,0.8264026111099563,0.7870670144043224,0.7054249802562634,0.07576217049730456,0.23551552083451088,0.057264957264957256,0.6566593069624165,False
M021007,coverage060_z_multivariate_l0.5_r0.2,coverage060,605.7960715706885,80,0.5970149253731343,z,multivariate,0.5,0.2,average,2,0.6238563457513003,0.4702821264474124,5,0.9375,True,0.8753582451499118,0.7054249802562634,0.725174273465153,0.8912661927859168,0.8424881211336043,0.7910883919102344,0.7054249802562634,0.07585117933760593,0.23551552083451088,0.057264957264957256,0.6566418761213413,False
M028522,coverage040_ymax_derivative_l1_r0.02,coverage040,989.9325475330141,54,0.40298507462686567,ymax,derivative,1.0,0.02,complete,2,0.5971448315260043,0.23894626937608623,11,0.7962962962962963,True,0.779403659611993,0.8108244493856864,0.793001690231103,0.9502051123183307,0.9564498475813563,0.8776202748791191,0.793001690231103,0.028909515941973475,0.10606805497166252,0.033386752136752136,0.6505952258376818,False
M027541,coverage040_y0_multivariate_l0.25_r0.02,coverage040,989.9325475330141,54,0.40298507462686567,y0,multivariate,0.25,0.02,average,2,0.7088953799776775,0.16831475340417568,14,0.7407407407407407,True,0.8090553350970019,0.8922061742378454,0.7676795978896161,1.0,0.9938294814882613,0.9134288134039308,0.7676795978896161,0.031042123670032395,0.08879611721412621,0.056059218559218554,0.6478629591407873,False
M015670,coverage070_ymax_multivariate_l2_r0.2,coverage070,399.4283373072515,91,0.6791044776119403,ymax,multivariate,2.0,0.2,complete,2,0.6713159726891587,0.11480019992404174,14,0.8461538461538461,True,0.8188932980599648,0.73207775976251,0.6979032187541927,0.8083503984873276,0.8009877149362273,0.7598297729850644,0.6979032187541927,0.10710694603316208,0.2963458270438792,0.07281968967362226,0.6476682786947326,False
