variant_id,setting_id,k,seed_ari,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,occupied_nodes_median,empty_nodes_median,min_cluster_fraction_median,minimum_center_rmse_median,median_within_rmse_median,center_separation_ratio_median,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction
w0300_coverage_z_level,sigma0.2_lr0.3_random,2,0.9526195585335837,2.292032657498978,0.2865040821873723,0.0,0.7349264418590369,2.0,0.0,0.0559748427672956,1.3716106693779748,0.21199879459974047,6.596297742801712,0.2,0.3,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.3_random,3,0.3755753693863775,1.9535293342816986,0.24419116678521233,0.01761006289308176,0.34540752091274113,3.0,0.0,0.04654088050314465,0.3872959215539748,0.18250019111700572,2.122167210792382,0.2,0.3,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.3_random,4,0.5755206061311267,1.83546408753777,0.22943301094222124,0.0,0.3566459568800117,4.0,0.0,0.03459119496855346,0.4110046489428206,0.18446705283910064,2.310777810006133,0.2,0.3,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.3_random,5,0.5941171895296959,1.7158089371745546,0.21447611714681933,0.5723270440251572,0.3459405617716155,5.0,0.0,0.023270440251572325,0.387393942611372,0.17436791621950676,2.221704261932403,0.2,0.3,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.3_random,6,0.565930491245458,1.6038667533649447,0.20048334417061808,0.0830188679245283,0.304955130510717,6.0,0.0,0.022641509433962263,0.3000964953604406,0.15879800496384872,1.8816076249711937,0.2,0.3,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.3_random,7,0.7568430176811995,1.519723572967031,0.18996544662087889,0.6610062893081761,0.2721399618621019,7.0,0.0,0.016981132075471698,0.24645581993209903,0.14152403289526821,1.7413188790694079,0.2,0.3,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.3_random,8,0.4297420638181016,1.5034132424796594,0.18792665530995742,0.5672955974842767,0.2793623258732302,8.0,0.0,0.009433962264150943,0.2422291558014378,0.14446641782329345,1.6456149033149918,0.2,0.3,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.5_sequential,2,1.0,2.354220883175536,0.294277610396942,0.0,0.7386025147570301,2.0,0.0,0.052830188679245285,1.5372891252599405,0.2177342316717258,7.060392449316949,0.2,0.5,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.5_sequential,3,1.0,2.040651636502866,0.25508145456285825,0.008176100628930818,0.31821038472168595,3.0,0.0,0.045283018867924525,0.42941479668035243,0.19888940192195131,2.1590632408191635,0.2,0.5,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.5_sequential,4,1.0,1.9330137674782482,0.24162672093478102,0.0,0.3155352131592259,4.0,0.0,0.023270440251572325,0.42786424177880555,0.1966249771118975,2.1760421695211987,0.2,0.5,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.5_sequential,5,1.0,1.716873979413408,0.214609247426676,0.6874213836477987,0.33408181070267723,5.0,0.0,0.022641509433962263,0.33640952670920504,0.1663923730026683,2.0217845363728815,0.2,0.5,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.5_sequential,6,1.0,1.720599971494553,0.21507499643681913,0.018238993710691823,0.33600382468289963,6.0,0.0,0.010691823899371069,0.3704026184762854,0.18125490433124963,2.043545358625542,0.2,0.5,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.5_sequential,7,0.7150340559496198,1.6395793925102449,0.2049474240637806,0.4880503144654088,0.2610730304809936,7.0,0.0,0.011320754716981131,0.30289582666632997,0.16505071636611968,1.8351682036484083,0.2,0.5,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.5_sequential,8,0.9374216454252141,1.6019145473479048,0.2002393184184881,0.6987421383647798,0.2723373773050787,8.0,0.0,0.010062893081761006,0.30782255566251465,0.15958710428088946,1.9287992800587455,0.2,0.5,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.5_random,2,0.9366569899606373,2.334111979038281,0.29176399737978514,0.0,0.7338363168866877,2.0,0.0,0.05660377358490566,1.3384386205900116,0.21632082426748495,6.439611865356391,0.2,0.5,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.5_random,3,0.26219455657349905,1.9699258353539135,0.2462407294192392,0.008176100628930818,0.35168731535754105,3.0,0.0,0.04591194968553459,0.3909066453082878,0.18625965904063585,2.0987187849458366,0.2,0.5,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.5_random,4,0.40574512692246945,1.9056942281780063,0.23821177852225078,0.0,0.35284692917960814,4.0,0.0,0.02830188679245283,0.45822925365662975,0.2012428486271029,2.2969013760959136,0.2,0.5,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.5_random,5,0.37502910769790315,1.768955031392741,0.2211193789240926,0.7,0.3523863407190473,5.0,0.0,0.0220125786163522,0.42204476021408155,0.18248702675526557,2.3480204533025515,0.2,0.5,True,300,coverage,z_level,1590,64,0.7557034220532319
