quantization_error,qe_per_sqrt_dimension,topographic_error,silhouette,occupied_nodes,empty_nodes,min_cluster_size,min_cluster_fraction,median_within_rmse,minimum_center_rmse,center_separation_ratio,cluster_sizes,variant_id,setting_id,k,seed,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction
1.1809162824575985,0.08589901990107614,0.8962264150943396,0.04683470036027229,7,0,33,0.020754716981132074,0.08350452995506277,0.05534284718362251,0.6627526340516139,59;110;425;33;147;185;631,w0300_coverage_z_level_d1_d2,sigma0.5_lr0.5_sequential,7,11,0.5,0.5,False,300,coverage,z_level_d1_d2,1590,189,0.7557034220532319
1.176892951853252,0.085606365662342,0.8018867924528302,0.03259205553286645,7,0,65,0.040880503144654086,0.08237034561682766,0.0494814907680419,0.6007197177200198,431;123;171;65;287;403;110,w0300_coverage_z_level_d1_d2,sigma0.5_lr0.5_sequential,7,37,0.5,0.5,False,300,coverage,z_level_d1_d2,1590,189,0.7557034220532319
1.176780549523058,0.08559818959589116,0.40125786163522015,0.040727628455243546,7,0,63,0.03962264150943396,0.08294087561940817,0.051310065170032414,0.6186342353661771,114;489;105;63;97;469;253,w0300_coverage_z_level_d1_d2,sigma0.5_lr0.5_sequential,7,71,0.5,0.5,False,300,coverage,z_level_d1_d2,1590,189,0.7557034220532319
1.165910631066799,0.08480751937170379,0.27358490566037735,0.037261426593091694,8,0,32,0.02012578616352201,0.08224068758255104,0.054687271968781065,0.6649661326484223,32;158;489;52;252;88;95;424,w0300_coverage_z_level_d1_d2,sigma0.5_lr0.5_sequential,8,11,0.5,0.5,False,300,coverage,z_level_d1_d2,1590,189,0.7557034220532319
1.1728913589927992,0.08531529261181153,0.3389937106918239,0.03308057256957486,8,0,55,0.03459119496855346,0.08255512689429143,0.05144129421146787,0.6231144708518623,191;65;357;97;209;476;140;55,w0300_coverage_z_level_d1_d2,sigma0.5_lr0.5_sequential,8,37,0.5,0.5,False,300,coverage,z_level_d1_d2,1590,189,0.7557034220532319
1.163623927917813,0.08464118619278121,0.5150943396226415,0.030189560364567748,8,0,33,0.020754716981132074,0.08181093708820811,0.04530611454479815,0.5537904363006568,152;93;224;282;395;360;51;33,w0300_coverage_z_level_d1_d2,sigma0.5_lr0.5_sequential,8,71,0.5,0.5,False,300,coverage,z_level_d1_d2,1590,189,0.7557034220532319
1.2734198377781654,0.09262766346153697,0.0,0.29464501246780417,2,0,131,0.08238993710691823,0.08857480580477783,0.1152795377901096,1.3014935425643326,1459;131,w0300_coverage_z_level_d1_d2,sigma0.5_lr0.5_random,2,11,0.5,0.5,True,300,coverage,z_level_d1_d2,1590,189,0.7557034220532319
1.2880203171425315,0.09368969206264567,0.0,0.269953219645015,2,0,154,0.09685534591194969,0.08988377096314969,0.13195848918322364,1.4681013910270357,154;1436,w0300_coverage_z_level_d1_d2,sigma0.5_lr0.5_random,2,37,0.5,0.5,True,300,coverage,z_level_d1_d2,1590,189,0.7557034220532319
1.2774567379514208,0.09292130474117068,0.0,0.3242654075538405,2,0,104,0.06540880503144654,0.08784728809562381,0.15220479316145244,1.7326066229163657,104;1486,w0300_coverage_z_level_d1_d2,sigma0.5_lr0.5_random,2,71,0.5,0.5,True,300,coverage,z_level_d1_d2,1590,189,0.7557034220532319
1.2328412833747067,0.08967600795128723,0.05660377358490566,0.07781399847063578,3,0,90,0.05660377358490566,0.08591864501042637,0.06167789509362964,0.7178639174934272,697;803;90,w0300_coverage_z_level_d1_d2,sigma0.5_lr0.5_random,3,11,0.5,0.5,True,300,coverage,z_level_d1_d2,1590,189,0.7557034220532319
