variant_id,setting_id,elbow_k,qe_elbow_strength,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,seed_ari,occupied_nodes_median,empty_nodes_median,min_cluster_fraction_median,center_separation_ratio_median,passes_support,rank_silhouette_median,rank_seed_ari,rank_topographic_error_median,rank_center_separation_ratio_median,rank_min_cluster_fraction_median,rank_retention_fraction,rank_qe_elbow_strength,som_rank_sum
w0300_coverage_maxabs_level,sigma1.2_lr0.5_random,4,0.3477413310013782,1.2,0.5,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.31307665657302264,0.03913458207162783,0.0,0.4760379044245889,0.7709601169701777,4.0,0.0,0.0949685534591195,2.6331748677285876,True,31.0,124.0,47.5,34.0,20.0,95.5,71.0,423.0
w0300_coverage_maxabs_level,sigma1.2_lr0.5_sequential,5,0.3083904539312097,1.2,0.5,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.28114201189019156,0.035142751486273945,0.0,0.45468838532002237,1.0,5.0,0.0,0.06477987421383648,2.891849317188219,True,35.0,32.0,47.5,24.0,68.5,95.5,126.0,428.5
w0300_coverage_maxabs_level,sigma0.8_lr0.3_random,4,0.34805440322858266,0.8,0.3,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3173751221831355,0.03967189027289194,0.0,0.5229259130517988,0.8272708994285457,4.0,0.0,0.0559748427672956,3.208914478137562,True,5.0,106.0,47.5,9.0,103.5,95.5,70.0,436.5
w0300_coverage_maxabs_level,sigma2_lr0.1_random,5,0.4003295398215757,2.0,0.1,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.2857776685440751,0.03572220856800939,0.0,0.4183691212164165,0.797891872785566,5.0,0.0,0.09433962264150944,1.5278008305666257,True,42.0,115.0,47.5,82.0,21.0,95.5,34.0,437.0
w0300_coverage_maxabs_level,sigma0.3_lr0.1_random,4,0.3347066817521966,0.3,0.1,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.31642018613722883,0.039552523267153604,0.0,0.528211727861666,0.9758750421190833,4.0,0.0,0.05220125786163522,3.3125259824258166,True,3.5,67.5,47.5,6.0,129.0,95.5,90.0,439.0
w0300_coverage_maxabs_level,sigma0.2_lr0.1_random,4,0.3347055364278341,0.2,0.1,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.31642025034798094,0.03955253129349762,0.0,0.528211727861666,0.9758750421190833,4.0,0.0,0.05220125786163522,3.312525982425771,True,3.5,67.5,47.5,7.0,129.0,95.5,91.0,441.0
w0300_coverage_maxabs_level,sigma2_lr0.5_random,5,0.4057698577087634,2.0,0.5,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.29400083464827187,0.036750104331033984,0.0,0.41085680566447963,0.7562549628568505,5.0,0.0,0.10943396226415095,1.297609294117391,True,44.0,125.0,47.5,99.0,2.0,95.5,33.0,446.0
w0300_coverage_maxabs_level,sigma1.2_lr0.1_random,5,0.3261836163243482,1.2,0.1,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.26924265119597274,0.03365533139949659,0.0,0.43892602588917967,0.9256095807007699,5.0,0.0,0.0729559748427673,2.3639492400376567,True,36.0,72.0,47.5,37.0,56.0,95.5,106.0,450.0
w0300_coverage_maxabs_level,sigma2_lr0.3_random,5,0.3885441391628902,2.0,0.3,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.28782525331156705,0.03597815666394588,0.0,0.4222130701732622,0.7863516616908495,5.0,0.0,0.09685534591194969,1.4220598001610614,True,41.0,122.0,47.5,88.0,16.5,95.5,43.0,453.5
w0300_coverage_maxabs_level,sigma1.2_lr0.03_random,5,0.35729769685737245,1.2,0.03,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.27078441310050544,0.03384805163756318,0.0,0.4240120664429814,0.6951816007245054,5.0,0.0,0.08553459119496855,2.1239436262816986,True,39.0,139.0,47.5,49.0,31.5,95.5,56.0,457.5
