setting,k,seed_ari_mean,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,occupied_nodes_median,empty_nodes_median,min_cluster_size_median,min_cluster_fraction_median,minimum_center_rmse_median,median_within_rmse_median,center_overlap_ratio_median,source,sigma,learning_rate,random_order,layout
optimized_random_order,9,0.8314886034294833,0.6854654450286984,0.03062433758551652,0.1896838602329451,0.3357951135020285,9.0,0.0,18.0,0.014975041597337771,0.040654181559839866,0.021880653423925613,1.8579966864028001,optimization,0.5,0.1,True,3x3
optimized_random_order,10,0.7515981416790509,0.6621882759688622,0.029584390366450327,0.13227953410981697,0.3381453821500978,10.0,0.0,17.0,0.014143094841930116,0.039237856636670024,0.021744436741522218,1.8157702045409978,optimization,0.5,0.1,True,2x5
optimized_wider_neighborhood,2,0.9184858655535649,1.5075674823899916,0.06735314792086333,0.0,0.6301677884612282,2.0,0.0,287.0,0.23876871880199668,0.26280746496757434,0.0553770211430204,4.646408488758579,optimization,1.0,0.1,True,1x2
optimized_wider_neighborhood,3,0.8344125288125903,1.1706360806397798,0.05230016302542811,0.0,0.5133174102357193,3.0,0.0,168.0,0.13976705490848584,0.13502191535672933,0.04311771072550513,3.260685189787802,optimization,1.0,0.1,True,1x3
optimized_wider_neighborhood,4,0.9482431509773364,0.9697768647048978,0.04332643505626045,0.0,0.4852658464035837,4.0,0.0,85.0,0.07071547420965059,0.0917303741491492,0.0333625727915738,2.749499408198145,optimization,1.0,0.1,True,2x2
optimized_wider_neighborhood,5,0.8907129317825866,0.8666265637878404,0.038718019474933335,0.0,0.4570225198640061,5.0,0.0,51.0,0.042429284525790346,0.07858887189683017,0.030960326481405252,2.566524628612495,optimization,1.0,0.1,True,1x5
optimized_wider_neighborhood,6,0.7988032447641327,0.7941887552871554,0.035481736862048155,0.0,0.3749692737928996,6.0,0.0,61.0,0.050748752079866885,0.05058942170091044,0.02565243094918881,1.9991840624859003,optimization,1.0,0.1,True,2x3
optimized_wider_neighborhood,7,0.8354619483089637,0.7506583548240329,0.03353694199502233,0.0,0.3442151489808454,7.0,0.0,38.0,0.03161397670549085,0.04400819271659835,0.02287294203254399,1.8910177393745229,optimization,1.0,0.1,True,1x7
optimized_wider_neighborhood,8,0.8565843727149414,0.7232554503959171,0.03231267051333571,0.0,0.3067869532255262,8.0,0.0,47.0,0.039101497504159734,0.03446242499621893,0.021450687645619908,1.6211360156529455,optimization,1.0,0.1,True,2x4
optimized_wider_neighborhood,9,0.8110511108643477,0.6957920198701723,0.031085694925030775,0.1930116472545757,0.30865192154893545,9.0,0.0,52.0,0.04326123128119801,0.03682274669089297,0.020140994840391127,1.779638729256509,optimization,1.0,0.1,True,3x3
optimized_wider_neighborhood,10,0.7897126379083178,0.6749967667394982,0.030156631532165846,0.0,0.27771177615322357,10.0,0.0,35.0,0.029118136439267885,0.0281252671127818,0.02032811253631536,1.383565102817764,optimization,1.0,0.1,True,2x5
optimized_wider_faster,2,0.8717017390903894,1.4895853906006065,0.06654976730781313,0.0,0.6242296507557301,2.0,0.0,306.0,0.2545757071547421,0.24886898949683783,0.0534923612890983,4.652421083959602,optimization,1.0,0.3,True,1x2
optimized_wider_faster,3,0.7521405583414217,1.2358163856997209,0.05521220429688711,0.0,0.5526605355897032,3.0,0.0,100.0,0.08319467554076539,0.17157610215860572,0.046567396971538,3.619086111487052,optimization,1.0,0.3,True,1x3
optimized_wider_faster,4,0.9366474135228247,0.9844511377537677,0.04398203322671501,0.0,0.49319786438293683,4.0,0.0,77.0,0.06405990016638935,0.09636792320159579,0.03529068624007794,2.709985954551564,optimization,1.0,0.3,True,2x2
optimized_wider_faster,5,0.8173953687267976,0.8893064681494212,0.039731282875172566,0.0,0.46767747428781326,5.0,0.0,52.0,0.04326123128119801,0.08716623829044778,0.03252444412804345,2.713660808572306,optimization,1.0,0.3,True,1x5
optimized_wider_faster,6,0.8192420484751043,0.8061212785750607,0.0360148426868072,0.0,0.38014400620563066,6.0,0.0,48.0,0.03993344425956739,0.05281641419063904,0.027083949101131204,1.9501001863307659,optimization,1.0,0.3,True,2x3
optimized_wider_faster,7,0.6532896742207984,0.766865937485004,0.03426104338693708,0.0,0.3878647469712705,7.0,0.0,20.0,0.016638935108153077,0.0562210134102552,0.02703948994085592,2.079218710528544,optimization,1.0,0.3,True,1x7
optimized_wider_faster,8,0.741050732154973,0.7474742185241646,0.033394685276361066,0.0,0.32956337231122734,8.0,0.0,27.0,0.022462562396006656,0.03820753271780526,0.023367228689971223,1.568505371309102,optimization,1.0,0.3,True,2x4
optimized_wider_faster,9,0.7302327577527389,0.7088504711005363,0.031669103500507445,0.19966722129783693,0.3221921074747385,9.0,0.0,35.0,0.029118136439267885,0.039585612734907946,0.021804193035052613,1.8315234227854198,optimization,1.0,0.3,True,3x3
optimized_wider_faster,10,0.6272782952220844,0.6737432989335891,0.030100630720572594,0.0,0.3034059738433251,10.0,0.0,24.0,0.019966722129783693,0.037671955996584926,0.020525125276118935,1.744547729076839,optimization,1.0,0.3,True,2x5
