curve_id,window_hours,point_count,max_abs_before_normalization,max_abs_after_normalization,all_finite
图片48_cf162c1fe3,500,3000,21.27062464847877,1.0,True
图片48_d7adcc3df7,500,3000,22.152794638376875,1.0,True
图片50_f893c166de,500,3000,23.172034807057653,1.0,True
图片58_365cfd8ab3,500,3000,1.0047284226165467,1.0,True
图片58_712607914b,500,3000,1.0054119180406562,1.0,True
图片58_7752eda896,500,3000,1.004728426672912,1.0,True
图片59_b33cd1e57a,500,3000,0.9947756098965497,1.0,True
图片59_ff131ffd27,500,3000,0.9986497548854758,1.0,True
图片62_425477c17e,500,3000,0.9795223303418211,1.0,True
图片62_ec636b173b,500,3000,0.9709011630618474,1.0,True
图片63_301f8e7e3d,500,3000,0.991898021652375,1.0,True
图片63_4b738e48d9,500,3000,0.997721158965214,1.0,True
图片63_60e94766c3,500,3000,0.9989471293023121,1.0,True
图片68_5e6164edc9,500,3000,0.9828678619356214,1.0,True
图片68_e81edd4f44,500,3000,0.9986108573462862,1.0,True
图片70_793ba9d20b,500,3000,1.0112493893044914,1.0,True
图片70_96d1f9bb01,500,3000,1.0188596888668482,1.0,True
图片70_e0865bc345,500,3000,1.011514669332508,1.0,True
图片71_c5c3484144,500,3000,0.9643956662567769,1.0,True
图片71_f4e0faab87,500,3000,1.00042357633462,1.0,True
图片74_041c42f84e,500,3000,24.668967348625895,1.0,True
图片74_8144fcd699,500,3000,23.468103906333983,1.0,True
图片74_8e33f022bd,500,3000,24.29941426895506,1.0,True
图片75_28d00e69a3,500,3000,1.0002099431411613,1.0,True
图片75_64c7ef280b,500,3000,1.003850192149449,1.0,True
图片78_bffccff2c4,500,3000,0.8600635907309164,1.0,True
图片78_c1a766169b,500,3000,1.0011154543559597,1.0,True
图片87_3ff0e4a7d8,500,3000,1.0037417009384744,1.0,True
图片87_7e7efde409,500,3000,0.9809534652870898,1.0,True
图片88_07ebc80000,500,3000,1.0058146690505771,1.0,True
图片88_095c90edd9,500,3000,1.0063978054382172,1.0,True
图片88_3eac1d8a9e,500,3000,1.0108740647891432,1.0,True
图片89_316290ebc5,500,3000,22.275922315980058,1.0,True
图片89_89fab71596,500,3000,20.80283675922562,1.0,True
图片89_f6c024444a,500,3000,22.08719057013181,1.0,True
图片90_7b529f4afd,500,3000,1.0839563715039624,1.0,True
