curve_id,axis_valid,audit_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours,x_min_original,x_max_original,y_min_original,y_max_original
图片121_5f19609d45,True,,lab-v2/som_references/accepted/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2.csv,图片121,samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2,Time,hours,PCE,%,1.0,85,1467.2939123434587,14.016094633991344,1481.31000697745,24.175294934796405,25.028638744448827
图片122_839b6dd4d3,True,,lab-v2/som_references/accepted/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__OCT-doped__Series_2.csv,图片122,samples_test__unknown__unknown__图片122__OCT-doped__Series_2,Time,( h ),PCE,( % ),1.0,53,997.8628278541325,10.657576324123909,1008.5204041782564,0.9385309555869696,1.0069026225652429
图片122_57d17d6b87,True,,lab-v2/som_references/accepted/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__Pristine__Series_1.csv,图片122,samples_test__unknown__unknown__图片122__Pristine__Series_1,Time,( h ),PCE,( % ),1.0,39,729.2074511241739,6.819642370838778,736.0270934950127,0.4416968422115184,0.9795539557739336
图片125_4cd5d902c4,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片125/accepted/samples_test__unknown__unknown__图片125__Series_1__Series_1.csv,图片125,samples_test__unknown__unknown__图片125__Series_1__Series_1,,,,,,58,,-0.9913236590166504,236.7125480825827,17.53187542384437,21.532781206644817
图片125_c061c64efb,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片125/accepted/samples_test__unknown__unknown__图片125__Series_2__Series_2.csv,图片125,samples_test__unknown__unknown__图片125__Series_2__Series_2,,,,,,58,,-0.1572749862391091,237.5465967553603,21.642395063707845,22.46449899168054
图片127_e6b6963001,True,,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_1__Series_1.csv,图片127,samples_test__unknown__unknown__图片127__Series_1__Series_1,Time,(h),Normal. PCE,,1.0,37,2118.153166482114,-4.991519542108733,2113.1616469400055,0.8012949978805606,0.9994029917913064
图片127_fa3bbaf3ca,True,,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_2__Series_2.csv,图片127,samples_test__unknown__unknown__图片127__Series_2__Series_2,Time,(h),Normal. PCE,,1.0,37,2118.153166482114,-4.991519542108733,2113.1616469400055,0.8673309958508091,1.0028785706318455
图片127_bf5402f13a,True,,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_3__Series_3.csv,图片127,samples_test__unknown__unknown__图片127__Series_3__Series_3,Time,(h),Normal. PCE,,1.0,37,2118.153166482114,0.8922392536749157,2119.0454057357892,0.537151005999566,0.9855006764291488
图片132_03c9048497,True,,lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2.csv,图片132,samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2,Time,(h),Normalized PCE,,1.0,43,986.2603191123052,-1.7066469765924523,984.5536721357128,0.8023489318802772,1.0018484138687491
图片132_74754f7a23,True,,lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__Sn_{$__Series_1.csv,图片132,samples_test__unknown__unknown__图片132__Sn_{$__Series_1,Time,(h),Normalized PCE,,1.0,43,986.2603191123052,-1.7066469765924523,984.5536721357128,0.5007799474790984,0.992569368194867
图片133_d959e229f4,True,,lab-v2/som_references/accepted/samples_test/图片133/accepted/samples_test__unknown__unknown__图片133__Bare_PVSK_film__Series_2.csv,图片133,samples_test__unknown__unknown__图片133__Bare_PVSK_film__Series_2,Heating time,(h),PCE,(%),1.0,28,38.55389032610144,0.8667943811706849,39.42068470727212,7.46032171373427,17.25570337850346
图片133_382ffdfaf5,True,,lab-v2/som_references/accepted/samples_test/图片133/accepted/samples_test__unknown__unknown__图片133__PVSKfilm_with_PFI__Series_1.csv,图片133,samples_test__unknown__unknown__图片133__PVSKfilm_with_PFI__Series_1,Heating time,(h),PCE,(%),1.0,28,38.55389032610144,1.152378753956622,39.70626908005806,18.87032672983904,19.946742297396092
图片134_7c7a21099f,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_1__Series_1.csv,图片134,samples_test__unknown__unknown__图片134__Series_1__Series_1,,,,,,44,,4.2092142886893384,1172.71664021024,0.9471009776834244,1.0824536559324494
图片134_f612d67aac,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_2__Series_2.csv,图片134,samples_test__unknown__unknown__图片134__Series_2__Series_2,,,,,,39,,25.94888732909027,1058.583356748135,0.107220256240756,0.9679244666448128
图片134_a3e64e4da3,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_3__Series_3.csv,图片134,samples_test__unknown__unknown__图片134__Series_3__Series_3,,,,,,39,,39.53618297934088,1072.1706523983858,0.8499246958636115,1.0130420260611546
图片135_933b9d0c2e,True,,lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,图片135,samples_test__unknown__unknown__图片135__Series_1__Series_1,Time,h,Normalized PCE,,1.0,57,1011.0572730371723,5.147157694138514,1016.2044307313108,0.9827340021943828,0.9962702498350516
图片135_d9d595e475,True,,lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_2__Series_2.csv,图片135,samples_test__unknown__unknown__图片135__Series_2__Series_2,Time,h,Normalized PCE,,1.0,57,1011.0572730371723,10.563535942551937,1021.6208089797242,0.6759123890058928,1.0007823323819411
图片136_57d6f717d9,True,,lab-v2/som_references/accepted/samples_test/图片136/accepted/samples_test__unknown__unknown__图片136__Control__Series_2.csv,图片136,samples_test__unknown__unknown__图片136__Control__Series_2,Time,(h),Normalized PCE,,1.0,15,652.8002443820736,8.590762512351716,661.3910068944253,0.4879642923996781,1.0625247948632892
图片136_4ddceb1f73,True,,lab-v2/som_references/accepted/samples_test/图片136/accepted/samples_test__unknown__unknown__图片136__Target__Series_1.csv,图片136,samples_test__unknown__unknown__图片136__Target__Series_1,Time,(h),Normalized PCE,,1.0,30,1352.229077648581,-5.397814152978526,1346.8312634956026,0.9672459175703284,1.022103452981427
图片140_5c64e9dc75,False,implausible_duration_over_100000h,lab-v2/som_references/accepted/samples_test/图片140/accepted/samples_test__unknown__unknown__图片140__Series_1__Series_1.csv,图片140,samples_test__unknown__unknown__图片140__Series_1__Series_1,Time,(h),Normalized PCE,,1.0,37,42488794.46516118,-4673945.075648515,37814849.389512666,0.9238001647276356,0.999507039437824
图片140_13c9508a3a,False,implausible_duration_over_100000h,lab-v2/som_references/accepted/samples_test/图片140/accepted/samples_test__unknown__unknown__图片140__Series_2__Series_2.csv,图片140,samples_test__unknown__unknown__图片140__Series_2__Series_2,Time,(h),Normalized PCE,,1.0,36,41308550.17446226,-5264067.220997976,36044482.953464285,0.8329519150754094,0.982202610932638
图片141_134c91030b,True,,lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell1__Series_1.csv,图片141,samples_test__unknown__unknown__图片141__Cell1__Series_1,Time,(hours),Norm. PCE,,1.0,39,2411.8599222799694,-23.685421990936447,2388.174500289033,0.7475039820033951,1.004881211891483
图片141_6b6eebecd2,True,,lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell2__Series_2.csv,图片141,samples_test__unknown__unknown__图片141__Cell2__Series_2,Time,(hours),Norm. PCE,,1.0,38,2348.389924325233,-4.644422604515626,2343.7455017207176,0.9864971240423336,1.0122348470311426
图片141_a26b87de5f,True,,lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell3__Series_3.csv,图片141,samples_test__unknown__unknown__图片141__Cell3__Series_3,Time,(hours),Norm. PCE,,1.0,39,2411.8599222799694,-23.685421990936447,2388.174500289033,0.9092839550759074,1.004881211891483
图片141_fcf9b338aa,True,,lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell4__Series_4.csv,图片141,samples_test__unknown__unknown__图片141__Cell4__Series_4,Time,(hours),Norm. PCE,,1.0,38,2348.389924325233,-17.33842219546284,2331.05150212977,0.8283939685396513,1.001204394321653
图片15_2cccbf72cc,True,,lab-v2/som_references/accepted/samples_test/图片15/accepted/samples_test__unknown__unknown__图片15__Series_1__Series_1.csv,图片15,samples_test__unknown__unknown__图片15__Series_1__Series_1,Time (h),h,Norm.PCE,,1.0,30,140.1085841109347,1.3682383510497331,141.47682246198443,0.0739935537819,0.9482433862618316
图片157_995f891bc8,True,,lab-v2/som_references/accepted/samples_test/图片157/accepted/samples_test__unknown__unknown__图片157__NBG_PSCs_with_YbOx__Series_1.csv,图片157,samples_test__unknown__unknown__图片157__NBG_PSCs_with_YbOx__Series_1,Time,(h),PCE,(%),1.0,74,986.6919371072015,5.3787571758462605,992.0706942830478,23.290057561059182,24.240636362271538
图片159_e2dc313613,True,,lab-v2/som_references/accepted/samples_test/图片159/accepted/samples_test__unknown__unknown__图片159__MeO-2PACz__Series_2.csv,图片159,samples_test__unknown__unknown__图片159__MeO-2PACz__Series_2,Time,(hours),Normalized PCE,,1.0,35,479.00324495962485,4.594860112949775,483.59810507257464,0.7893093046607151,1.001554011630076
