curve_id,axis_valid,audit_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours,x_min_original,x_max_original,y_min_original,y_max_original
图片60_df6d1acfad,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_4__Series_4.csv,图片60,samples_test__unknown__unknown__图片60__Series_4__Series_4,,,,,,56,,23.35173480128236,4940.361298012605,0.894439612434149,0.9665344477112112
图片64_c894b26480,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片64/accepted/samples_test__unknown__unknown__图片64__Series_1__Series_1.csv,图片64,samples_test__unknown__unknown__图片64__Series_1__Series_1,,,,,,100,,0.5091633236281723,2072.970695982691,0.8759324414880207,1.009805094985761
图片64_f98245fe5a,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片64/accepted/samples_test__unknown__unknown__图片64__Series_2__Series_2.csv,图片64,samples_test__unknown__unknown__图片64__Series_2__Series_2,,,,,,25,,8.882745273765835,511.29766228202345,0.5189386988273799,0.9503061378756544
图片65_c1b143999b,False,y_axis_not_pce_efficiency_or_power,lab-v2/som_references/accepted/samples_test/图片65/accepted/samples_test__unknown__unknown__图片65__Series_1__Series_1.csv,图片65,samples_test__unknown__unknown__图片65__Series_1__Series_1,Time,h,,,,105,,0.8125036289670504,800.9486243707541,0.8097037726410656,1.0083475032151594
图片65_4163fc8292,False,y_axis_not_pce_efficiency_or_power,lab-v2/som_references/accepted/samples_test/图片65/accepted/samples_test__unknown__unknown__图片65__Series_2__Series_2.csv,图片65,samples_test__unknown__unknown__图片65__Series_2__Series_2,Time,h,,,,28,,3.1205885926452765,210.84823532368617,0.4353367419437348,0.9854270727643024
图片8_b646812b54,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片8/accepted/samples_test__unknown__unknown__图片8__EtCz3EPA_PTAA_BCP__Series_3.csv,图片8,samples_test__unknown__unknown__图片8__EtCz3EPA_PTAA_BCP__Series_3,Cycles,,Efficiency,%,,51,,1.2083421336224092,196.62461083833983,21.040901287086335,21.970985651032738
图片8_cf120d4054,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片8/accepted/samples_test__unknown__unknown__图片8__EtCz3EPA__Series_2.csv,图片8,samples_test__unknown__unknown__图片8__EtCz3EPA__Series_2,Cycles,,Efficiency,%,,52,,-0.7458205534247639,198.57877352538705,21.505943469059535,22.110498305624695
图片8_461baf4e5f,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片8/accepted/samples_test__unknown__unknown__图片8__PTAA_BCP__Series_1.csv,图片8,samples_test__unknown__unknown__图片8__PTAA_BCP__Series_1,Cycles,,Efficiency,%,,52,,-0.35498801601533,198.9696060627965,20.4828506687185,21.087405505283655
图片9_32f50c7e41,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片9/accepted/samples_test__unknown__unknown__图片9__Control__Series_1.csv,图片9,samples_test__unknown__unknown__图片9__Control__Series_1,Number of temperature cycles,,Normalized PCE,,,47,,0.4072633473145508,98.20189878364651,0.8467069188913778,1.0004585315824517
图片9_a50553ee0e,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片9/accepted/samples_test__unknown__unknown__图片9__DMPESI__Series_2.csv,图片9,samples_test__unknown__unknown__图片9__DMPESI__Series_2,Number of temperature cycles,,Normalized PCE,,,47,,0.4072633473145508,98.20189878364651,0.9898024792177238,1.005025411167335
图片92_e81b650718,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片92/accepted/samples_test__unknown__unknown__图片92__Series_1__Series_1.csv,图片92,samples_test__unknown__unknown__图片92__Series_1__Series_1,HF Cycle,,Normalized PCE,(a.u.),,33,,-0.2696325327910553,33.842727791090894,0.6551768363884731,1.1387394585707105
图片92_a0f0944db9,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片92/accepted/samples_test__unknown__unknown__图片92__Series_2__Series_2.csv,图片92,samples_test__unknown__unknown__图片92__Series_2__Series_2,HF Cycle,,Normalized PCE,(a.u.),,29,,-0.2696325327910553,29.578682750605655,0.9985763796773084,1.2228373059067517
