curve_id,axis_valid,audit_reasons,source_file,doi,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours,x_min_original,x_max_original,y_min_original,y_max_original,final_class,strict_topology_match,strict_class,rule_ensemble_stability,confidence_level,review_recommended,final_status
10.1002_adma.201805323_Fig4_F_stability_performance_curve_pce_73a5f790d8,True,,lab/data_all/x_time_h/10.1002_adma.201805323/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adma.201805323__Fig4__F__stability_performance_curve_pce__X=0__Series_1.csv,10.1002/adma.201805323,Fig4_F_stability_performance_curve_pce,10.1002_adma.201805323__Fig4__F__stability_performance_curve_pce__X=0__Series_1,Time,(h),Normalized PCE,,1.0,30,695.9305754961844,-4.688912682292511,691.2416628138918,0.0191180309987539,0.9827577689945894,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1002_adma.202007431_Fig4_F_stability_performance_curve_pce_2ecfc577e6,True,,lab/data_all/x_time_h/10.1002_adma.202007431/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adma.202007431__Fig4__F__stability_performance_curve_pce__HL38__Series_1.csv,10.1002/adma.202007431,Fig4_F_stability_performance_curve_pce,10.1002_adma.202007431__Fig4__F__stability_performance_curve_pce__HL38__Series_1,Time,(h),PCE,(%),1.0,183,1024.720462498641,-1.5157552637788427,1023.204707234862,18.898727132831276,21.99243052199894,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1002_adma.202007431_Fig4_F_stability_performance_curve_pce_c35860acd0,True,,lab/data_all/x_time_h/10.1002_adma.202007431/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adma.202007431__Fig4__F__stability_performance_curve_pce__spiro-MeOTAD__Series_2.csv,10.1002/adma.202007431,Fig4_F_stability_performance_curve_pce,10.1002_adma.202007431__Fig4__F__stability_performance_curve_pce__spiro-MeOTAD__Series_2,Time,(h),PCE,(%),1.0,184,1030.3507947101716,-1.5157552637788427,1028.8350394463928,5.712450392116629,20.775235745932974,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1002_admi.202001425_Fig4_F_stability_performance_curve_pce_c6ce1d2ba5,True,,lab/data_all/x_time_h/10.1002_admi.202001425/Fig4_F_stability_performance_curve_pce/accepted/10.1002_admi.202001425__Fig4__F__stability_performance_curve_pce__PCDTBTw_ofibrils__Series_3.csv,10.1002/admi.202001425,Fig4_F_stability_performance_curve_pce,10.1002_admi.202001425__Fig4__F__stability_performance_curve_pce__PCDTBTw_ofibrils__Series_3,Time,[hour],Normalized PCE,,1.0,66,475.19800392129883,-0.4645016623940137,474.7335022589048,0.4190899677322991,1.003551042495444,,,,,,,insufficient_duration_for_selected_window
10.1002_admi.202001425_Fig4_F_stability_performance_curve_pce_3ed1a7e33a,True,,lab/data_all/x_time_h/10.1002_admi.202001425/Fig4_F_stability_performance_curve_pce/accepted/10.1002_admi.202001425__Fig4__F__stability_performance_curve_pce__Spiro-OMeTAD__Series_1.csv,10.1002/admi.202001425,Fig4_F_stability_performance_curve_pce,10.1002_admi.202001425__Fig4__F__stability_performance_curve_pce__Spiro-OMeTAD__Series_1,Time,[hour],Normalized PCE,,1.0,66,475.19800392129883,-3.388797071140459,471.8092068501584,0.4016804889095672,1.0010639740921965,,,,,,,insufficient_duration_for_selected_window
10.1002_aenm.201803766_Fig4_F_stability_performance_curve_pce_a192b2bae9,True,,lab/data_all/x_time_day/10.1002_aenm.201803766/Fig4_F_stability_performance_curve_pce/accepted/10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__Control__Series_1.csv,10.1002/aenm.201803766,Fig4_F_stability_performance_curve_pce,10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__Control__Series_1,Time (Day),(Day),Normalized PCE,,24.0,70,708.9388715173021,0.0980110820548016,29.63713072860906,0.6503088746754202,0.996291331517482,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1002_aenm.201803766_Fig4_F_stability_performance_curve_pce_752d9cf539,True,,lab/data_all/x_time_day/10.1002_aenm.201803766/Fig4_F_stability_performance_curve_pce/accepted/10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__SP1__Series_2.csv,10.1002/aenm.201803766,Fig4_F_stability_performance_curve_pce,10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__SP1__Series_2,Time (Day),(Day),Normalized PCE,,24.0,70,708.9388715173021,-0.0304198729302171,29.50869977362404,0.7142065356237289,0.996291331517482,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1002_aenm.201803766_Fig4_F_stability_performance_curve_pce_8f06f00b66,True,,lab/data_all/x_time_day/10.1002_aenm.201803766/Fig4_F_stability_performance_curve_pce/accepted/10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__SP3__Series_3.csv,10.1002/aenm.201803766,Fig4_F_stability_performance_curve_pce,10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__SP3__Series_3,Time (Day),(Day),Normalized PCE,,24.0,71,719.2133479161037,-0.0304198729302171,29.936802956907435,0.8607036119442415,0.996291331517482,IFO-Slope,False,unresolved_other_shape,1.0,unresolved_other_shape,True,assigned_four_way_but_unresolved_topology
10.1002_aenm.202101539_Fig4_F_stability_performance_curve_pce_ebde947d51,True,,lab/data_all/x_time_h/10.1002_aenm.202101539/Fig4_F_stability_performance_curve_pce/accepted/10.1002_aenm.202101539__Fig4__F__stability_performance_curve_pce__Reference__Series_1.csv,10.1002/aenm.202101539,Fig4_F_stability_performance_curve_pce,10.1002_aenm.202101539__Fig4__F__stability_performance_curve_pce__Reference__Series_1,Time,(h),Normalised PCE,,1.0,36,708.4613531203341,2.8077182457560355,711.2690713660902,0.3239731960835966,1.013303066690144,IFO-Slope,False,unresolved_other_shape,1.0,unresolved_other_shape,True,assigned_four_way_but_unresolved_topology
10.1002_solr.202000205_Fig4_F_stability_performance_curve_pce_d3e8038b39,True,,lab/data_all/x_time_h/10.1002_solr.202000205/Fig4_F_stability_performance_curve_pce/accepted/10.1002_solr.202000205__Fig4__F__stability_performance_curve_pce__TiO₂__Series_2.csv,10.1002/solr.202000205,Fig4_F_stability_performance_curve_pce,10.1002_solr.202000205__Fig4__F__stability_performance_curve_pce__TiO₂__Series_2,Time (h),(h),Normalized PCE,,1.0,61,294.7651735313192,-0.9326852891837092,293.83248824213547,0.4148384107614349,0.9990656544648518,,,,,,,insufficient_duration_for_selected_window
