n,n_clusters,noise_fraction,cluster_sizes,balance,dbcv,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,min_samples,cluster_selection_method,metric,dataset,normalization,coverage,representation,dimensions,candidate_id,bootstrap_ari,bootstrap_vi,bootstrap_valid_fraction,bootstrap_ari_50,bootstrap_ari_50_p05,bootstrap_ari_50_p95,bootstrap_valid_fraction_50,four_cluster_run_fraction
84,4,0.5238095238095238,"[8, 14, 10, 8]",0.5714285714285714,0.37683429610527874,0.7334608407075848,0.2674916800193012,377.87978195122344,8,5.0,leaf,euclidean,500h,initial,0.5384615384615384,0.95,1,500h__initial__0.95__022,0.05551451934112652,1.8532392615207658,1.0,0.07196316820132902,-0.0629450087241501,0.1830826839465893,0.78,0.08
84,4,0.5238095238095238,"[8, 14, 10, 8]",0.5714285714285714,0.3768342962045218,0.7334608407778116,0.2674916800193012,377.87978195122344,8,5.0,leaf,manhattan,500h,initial,0.5384615384615384,0.95,1,500h__initial__0.95__023,0.03598629318244832,1.888491997405156,1.0,0.06795516886635196,-0.06812268083907459,0.19982836967726925,0.84,0.1
84,4,0.5119047619047619,"[9, 13, 9, 10]",0.6923076923076923,0.4059492315187217,0.7565598853987632,0.25092870165735415,538.6847528223728,8,5.0,eom,euclidean,500h,max,0.5384615384615384,0.9,1,500h__max__0.9__020,0.08216482147208444,1.7534770144217036,1.0,0.06349459081954006,-0.10060494150947916,0.26519087878174313,0.86,0.04
84,4,0.5119047619047619,"[9, 13, 9, 10]",0.6923076923076923,0.4059492368748717,0.7565598854401102,0.25092870165735415,538.6847528223728,8,5.0,eom,manhattan,500h,max,0.5384615384615384,0.9,1,500h__max__0.9__021,0.08022049704183742,1.756259294114873,1.0,0.05713338508872832,-0.09998200348919507,0.20014685009677646,0.84,0.0
84,4,0.5119047619047619,"[9, 13, 9, 10]",0.6923076923076923,0.4059492315187217,0.7565598853987632,0.25092870165735415,538.6847528223728,8,5.0,leaf,euclidean,500h,max,0.5384615384615384,0.9,1,500h__max__0.9__022,0.12010248691452832,1.7474028491412998,1.0,0.0854131533962707,-0.0800977328919146,0.3451869083978919,0.86,0.2
84,4,0.5119047619047619,"[9, 13, 9, 10]",0.6923076923076923,0.4059492368748717,0.7565598854401102,0.25092870165735415,538.6847528223728,8,5.0,leaf,manhattan,500h,max,0.5384615384615384,0.9,1,500h__max__0.9__023,0.08022049704183742,1.756259294114873,1.0,0.0735550627629122,-0.07450036894790119,0.22082813648598895,0.84,0.14
84,4,0.5119047619047619,"[9, 13, 9, 10]",0.6923076923076923,0.4059492315187217,0.7565598853987632,0.25092870165735415,538.6847528223728,8,5.0,eom,euclidean,500h,max,0.5384615384615384,0.95,1,500h__max__0.95__020,0.11243045116125738,1.7574182901846238,1.0,0.05861169794790979,-0.10093212472244209,0.2305995516648734,0.86,0.0
84,4,0.5119047619047619,"[9, 13, 9, 10]",0.6923076923076923,0.4059492368748717,0.7565598854401102,0.25092870165735415,538.6847528223728,8,5.0,eom,manhattan,500h,max,0.5384615384615384,0.95,1,500h__max__0.95__021,0.08252212507146366,1.6996825035237193,0.8,0.06760188515039264,-0.10005337901573023,0.2410908830225715,0.84,0.02
84,4,0.5119047619047619,"[9, 13, 9, 10]",0.6923076923076923,0.4059492315187217,0.7565598853987632,0.25092870165735415,538.6847528223728,8,5.0,leaf,euclidean,500h,max,0.5384615384615384,0.95,1,500h__max__0.95__022,0.1164449143572184,1.853388575586606,1.0,0.09228357476492507,-0.061838555768802664,0.3109558382477754,0.86,0.1
84,4,0.5119047619047619,"[9, 13, 9, 10]",0.6923076923076923,0.4059492368748717,0.7565598854401102,0.25092870165735415,538.6847528223728,8,5.0,leaf,manhattan,500h,max,0.5384615384615384,0.95,1,500h__max__0.95__023,0.08252212507146366,1.6996825035237193,0.8,0.08333949047908885,-0.05563568953070706,0.2410908830225715,0.84,0.1
