kind,variant,n,n_clusters,noise_fraction,cluster_sizes,balance,dbcv,silhouette,davies_bouldin,calinski_harabasz,ari,ari_assigned,vi,common_assigned_fraction,n_overlap
window_same_cohort_refit,full_duration,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
window_unmatched_cohort,200h,50,2,0.74,"[7, 6]",0.8571428571428571,0.12914080620915072,0.5976404877112996,0.5680786275270862,29.83437246364864,-0.1748567247896598,,1.2043846312396087,0.21428571428571427,42
window_same_cohort_refit,200h,42,0,1.0,[],0.0,,,,,,,-0.0,0.0,42
window_unmatched_cohort,300h,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5232076972336757,0.7238663041364445,0.39761159607046276,141.7944070356227,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
window_same_cohort_refit,300h,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5232076972336757,0.7238663041364445,0.39761159607046276,141.7944070356227,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
window_unmatched_cohort,500h,84,2,0.7857142857142857,"[10, 8]",0.8,0.11051878452353464,0.5964553670774477,0.5016623354243804,44.68074619578499,-0.15289100557067256,,1.092795342984206,0.16176470588235295,68
window_same_cohort_refit,500h,68,0,1.0,[],0.0,,,,,,,0.6153011304202965,0.0,68
window_unmatched_cohort,750h,83,2,0.8072289156626506,"[10, 6]",0.6,0.09656370202809349,0.5709983810028803,0.6267315704405922,30.783407918262146,-0.14840813812699902,,1.0587236853619655,0.14814814814814814,54
window_same_cohort_refit,750h,54,0,1.0,[],0.0,,,,,,,-0.0,0.0,54
window_unmatched_cohort,1000h,51,0,1.0,[],0.0,,,,,,,0.7174352514213597,0.0,25
window_same_cohort_refit,1000h,25,0,1.0,[],0.0,,,,,,,-0.0,0.0,25
metadata_cohort,all,213,2,0.09859154929577464,"[12, 180]",0.06666666666666667,-0.05356069208347172,0.5821964655556533,0.5490690463539765,120.77987355428996,0.5591676717660001,0.2454377691203609,0.5885238000144601,0.8734177215189873,79
metadata_cohort,cycles,17,0,1.0,[],0.0,,,,,,,,,0
sampling_confound,exclude_point_count_features,79,2,0.08860759493670886,"[7, 65]",0.1076923076923077,0.3982480759305807,0.7513253622098343,0.3578604817612935,191.40094130416256,0.990156145509044,1.0,0.07449336098823167,0.8987341772151899,79
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": null, ""cluster_selection_method"": ""eom"", ""metric"": ""euclidean""}",79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.6190592701581648,0.7733757426512605,0.39761159607046276,141.7944070356227,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": null, ""cluster_selection_method"": ""eom"", ""metric"": ""manhattan""}",79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5232076972336757,0.7238663041364445,0.39761159607046276,141.7944070356227,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": null, ""cluster_selection_method"": ""leaf"", ""metric"": ""euclidean""}",79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.6190592701581648,0.7733757426512605,0.39761159607046276,141.7944070356227,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": null, ""cluster_selection_method"": ""leaf"", ""metric"": ""manhattan""}",79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5232076972336757,0.7238663041364445,0.39761159607046276,141.7944070356227,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": 5, ""cluster_selection_method"": ""eom"", ""metric"": ""euclidean""}",79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.6190592701581648,0.7733757426512605,0.39761159607046276,141.7944070356227,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": 5, ""cluster_selection_method"": ""eom"", ""metric"": ""manhattan""}",79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5232076972336757,0.7238663041364445,0.39761159607046276,141.7944070356227,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": 5, ""cluster_selection_method"": ""leaf"", ""metric"": ""euclidean""}",79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.6190592701581648,0.7733757426512605,0.39761159607046276,141.7944070356227,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": 5, ""cluster_selection_method"": ""leaf"", ""metric"": ""manhattan""}",79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5232076972336757,0.7238663041364445,0.39761159607046276,141.7944070356227,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": 10, ""cluster_selection_method"": ""eom"", ""metric"": ""euclidean""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": 10, ""cluster_selection_method"": ""eom"", ""metric"": ""manhattan""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
