candidate_id,search_stage,window_hours,sigma,learning_rate,iterations,seed,n_curves,quantization_error,topographic_error,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,balance_entropy,matched_mean_prototype_correlation,independent_archetypes_found,independent_labels,cluster_0_size,cluster_1_size,cluster_2_size,cluster_3_size,selection_score,mean_pairwise_ari_5_seeds,min_pairwise_ari_5_seeds,stable_selection_score
81,expanded_som,750,1.0,0.03,20000,0,798,0.7991986258970486,0.0,0.469565301114944,0.788504184380175,1239.4494929392895,70,0.8946738465437413,0.6361803205314842,2,IFO-Hill;IFO-Hill;IFO-Slope;IFO-Hill,141,353,70,234,0.7511638524159248,,,0.5633728893119436
63,expanded_som,500,1.0,0.03,20000,0,1229,0.7533810936716937,0.0,0.47117767918184184,0.785890835354367,1927.4097874898027,105,0.8918047861336025,0.6334686997404355,2,IFO-Hill;IFO-Slope;IFO-Hill;IFO-Hill,360,105,547,217,0.750820159937737,,,0.5631151199533028
49,expanded_som,300,1.0,0.5,20000,0,1635,0.6756740583311103,0.0,0.46624492211290447,0.7078447856747514,2939.766047344577,129,0.8870700089728923,0.6417950954268117,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,742,309,455,129,0.7505242491953988,,,0.5628931868965491
50,expanded_som,300,1.0,0.5,100000,0,1635,0.7381969633450607,0.0,0.5033985487028803,0.7467458193478694,2977.2593231440333,122,0.826286915982666,0.6373807318498632,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,890,237,386,122,0.7503960291025035,,,0.5627970218268776
82,expanded_som,750,1.0,0.03,100000,0,798,0.7978400253122027,0.0,0.4666327593289221,0.785234793311606,1258.1257726289894,66,0.8892072627872402,0.6360826148417286,2,IFO-Hill;IFO-Hill;IFO-Slope;IFO-Hill,240,353,66,139,0.7500917860165015,,,0.5625688395123761
42,expanded_som,300,0.8,0.05,100000,0,1635,0.6908356162306227,0.0,0.5175638046842432,0.7335572637679919,3173.0146912573246,85,0.7946419184143215,0.6404225865600401,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,905,424,221,85,0.7500906809811797,,,0.5625680107358848
55,expanded_som,500,0.2,0.5,20000,0,1229,0.7774656789536785,0.0,0.4964857330328202,0.74052667925589,2182.9354960032797,58,0.8368637201684048,0.6361118904754246,2,IFO-Hill;IFO-Slope;IFO-Hill;IFO-Hill,588,58,209,374,0.750085361607012,,,0.562564021205259
61,expanded_som,500,0.8,0.5,20000,0,1229,0.7761710595365697,0.0,0.49398812860879193,0.7456977259272186,2174.137939045265,62,0.8404684537492615,0.6363727394927167,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,588,207,372,62,0.7500413603180542,,,0.5625310202385407
11,paper_reported,300,0.5,0.1,50000,0,1635,0.6866246835479136,0.0,0.5164112343989543,0.7280226954022985,3172.0184493581064,81,0.796226517103905,0.6401369962573477,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,446,889,219,81,0.7500117422623759,,,0.5625088066967819
64,expanded_som,500,1.0,0.03,100000,0,1229,0.7510352027078516,0.0,0.4780917345063578,0.7592538653002652,2095.5157267553245,82,0.8679550701692796,0.6359341811948352,2,IFO-Hill;IFO-Slope;IFO-Hill;IFO-Hill,219,82,571,357,0.749953333204895,,,0.5624649999036713
84,expanded_som,750,1.0,0.05,100000,0,798,0.7976061745143812,0.0,0.46277997258257075,0.7834599305633596,1256.8417191379485,66,0.8920319425310274,0.63682470565467,2,IFO-Hill;IFO-Hill;IFO-Slope;IFO-Hill,241,349,66,142,0.7497927776618863,,,0.5623445832464148
9,paper_reported,300,0.3,0.1,50000,0,1635,0.686624699815318,0.0,0.5132610287173447,0.7280226954022985,3172.0184493581064,81,0.796226517103905,0.6401369962573477,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,219,889,446,81,0.7494604562680943,,,0.5620953422010707
40,expanded_som,300,0.8,0.03,100000,0,1635,0.6870028806139847,0.0,0.5100136579157692,0.7308106712285803,3169.051301204336,86,0.8012239337673795,0.6401981969128421,2,IFO-Hill;IFO-Hill;IFO-Slope;IFO-Hill,417,898,86,234,0.7493995581261028,,,0.5620496685945771
7,paper_reported,200,0.5,0.1,50000,0,1850,0.6414659028778512,0.0,0.5492767297243957,0.7247296125187688,3641.4804347328763,76,0.7337825685661936,0.6391335240814839,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,1110,184,480,76,0.7493933750685741,,,0.5620450313014306
5,paper_reported,200,0.3,0.1,50000,0,1850,0.6414659154164798,0.0,0.5492767297243957,0.7247296125187688,3641.4804347328763,76,0.7337825685661936,0.6391335240814839,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,1110,184,480,76,0.7493933750685741,,,0.5620450313014306
