k,sigma,lr,seed,iterations,grid,qe,occupied,method
9,0.5,0.3,71,50000,3x3,0.24383399469299707,9,raw_maxabs_same_p02
9,0.5,0.3,101,50000,3x3,0.24135416207728172,9,raw_maxabs_same_p02
10,0.5,0.3,11,50000,2x5,0.22746923584606532,10,raw_maxabs_same_p02
10,0.5,0.3,29,50000,2x5,0.2283939214298535,10,raw_maxabs_same_p02
10,0.5,0.3,47,50000,2x5,0.23418223699912463,10,raw_maxabs_same_p02
10,0.5,0.3,71,50000,2x5,0.22663167969298037,10,raw_maxabs_same_p02
10,0.5,0.3,101,50000,2x5,0.2249266802807803,10,raw_maxabs_same_p02
11,0.5,0.3,11,50000,1x11,0.2138275821010832,11,raw_maxabs_same_p02
11,0.5,0.3,29,50000,1x11,0.21394664668952687,11,raw_maxabs_same_p02
11,0.5,0.3,47,50000,1x11,0.2170005567877987,11,raw_maxabs_same_p02
11,0.5,0.3,71,50000,1x11,0.21304685791668437,11,raw_maxabs_same_p02
11,0.5,0.3,101,50000,1x11,0.21142599978678073,11,raw_maxabs_same_p02
12,0.5,0.3,11,50000,3x4,0.2010774401949033,12,raw_maxabs_same_p02
12,0.5,0.3,29,50000,3x4,0.2016162655206854,12,raw_maxabs_same_p02
12,0.5,0.3,47,50000,3x4,0.1988400606490703,12,raw_maxabs_same_p02
12,0.5,0.3,71,50000,3x4,0.20232194296636302,12,raw_maxabs_same_p02
12,0.5,0.3,101,50000,3x4,0.2011334166598117,12,raw_maxabs_same_p02
13,0.5,0.3,11,50000,1x13,0.19132709019643374,13,raw_maxabs_same_p02
13,0.5,0.3,29,50000,1x13,0.19638184885647825,13,raw_maxabs_same_p02
13,0.5,0.3,47,50000,1x13,0.18825915895929515,13,raw_maxabs_same_p02
13,0.5,0.3,71,50000,1x13,0.19144666037024785,13,raw_maxabs_same_p02
13,0.5,0.3,101,50000,1x13,0.19194561298564422,13,raw_maxabs_same_p02
14,0.5,0.3,11,50000,2x7,0.17941508998754768,14,raw_maxabs_same_p02
14,0.5,0.3,29,50000,2x7,0.1919468176741876,14,raw_maxabs_same_p02
14,0.5,0.3,47,50000,2x7,0.18061257602387532,14,raw_maxabs_same_p02
14,0.5,0.3,71,50000,2x7,0.18363529963489658,14,raw_maxabs_same_p02
14,0.5,0.3,101,50000,2x7,0.18452808938458162,14,raw_maxabs_same_p02
15,0.5,0.3,11,50000,3x5,0.17671065774485276,15,raw_maxabs_same_p02
15,0.5,0.3,29,50000,3x5,0.17091748222417588,15,raw_maxabs_same_p02
15,0.5,0.3,47,50000,3x5,0.17315460675978578,15,raw_maxabs_same_p02
15,0.5,0.3,71,50000,3x5,0.17044042968845666,15,raw_maxabs_same_p02
15,0.5,0.3,101,50000,3x5,0.1777381443760372,15,raw_maxabs_same_p02
16,0.5,0.3,11,50000,4x4,0.17783839151366676,16,raw_maxabs_same_p02
16,0.5,0.3,29,50000,4x4,0.16575915166111477,16,raw_maxabs_same_p02
16,0.5,0.3,47,50000,4x4,0.1696112017477003,16,raw_maxabs_same_p02
16,0.5,0.3,71,50000,4x4,0.16997672193329538,16,raw_maxabs_same_p02
16,0.5,0.3,101,50000,4x4,0.1699332418397031,16,raw_maxabs_same_p02
1,0.5,0.3,11,50000,1x1,1.0639556338526985,1,threshold_p01
1,0.5,0.3,29,50000,1x1,0.9532161827253068,1,threshold_p01
1,0.5,0.3,47,50000,1x1,0.9598249565387229,1,threshold_p01
1,0.5,0.3,71,50000,1x1,1.1186180754133952,1,threshold_p01
