curve_id,status,reason,n_original_points,pce_max_0_200h,pce_min_normalized,max_x_hours,n_unique_t,t_coverage_pct,top_dir,doi,figure_label,series_id,unit_label
x_time_day/10.1002_advs.201700025/Fig7_whole_stability/10.1002_advs.201700025__Fig7__whole__stability__w_oBDTS-2DPP__Series_2.csv,excluded,Curve max time 165.1h < 200.0h (curve too short),79,,,164.43654585817188,79,82.21827292908594,x_time_day,10.1002/advs.201700025,Fig7,Series_2,days
x_time_day/10.1002_advs.201801715/Fig5_A_sem_image_stability_performance_curve_pce/10.1002_advs.201801715__Fig5__A__sem_image_stability_performance_curve_pce__Control__Series_1.csv,included,OK,52,1.0007567476236672,0.5931758670729309,196.68944132133834,29,98.34472066066917,x_time_day,10.1002/advs.201801715,Fig5_A,Series_1,days
x_time_day/10.1002_advs.202004662/Fig5_A_stability_performance_curve_pce/10.1002_advs.202004662__Fig5__A__stability_performance_curve_pce__pristine_TiO₂__Series_2.csv,excluded,"Too few unique time points (3) in [0,200]h window (data spans 71% of window)",38,,,141.3869963379114,3,70.6934981689557,x_time_day,10.1002/advs.202004662,Fig5_A,Series_2,days
x_time_day/10.1002_advs.202101418/Fig5_A_stability_performance_curve_pce/10.1002_advs.202101418__Fig5__A__stability_performance_curve_pce__W_o_Ti₃C2C1x__Series_1.csv,included,OK,22,0.9995074662377987,0.8957043694726056,188.9725322730914,13,94.4862661365457,x_time_day,10.1002/advs.202101418,Fig5_A,Series_1,days
x_time_day/10.1002_aenm.201501354/Fig9_C_stability_performance_curve/10.1002_aenm.201501354__Fig9__C__stability_performance_curve__Device_based_on_C-PbI₂__Series_1.csv,included,OK,50,0.992028174722042,0.8868243262869022,192.09723321930562,12,96.04861660965281,x_time_day,10.1002/aenm.201501354,Fig9_C,Series_1,days
x_time_day/10.1002_aenm.201502206/Fig7_A_pce/10.1002_aenm.201502206__Fig7__A__pce__S1__Series_1.csv,included,OK,79,16.412487364496435,0.8503845439041704,197.24083813568166,65,98.62041906784083,x_time_day,10.1002/aenm.201502206,Fig7_A,Series_1,days
x_time_day/10.1002_aenm.201502206/Fig7_A_pce/10.1002_aenm.201502206__Fig7__A__pce__S3__Series_2.csv,included,OK,81,15.632553086470814,0.8412001129809823,197.24083813568163,66,98.62041906784081,x_time_day,10.1002/aenm.201502206,Fig7_A,Series_2,days
x_time_day/10.1002_aenm.201602556/Fig7_A_stability_performance_curve/10.1002_aenm.201602556__Fig7__A__stability_performance_curve__doped_Spiro-OMeTAD__Series_1.csv,included,OK,69,17.796818719076256,0.9420526713187349,196.26683222796333,20,98.13341611398167,x_time_day,10.1002/aenm.201602556,Fig7_A,Series_1,days
x_time_day/10.1002_aenm.201700226/Fig4_A_stability_performance_curve_pce/10.1002_aenm.201700226__Fig4__A__stability_performance_curve_pce__★1-TiO2__Series_3.csv,excluded,Curve max time 107.5h < 200.0h (curve too short),44,,,107.49635358905505,44,53.748176794527524,x_time_day,10.1002/aenm.201700226,Fig4_A,Series_3,days
x_time_day/10.1002_aenm.201700683/Fig5_A_stability_performance_curve_pce/10.1002_aenm.201700683__Fig5__A__stability_performance_curve_pce__Spiro-OMeTAD__Series_1.csv,included,OK,68,1.0294159515486225,0.8997856670161454,193.72213708645444,13,96.86106854322722,x_time_day,10.1002/aenm.201700683,Fig5_A,Series_1,days
x_time_day/10.1002_aenm.201702934/Fig4_A_stability_performance_curve/10.1002_aenm.201702934__Fig4__A__stability_performance_curve__ZnO__Series_2.csv,excluded,"Too few unique time points (4) in [0,200]h window (data spans 89% of window)",29,,,178.3822477982921,4,89.19112389914605,x_time_day,10.1002/aenm.201702934,Fig4_A,Series_2,days
x_time_day/10.1002_aenm.201702960/Fig5_F_stability_performance_curve/10.1002_aenm.201702960__Fig5__F__stability_performance_curve__Pristine__Series_1.csv,included,OK,53,1.0196942480117726,0.9267319457983502,187.32599613261215,15,93.66299806630607,x_time_day,10.1002/aenm.201702960,Fig5_F,Series_1,days
x_time_day/10.1002_aenm.201703392/Fig6_C_stability_performance_curve/10.1002_aenm.201703392__Fig6__C__stability_performance_curve__Reference__Series_1.csv,included,OK,75,1.0318698421537067,0.828334842895591,191.42033416887006,17,95.71016708443503,x_time_day,10.1002/aenm.201703392,Fig6_C,Series_1,days
x_time_day/10.1002_aenm.201800275/Fig4_D_stability_performance_curve_pce/10.1002_aenm.201800275__Fig4__D__stability_performance_curve_pce__Reference__Series_2.csv,excluded,"Too few unique time points (5) in [0,200]h window (data spans 83% of window)",53,,,165.6490395314749,5,82.82451976573745,x_time_day,10.1002/aenm.201800275,Fig4_D,Series_2,days
x_time_day/10.1002_aenm.201800715/Fig6_D_stability_performance_curve_pce/10.1002_aenm.201800715__Fig6__D__stability_performance_curve_pce__W_OAQ310__Series_1.csv,included,OK,51,1.0082726964782032,0.8418505130024794,198.76535966886317,22,99.38267983443158,x_time_day,10.1002/aenm.201800715,Fig6_D,Series_1,days
x_time_day/10.1002_aenm.201803587/Fig5_D_stability_performance_curve_pce_eqe/10.1002_aenm.201803587__Fig5__D__stability_performance_curve_pce_eqe__Reference__Series_1.csv,excluded,"Too few unique time points (6) in [0,200]h window (data spans 86% of window)",64,,,171.71313913312756,6,85.85656956656378,x_time_day,10.1002/aenm.201803587,Fig5_D,Series_1,days
