curve_id,raw_cluster_id,som_node_x,som_node_y,bmu_distance,max_pce_0_200h,pce_norm_t0,pce_norm_t10,pce_norm_t50,pce_norm_t100,pce_norm_t150,pce_norm_t200,peak_time_h,qc_status
x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce__Control__Series_1.csv,0,0,0,0.9949228508186331,0.9993588442620445,0.9993584636102337,0.9938473382216254,0.9627410013457064,0.92573324569133,0.8999052654403544,0.876837656208756,0.0,included
x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce__PCBM__Series_2.csv,0,0,0,0.48867675729593113,1.0042162176987541,0.9998647347028937,0.9978387080354257,0.9736585374690214,0.9503729179295133,0.9219919278830435,0.9064651985415073,0.0,included
x_time_day/10.1002_adma.201700607/Fig2_F_stability_performance_curve_pce/10.1002_adma.201700607__Fig2__F__stability_performance_curve_pce__ICBA-mixture__Series_1.csv,0,0,0,1.0834188205028756,14.344180601969105,0.9908213142066443,0.995778584484185,0.9987276716812391,0.9800359834318007,0.9647470142074492,0.9615361329229828,42.333333333333336,included
x_time_day/10.1002_adma.201706975/Fig4_A_stability_performance_curve/10.1002_adma.201706975__Fig4__A__stability_performance_curve__TiO2__Series_2.csv,2,1,0,1.4497966371236655,11.921132097689918,0.9991918256108505,0.9949817686483381,0.9709551552876798,0.9052967665693267,0.8211425681075594,0.7430745669012496,0.0,included
x_time_day/10.1002_adma.201900605/Fig5_F_stability_performance_curve_pce/10.1002_adma.201900605__Fig5__F__stability_performance_curve_pce__CsPbl__Series_2.csv,2,1,0,1.5047844505208345,1.0041416395237504,0.9994789975640259,0.9947881503141708,0.9637411019350004,0.9056569388149359,0.8013241114615139,0.7005805394226411,0.0,included
x_time_day/10.1002_adma.201902902/Fig6_D_stability_performance_curve_pce/10.1002_adma.201902902__Fig6__D__stability_performance_curve_pce__1TSnO₂__Series_1.csv,0,0,0,1.7420661863071656,0.996758014034471,0.9991200630015538,0.9998555613248341,0.9989916269207978,0.998000108687283,0.9971237445198228,0.9950307903752725,15.333333333333334,included
x_time_day/10.1002_adma.201907864/Fig1_F_stability_performance_curve_pce/10.1002_adma.201907864__Fig1__F__stability_performance_curve_pce__1%_H₂O__Series_3.csv,0,0,0,1.225763257285643,1.0005188959643325,0.9998532541521605,0.9986756434422848,0.9933782172115835,0.9867564344232069,0.9784308600284527,0.9636052784644857,0.0,included
x_time_day/10.1002_adma.201907864/Fig1_F_stability_performance_curve_pce/10.1002_adma.201907864__Fig1__F__stability_performance_curve_pce__Reference__Series_2.csv,0,0,0,1.0201843130672166,1.0050737635685887,0.9996319134092143,0.996927249952104,0.9911403077153977,0.9804307161070541,0.9672471687001077,0.9569640017226898,0.0,included
x_time_day/10.1002_admi.201900939/Fig11_D_pce/10.1002_admi.201900939__Fig11__D__pce__Standard__Series_2.csv,0,0,0,0.815428124046748,0.9987181876360735,0.9995156115348801,0.9953398987522978,0.9525666944212081,0.9322412354256228,0.90833166268204,0.8839914929453653,0.0,included
x_time_day/10.1002_admi.202101463/Fig7_B_stability_performance_curve_pce/10.1002_admi.202101463__Fig7__B__stability_performance_curve_pce__Pristine__Series_1.csv,0,0,0,0.6080901933639832,1.0024705108445546,0.9994947596120707,0.9946895428956863,0.967912378840183,0.9488357574117264,0.9348676314733476,0.8727897956711861,0.0,included
x_time_day/10.1002_advs.201801715/Fig5_A_sem_image_stability_performance_curve_pce/10.1002_advs.201801715__Fig5__A__sem_image_stability_performance_curve_pce__Control__Series_1.csv,2,1,0,2.2283916525114518,1.0007567476236672,1.0000330616632642,0.9939270382534349,0.9592477350109329,0.8706080665645192,0.7434207054443733,0.5920481889437492,0.0,included
x_time_day/10.1002_advs.202101418/Fig5_A_stability_performance_curve_pce/10.1002_advs.202101418__Fig5__A__stability_performance_curve_pce__W_o_Ti₃C2C1x__Series_1.csv,0,0,0,0.793700595735872,0.9995074662377987,0.9977001463230522,0.9808825106291508,0.9433472134595635,0.9279403387463212,0.9101224766392957,0.89570436947257,0.0,included
x_time_day/10.1002_aenm.201501354/Fig9_C_stability_performance_curve/10.1002_aenm.201501354__Fig9__C__stability_performance_curve__Device_based_on_C-PbI₂__Series_1.csv,0,0,0,0.6777778039693544,0.992028174722042,0.9995413659709851,0.9958609051434151,0.9773956997073941,0.9472213116200268,0.9157979902826834,0.886824326286867,0.0,included
x_time_day/10.1002_aenm.201502206/Fig7_A_pce/10.1002_aenm.201502206__Fig7__A__pce__S1__Series_1.csv,0,0,0,1.0169107820628347,16.412487364496435,0.9929509062634472,0.9878940769171727,0.9368783351025197,0.9283873939934608,0.9402633714379663,0.925095145609969,5.0,included
x_time_day/10.1002_aenm.201502206/Fig7_A_pce/10.1002_aenm.201502206__Fig7__A__pce__S3__Series_2.csv,0,0,0,1.3388964697664085,15.632553086470814,0.9973592277426645,0.9767091011509025,0.9515043417864132,0.9053891360751866,0.9230319871499684,0.8972554112899015,0.0,included
x_time_day/10.1002_aenm.201602556/Fig7_A_stability_performance_curve/10.1002_aenm.201602556__Fig7__A__stability_performance_curve__doped_Spiro-OMeTAD__Series_1.csv,0,0,0,0.5839133639168601,17.796818719076256,0.9992856818021665,0.992560299060335,0.9581824716933132,0.9672680314100337,0.9585764902185312,0.9419569588380284,0.0,included
x_time_day/10.1002_aenm.201700683/Fig5_A_stability_performance_curve_pce/10.1002_aenm.201700683__Fig5__A__stability_performance_curve_pce__Spiro-OMeTAD__Series_1.csv,0,0,0,0.4595538210323571,1.0294159515486225,0.9973672720480075,0.981517922672581,0.9822375384173441,0.9502785425174138,0.9277181250742434,0.8997856670161095,0.0,included
x_time_day/10.1002_aenm.201702960/Fig5_F_stability_performance_curve/10.1002_aenm.201702960__Fig5__F__stability_performance_curve__Pristine__Series_1.csv,0,0,0,0.679897578609167,1.0196942480117726,0.9948854986543403,0.9984105257039307,0.991712705487408,0.9700429776646392,0.9405910932632751,0.9267319457983132,20.833333333333332,included
x_time_day/10.1002_aenm.201703392/Fig6_C_stability_performance_curve/10.1002_aenm.201703392__Fig6__C__stability_performance_curve__Reference__Series_1.csv,2,1,0,1.7030677387487303,1.0318698421537067,0.9993883703734575,0.993821030198249,0.9560913502022276,0.9046966589166658,0.8507586160752971,0.8283348428955579,0.0,included
x_time_day/10.1002_aenm.201800715/Fig6_D_stability_performance_curve_pce/10.1002_aenm.201800715__Fig6__D__stability_performance_curve_pce__W_OAQ310__Series_1.csv,0,0,0,1.3476632762277845,1.0082726964782032,0.9998561818742567,0.9996648491267193,0.9756367634215319,0.9320628401681369,0.8884889169147417,0.8420304830613892,5.333333333333333,included
x_time_day/10.1002_aenm.201803766/Fig4_F_stability_performance_curve_pce/10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__Control__Series_1.csv,0,0,0,1.1712396083114558,0.9964861350666582,0.9998888432022087,0.999823977911976,0.9938479433643369,0.9858425700004688,0.9744703516506311,0.9591275629672055,5.5,included
