curve_id,selected,exclusion_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,is_absolute_pce_percent,n_unique_points,x_min_original,x_max_original,duration_hours,y_min_original,y_max_original,time_of_global_max_hours,top10_points_after_200h,matrix_row,som_neuron_id,som_neuron_x,som_neuron_y,paper_shape_label
图片159_41ff697bee,True,,lab-v2/som_references/accepted/samples_test/图片159/accepted/samples_test__unknown__unknown__图片159__MeO-2PACz__Series_2.csv,图片159,samples_test__unknown__unknown__图片159__MeO-2PACz__Series_2,Time,(hours),Normalized PCE,,1.0,False,35,4.594860112949775,483.59810507257464,479.00324495962485,0.7893093046607151,1.001554011630076,0.0,0.0,38,3,1,1,slow_exponential_decay
图片159_c223572492,True,,lab-v2/som_references/accepted/samples_test/图片159/accepted/samples_test__unknown__unknown__图片159__PTAA__Series_1.csv,图片159,samples_test__unknown__unknown__图片159__PTAA__Series_1,Time,(hours),Normalized PCE,,1.0,False,35,4.594860112949775,483.59810507257464,479.00324495962485,0.9501007493344736,1.0031619260768136,0.0,0.0,39,2,1,0,initial_gain
图片160_68218de2a7,True,,lab-v2/som_references/accepted/samples_test/图片160/accepted/samples_test__unknown__unknown__图片160__Series_1__Series_1.csv,图片160,samples_test__unknown__unknown__图片160__Series_1__Series_1,Time,hour,Normalized PCE,,1.0,False,34,9.31415078713087,984.9339707348988,975.619819947768,0.735572056842688,1.0145086489612,0.0,3.0,40,2,1,0,initial_gain
图片160_d690ea710f,True,,lab-v2/som_references/accepted/samples_test/图片160/accepted/samples_test__unknown__unknown__图片160__Series_2__Series_2.csv,图片160,samples_test__unknown__unknown__图片160__Series_2__Series_2,Time,hour,Normalized PCE,,1.0,False,34,-2.5115440001147817,973.1082759476532,975.619819947768,0.9202733137860268,1.0032004087401791,0.0,3.0,41,2,1,0,initial_gain
图片162_44a16a7876,True,,lab-v2/som_references/accepted/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_3__Series_3.csv,图片162,samples_test__unknown__unknown__图片162__Series_3__Series_3,Time,(h),Normal. PCE,,1.0,False,75,12.599112956488852,1469.348785907515,1456.7496729510262,0.9870850847104292,1.038772972367921,0.0,1.0,42,2,1,0,initial_gain
图片162_d2a80a5e00,True,,lab-v2/som_references/accepted/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_1__Series_1.csv,图片162,samples_test__unknown__unknown__图片162__Series_1__Series_1,Time,(h),Normal. PCE,,1.0,False,76,6.693371039119853,1483.1288503813762,1476.4354793422563,0.1988447979336783,0.9655484648531408,0.0,0.0,43,0,0,0,medium_exponential_decay
图片162_d9ab854a2e,True,,lab-v2/som_references/accepted/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_2__Series_2.csv,图片162,samples_test__unknown__unknown__图片162__Series_2__Series_2,Time,(h),Normal. PCE,,1.0,False,75,10.630532317365862,1467.380205268392,1456.7496729510262,0.853558041595242,1.0215436764820904,0.0,0.0,44,3,1,1,slow_exponential_decay
图片163_9302500777,True,,lab-v2/som_references/accepted/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Target__Series_2.csv,图片163,samples_test__unknown__unknown__图片163__Target__Series_2,Time,(h),SPO,(Normalized),1.0,False,91,6.954032504339352,1420.1006127007795,1413.14658019644,0.8774773664379666,0.9894282157893092,0.0,0.0,45,3,1,1,slow_exponential_decay
图片163_c3cef6f5fd,True,,lab-v2/som_references/accepted/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Control__Series_1.csv,图片163,samples_test__unknown__unknown__图片163__Control__Series_1,Time,(h),SPO,(Normalized),1.0,False,38,2.2435439036845537,583.2038046511099,580.9602607474253,0.4960152130926515,0.9769892325280488,0.0,0.0,46,0,0,0,medium_exponential_decay
图片16_92ce9de464,True,,lab-v2/som_references/accepted/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_1__Series_1.csv,图片16,samples_test__unknown__unknown__图片16__Series_1__Series_1,Time,(h),Maximum output power,(Norm.),1.0,False,45,1.00533184798536,630.5673563733723,629.562024525387,0.4969494785909033,0.910939232475203,0.0,0.0,47,0,0,0,medium_exponential_decay
图片16_a271af3c1b,True,,lab-v2/som_references/accepted/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_3__Series_3.csv,图片16,samples_test__unknown__unknown__图片16__Series_3__Series_3,Time,(h),Maximum output power,(Norm.),1.0,False,50,1.00533184798536,702.1084955239844,701.1031636759991,0.854228307285573,1.013018897816537,0.0,0.0,48,3,1,1,slow_exponential_decay
图片16_d266b445b6,True,,lab-v2/som_references/accepted/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_2__Series_2.csv,图片16,samples_test__unknown__unknown__图片16__Series_2__Series_2,Time,(h),Maximum output power,(Norm.),1.0,False,46,-1.856313718039118,642.0139386374702,643.8702523555094,0.3608432581357911,0.6557400691218677,0.0,2.0,49,0,0,0,medium_exponential_decay
图片172_1500c740de,True,,lab-v2/som_references/accepted/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_3__Series_3.csv,图片172,samples_test__unknown__unknown__图片172__Series_3__Series_3,Time (h),(h),PCE (Norm.),(Norm.),1.0,False,66,1.5251846826665698,256.6136645614115,255.08847987874492,0.923332192820101,1.0046883691898525,0.0,0.0,50,3,1,1,slow_exponential_decay
图片17_9cc1fbc4c1,True,,lab-v2/som_references/accepted/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_1__Series_1.csv,图片17,samples_test__unknown__unknown__图片17__Series_1__Series_1,Time,(h),Stabilized output power,(Norm.),1.0,False,50,13.195846694149822,1144.3429396772715,1131.1470929831216,0.972829842612897,1.0592242921721722,69.25390365202787,6.0,51,2,1,0,initial_gain
图片17_b497897586,True,,lab-v2/som_references/accepted/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_2__Series_2.csv,图片17,samples_test__unknown__unknown__图片17__Series_2__Series_2,Time,(h),Stabilized output power,(Norm.),1.0,False,51,10.887383239082226,1165.11911077288,1154.2317275337978,0.7597235337000181,1.0189068823778438,0.0,1.0,52,3,1,1,slow_exponential_decay
图片180_d5cbad9ce6,True,,lab-v2/som_references/accepted/samples_test/图片180/accepted/samples_test__unknown__unknown__图片180__Target__Series_2.csv,图片180,samples_test__unknown__unknown__图片180__Target__Series_2,Time,(h),Normalized PCE,,1.0,False,59,2.043336606926232,398.8132659996657,396.76992939273947,0.9088374045400684,1.0078332453682617,0.0,0.0,53,3,1,1,slow_exponential_decay
图片184_507faa5323,True,,lab-v2/som_references/accepted/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__Pristine__Series_1.csv,图片184,samples_test__unknown__unknown__图片184__Pristine__Series_1,Time,( h),PCE,( %),1.0,True,37,5.339275632622417,748.3522754651981,743.0129998325757,0.4156896022340947,0.9792750653424016,0.0,2.0,54,2,1,0,initial_gain
图片184_6dd94ccd86,True,,lab-v2/som_references/accepted/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__OCT-doped__Series_2.csv,图片184,samples_test__unknown__unknown__图片184__OCT-doped__Series_2,Time,( h),PCE,( %),1.0,True,48,9.467125631692284,1000.1511254084596,990.6839997767673,0.9351683769252296,1.0086795242871829,0.0,0.0,55,2,1,0,initial_gain
图片190_46e98c994b,True,,lab-v2/som_references/accepted/samples_test/图片190/accepted/samples_test__unknown__unknown__图片190__Control__Series_1.csv,图片190,samples_test__unknown__unknown__图片190__Control__Series_1,Time,(h),PCE,(%),1.0,True,26,-9.840442929851548,702.4925430205868,712.3329859504383,17.205646113178055,18.697217330095683,0.0,2.0,56,3,1,1,slow_exponential_decay
图片193_0c17e012f8,True,,lab-v2/som_references/accepted/samples_test/图片193/accepted/samples_test__unknown__unknown__图片193__Series_1__Series_1.csv,图片193,samples_test__unknown__unknown__图片193__Series_1__Series_1,Time,(hr),PCE,(%),1.0,True,40,-2.763894833864484,443.4409561379175,446.204850971782,10.25509419331358,15.70206810464778,0.0,0.0,57,0,0,0,medium_exponential_decay
图片197_80552e30c2,True,,lab-v2/som_references/accepted/samples_test/图片197/accepted/samples_test__unknown__unknown__图片197__1.40M（8_1）__Series_2.csv,图片197,samples_test__unknown__unknown__图片197__1.40M（8_1）__Series_2,Time,(h),PCE,(%),1.0,True,39,-6.900447957970613,506.6455585033655,513.5460064613361,20.558155493831684,22.16965578519197,67.57184295543897,0.0,58,2,1,0,initial_gain
图片197_d52078c7d4,True,,lab-v2/som_references/accepted/samples_test/图片197/accepted/samples_test__unknown__unknown__图片197__0.74M(16_1)__Series_1.csv,图片197,samples_test__unknown__unknown__图片197__0.74M(16_1)__Series_1,Time,(h),PCE,(%),1.0,True,38,-6.900447957970613,493.13118991227776,500.03163787024835,21.6202806858646,23.231780977224886,162.17242309305354,0.0,59,2,1,0,initial_gain
图片19_357d04a2ef,True,,lab-v2/som_references/accepted/samples_test/图片19/accepted/samples_test__unknown__unknown__图片19__PCE24.7%@t=0__Series_2.csv,图片19,samples_test__unknown__unknown__图片19__PCE24.7%@t=0__Series_2,Time,(h),Normalized PCE,,1.0,False,31,13.075490699536488,1001.3316781661648,988.2561874666283,0.9816149687928072,1.00180362596591,32.94187291555431,3.0,60,2,1,0,initial_gain
图片19_b6c1315f5c,True,,lab-v2/som_references/accepted/samples_test/图片19/accepted/samples_test__unknown__unknown__图片19__SAM__Series_1.csv,图片19,samples_test__unknown__unknown__图片19__SAM__Series_1,Time,(h),Normalized PCE,,1.0,False,31,-3.395445758240669,984.860741708388,988.2561874666287,0.8421297010513698,0.999968293495628,0.0,3.0,61,2,1,0,initial_gain
图片202_029296e6ba,True,,lab-v2/som_references/accepted/samples_test/图片202/accepted/samples_test__unknown__unknown__图片202__WBGPSCs_with_YbOx__Series_2.csv,图片202,samples_test__unknown__unknown__图片202__WBGPSCs_with_YbOx__Series_2,Time,(h),PCE,(%),1.0,True,35,0.1150119331678638,490.42998444213384,490.314972508966,10.64729143125671,18.33935196833391,0.0,0.0,62,0,0,0,medium_exponential_decay
图片202_24972422a1,True,,lab-v2/som_references/accepted/samples_test/图片202/accepted/samples_test__unknown__unknown__图片202__WBG_PSCs_withBCP__Series_1.csv,图片202,samples_test__unknown__unknown__图片202__WBG_PSCs_withBCP__Series_1,Time,(h),PCE,(%),1.0,True,35,0.1150119331678638,490.42998444213384,490.314972508966,14.9206583962996,18.852156004139054,57.68411441281954,0.0,63,2,1,0,initial_gain
图片203_16a7222a72,True,,lab-v2/som_references/accepted/samples_test/图片203/accepted/samples_test__unknown__unknown__图片203__0--Control__Series_1.csv,图片203,samples_test__unknown__unknown__图片203__0--Control__Series_1,Time,(d),Normalized PCE,(%),24.0,False,46,0.3908676218915285,65.87078911965631,1571.5181159463548,0.3813378816781307,0.967976560051057,0.0,4.0,64,3,1,1,slow_exponential_decay
图片203_d202464f39,True,,lab-v2/som_references/accepted/samples_test/图片203/accepted/samples_test__unknown__unknown__图片203__DMPESI__Series_2.csv,图片203,samples_test__unknown__unknown__图片203__DMPESI__Series_2,Time,(d),Normalized PCE,(%),24.0,False,46,0.0998457485681303,65.57976724633292,1571.518115946355,0.94265402717165,1.0059603593701674,0.0,4.0,65,2,1,0,initial_gain
图片204_1ffdd0ff20,True,,lab-v2/som_references/accepted/samples_test/图片204/accepted/samples_test__unknown__unknown__图片204__Series_2__Series_2.csv,图片204,samples_test__unknown__unknown__图片204__Series_2__Series_2,Time,(h),Normalized Pmax,,1.0,False,41,-3.59674640981396,983.4649093909836,987.0616558007976,0.9232066344315848,1.005280520965078,48.14934906345354,2.0,66,2,1,0,initial_gain
图片204_6b1b2d067d,True,,lab-v2/som_references/accepted/samples_test/图片204/accepted/samples_test__unknown__unknown__图片204__Series_1__Series_1.csv,图片204,samples_test__unknown__unknown__图片204__Series_1__Series_1,Time,(h),Normalized Pmax,,1.0,False,42,1.2181884965313827,988.2798442973292,987.0616558007978,0.7795773329979716,1.0155397567817648,0.0,1.0,67,3,1,1,slow_exponential_decay
图片205_1de446d485,True,,lab-v2/som_references/accepted/samples_test/图片205/accepted/samples_test__unknown__unknown__图片205__Series_1__Series_1.csv,图片205,samples_test__unknown__unknown__图片205__Series_1__Series_1,Time,(h),PCE,(Normalized),1.0,False,54,-4.682881746365638,999.1515379238356,1003.8344196702012,0.5793394157995296,1.003249506871324,0.0,0.0,68,0,0,0,medium_exponential_decay
