time_hours,neuron_0_medium_exponential_decay,neuron_1_fast_exponential_decay,neuron_2_initial_gain,neuron_3_slow_exponential_decay
24.166666666666668,0.9176715298407981,0.9283575088274175,0.9930473693412192,0.9714885538931666
24.333333333333332,0.9172731470288583,0.9278413744598354,0.9930549788129667,0.9713609761544246
24.5,0.916876837742009,0.9273178084412779,0.9930624054988263,0.971234167692733
24.666666666666668,0.9164826117455006,0.9267867632586553,0.9930696431863534,0.9711081363119258
24.833333333333332,0.9160904752675137,0.9262482160441249,0.9930766852791498,0.9709828886132477
25.0,0.9157004290154305,0.9257021690275132,0.9930835248352168,0.9708584353699111
25.166666666666668,0.9153124650906992,0.9251486499946721,0.9930901546739531,0.9707348041939413
25.333333333333332,0.9149265721939226,0.9245877127517699,0.9930965675471262,0.970612020567777
25.5,0.9145427353188187,0.9240194375955179,0.9931027562873709,0.9704901061461819
25.666666666666668,0.9141609360840548,0.9234439317893314,0.9931087158052501,0.9703690838735467
25.833333333333332,0.9137811534249846,0.9228613300454267,0.9931144425330543,0.9702489829514773
26.0,0.9134033628145201,0.9222717950128508,0.993119933139593,0.9701298286407182
26.166666666666668,0.9130275364092731,0.9216755177714487,0.9931251846207614,0.9700116417625247
26.333333333333332,0.9126536438380114,0.9210727183317644,0.9931301949368231,0.9698944401374614
26.5,0.9122816520935664,0.9204636461408763,0.9931349623372286,0.9697782374325067
26.666666666666668,0.9119115251242346,0.9198485805941692,0.9931394851816499,0.9696630439627073
26.833333333333332,0.9115432215253834,0.9192278315530392,0.9931437617483675,0.9695488714209834
27.0,0.9111766945307465,0.9186017398685351,0.9931477903413659,0.9694357411853946
27.166666666666668,0.9108118947788043,0.9179706779109353,0.9931515694560354,0.9693236781520288
27.333333333333332,0.9104487719407743,0.9173350501052564,0.9931550976951383,0.9692127074993441
27.5,0.910087272629415,0.9166952934727016,0.9931583738132679,0.9691028534520303
27.666666666666668,0.9097273406445017,0.9160518781780391,0.9931613972633487,0.9689941393529214
27.833333333333332,0.9093689173427735,0.9154053080829203,0.9931641682457578,0.9688865792640107
28.0,0.9090119420016675,0.9147561213051282,0.9931666872900693,0.9687801793752212
28.166666666666668,0.908656352418998,0.9141047409408215,0.9931689552628037,0.9686749427374758
28.333333333333332,0.9083020860531871,0.9134513842547793,0.9931709733745625,0.9685708684394515
28.5,0.9079490803946193,0.9127962618709639,0.9931727431865454,0.9684679541865499
28.666666666666668,0.9075972802161822,0.9121395804377674,0.9931742666164504,0.9683661934126919
28.833333333333332,0.9072466463572709,0.9114815432821936,0.9931755459437605,0.9682655688665288
29.0,0.9068971399880869,0.910822351108557,0.9931765838144075,0.9681660613486356
29.166666666666668,0.9065487180002599,0.9101622027417052,0.9931773833551992,0.9680676490738415
29.333333333333332,0.9062013384830525,0.9095012959147541,0.9931779485933933,0.9679703051332091
29.5,0.9058549626060348,0.9088398281013489,0.9931782840830526,0.9678739989850653
29.666666666666668,0.9055095529734156,0.9081779973924394,0.9931783948494983,0.967778699666464
29.833333333333332,0.9051650735877478,0.907515991020837,0.9931782861032041,0.9676843809243377
30.0,0.904821489920002,0.9068539002600561,0.9931779623712492,0.9675910150646213
