curve_id,source_path,relative_path,source_sha256,figure,x_name,x_unit,y_name,y_unit,axis_status,hours_factor,n_points,invalid_points,duplicate_x_points,x_min,x_max,duration_h,y_min,y_max,relative_y_range,constant_y,primary_cluster,maxabs_cluster,zscore_cluster,dtw_0_cluster,dtw_0.25_cluster,dtw_1_cluster,msm_0.01_cluster,msm_0.1_cluster
C033,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片125/accepted/samples_test__unknown__unknown__图片125__Series_2__Series_2.csv,图片125/accepted/samples_test__unknown__unknown__图片125__Series_2__Series_2.csv,754742ee9f66ee012bece9a3bb4f0cfe0bf1d2bbb9722655cace84770f0c1fbc,图片125,,,,,unknown,,58,0,0,-0.1572749862391091,237.5465967553603,,21.642395063707845,22.46449899168054,0.0365956938668942,False,2,1,5,1,2,1,4,1
C034,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_1__Series_1.csv,图片127/accepted/samples_test__unknown__unknown__图片127__Series_1__Series_1.csv,a5832d7e04d287bb4a923ec4642bce5a863f4c308786be575edd6f931363cdc2,图片127,Time,(h),Normal. PCE,,time_verified,1.0,37,0,0,-4.991519542108733,2113.1616469400055,2118.153166482114,0.8012949978805606,0.9994029917913064,0.1982263366609116,False,4,2,2,2,1,3,1,4
C035,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_2__Series_2.csv,图片127/accepted/samples_test__unknown__unknown__图片127__Series_2__Series_2.csv,44483d7df3103f42ca3ca3503e712968a8a388e4ff90a7b751bb8b575e2e9d64,图片127,Time,(h),Normal. PCE,,time_verified,1.0,37,0,0,-4.991519542108733,2113.1616469400055,2118.153166482114,0.8673309958508091,1.0028785706318455,0.1351585114593056,False,3,1,3,2,4,2,6,4
C036,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_3__Series_3.csv,图片127/accepted/samples_test__unknown__unknown__图片127__Series_3__Series_3.csv,f3141d0a9372b13bbf59d230c3ee9bd9bf14bce542c9c4392dc909a08fdabcd7,图片127,Time,(h),Normal. PCE,,time_verified,1.0,37,0,0,0.8922392536749157,2119.0454057357892,2118.153166482114,0.537151005999566,0.9855006764291488,0.4549460808633106,False,4,3,2,2,1,3,6,4
C037,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2.csv,图片132/accepted/samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2.csv,8794b6739168f06fc7fd42de4964162b1b603e33619400fd5da97aacbd45bfcf,图片132,Time,(h),Normalized PCE,,time_verified,1.0,43,0,0,-1.7066469765924523,984.5536721357128,986.2603191123052,0.8023489318802772,1.0018484138687491,0.1991314047382502,False,3,2,2,2,4,2,6,4
C038,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__Sn_{$__Series_1.csv,图片132/accepted/samples_test__unknown__unknown__图片132__Sn_{$__Series_1.csv,ad7a52320debc20c1d60571fa1df38dfed157f6d2fe8c6e4f4449923f2416626,图片132,Time,(h),Normalized PCE,,time_verified,1.0,43,0,0,-1.7066469765924523,984.5536721357128,986.2603191123052,0.5007799474790984,0.992569368194867,0.4954710839103969,False,3,3,3,2,4,2,6,3
C039,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片133/accepted/samples_test__unknown__unknown__图片133__Bare_PVSK_film__Series_2.csv,图片133/accepted/samples_test__unknown__unknown__图片133__Bare_PVSK_film__Series_2.csv,bd32dad3d5d9c64336b1d500e366df184b801cd2241780f23dbe93ffce44a7de,图片133,Heating time,(h),PCE,(%),time_verified,1.0,28,0,0,0.8667943811706849,39.42068470727212,38.55389032610144,7.46032171373427,17.25570337850346,0.5676605264884146,False,4,4,1,2,1,3,1,4
C040,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片133/accepted/samples_test__unknown__unknown__图片133__PVSKfilm_with_PFI__Series_1.csv,图片133/accepted/samples_test__unknown__unknown__图片133__PVSKfilm_with_PFI__Series_1.csv,c115727ce2a222fef2c4b5de734f3629dafad272b906d1e9882881e9c4255ab3,图片133,Heating time,(h),PCE,(%),time_verified,1.0,28,0,0,1.152378753956622,39.70626908005806,38.55389032610144,18.87032672983904,19.946742297396092,0.0539644795881065,False,4,1,2,2,1,3,1,4
C041,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_1__Series_1.csv,图片134/accepted/samples_test__unknown__unknown__图片134__Series_1__Series_1.csv,c4e5cccb0c715c53ceea811a99c43682138144a28cd2870028cf97e5abe0382c,图片134,,,,,unknown,,47,0,3,4.2092142886893384,1172.71664021024,,0.9471009776834244,1.0824536559324494,0.125042469492543,False,2,1,4,3,2,1,1,1
C042,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_2__Series_2.csv,图片134/accepted/samples_test__unknown__unknown__图片134__Series_2__Series_2.csv,b2999a8ee7d9dbcc080135c5312a683dbfd884e17f5e7fb115f8ae0333394956,图片134,,,,,unknown,,39,0,0,25.94888732909027,1058.583356748135,,0.107220256240756,0.9679244666448128,0.8892266287963343,False,3,4,2,2,4,2,6,3
