curve_id,array_row,n_unique_points_0_200h,n_duplicate_points,max_support_gap_h,endpoint_bracket_time_h,akima_raw_knot_rmse,pchip_raw_knot_rmse,linear_raw_knot_rmse,akima_below_support_normalized,akima_above_support_normalized,pchip_below_support_normalized,pchip_above_support_normalized,linear_below_support_normalized,linear_above_support_normalized,akima_vs_pchip_rmse,pchip_vs_linear_rmse,akima_smoothing_rmse
x_time_h/10.1016_j.cej.2020.126152/Fig5_C_stability_performance_curve_2/accepted/10.1016_j.cej.2020.126152__Fig5__C__stability_performance_curve_2__Pristine__Series_2.csv,754,73,0,2.7506715492693843,200.79902309666147,0.0,0.0,0.0,0.00013384965271696903,0.0003257032931825622,0.0,0.0,0.0,0.0,0.0003175715070671058,0.00016342737728573334,0.00042111090016425605
x_time_h/10.1016_j.cej.2020.126548/Fig7_A_stability_performance_curve_pce/accepted/10.1016_j.cej.2020.126548__Fig7__A__stability_performance_curve_pce__Pristine__Series_1.csv,755,32,0,6.287456575089493,201.19861040286355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002018111919811717,0.00026036148952693166,0.0001441263083809997
x_time_h/10.1016_j.cej.2020.126548/Fig7_A_stability_performance_curve_pce/accepted/10.1016_j.cej.2020.126548__Fig7__A__stability_performance_curve_pce__UV-360__Series_2.csv,756,32,0,6.287456575089493,201.19861040286358,0.0,0.0,0.0,0.0,0.00041902445682696996,0.0,0.0,0.0,0.0,0.0004344596101718899,0.00023722220990094486,9.952578331790087e-05
x_time_h/10.1016_j.cej.2020.126712/Fig5_B_stability_performance_curve_pce_pattern/accepted/10.1016_j.cej.2020.126712__Fig5__B__stability_performance_curve_pce_pattern__F0__Series_2.csv,757,10,0,20.846957488807334,208.469574888073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025301350085816013,0.00024253445956734637,2.6829894284836865e-06
x_time_h/10.1016_j.cej.2020.127204/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.cej.2020.127204__Fig6__A__stability_performance_curve_pce__Pristine__Series_1.csv,758,11,0,18.48543242688737,203.3397566957608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013342495285263993,0.00021475518767190594,3.0878352144901533e-06
x_time_h/10.1016_j.cej.2020.127328/Fig2_F_stability_performance_curve_pce/accepted/10.1016_j.cej.2020.127328__Fig2__F__stability_performance_curve_pce__PSCs_with_pristine_HTM__Series_1.csv,759,10,0,21.038526080286317,210.38526080286317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007233515878996106,0.00276796739449428,4.0520169528479455e-05
x_time_h/10.1016_j.cej.2020.127579/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.cej.2020.127579__Fig6__A__stability_performance_curve_pce__control__Series_2.csv,760,28,0,7.348731776248883,205.76448973496764,0.0,0.0,0.0,0.0,0.00021420451357496528,0.0,0.0,0.0,0.0,0.00022544225575704164,0.00014193744937890385,4.6248434866761085e-05
x_time_h/10.1016_j.cej.2020.127997/Fig5_F_stability_performance_curve_pce/accepted/10.1016_j.cej.2020.127997__Fig5__F__stability_performance_curve_pce__SnO₂__Series_1.csv,761,13,0,16.46796136091632,214.08349769191176,0.0,0.0,0.0,0.0,0.00016741830957719956,0.0,0.0,0.0,0.0,0.0001850391250699371,0.00010960492401294692,3.908938083197029e-06
x_time_h/10.1016_j.cej.2021.128680/Fig7_whole_stability/accepted/10.1016_j.cej.2021.128680__Fig7__whole__stability__SnO₂__Series_2.csv,762,17,0,12.351122397462007,209.9690807568537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020562894653220054,0.0002389858428454694,3.44359680338479e-05
x_time_h/10.1016_j.cej.2021.129678/Fig6_D_stability_performance_curve/accepted/10.1016_j.cej.2021.129678__Fig6__D__stability_performance_curve__10.0_0.0__Series_1.csv,763,24,0,8.381024384559922,201.14458522943735,0.0,0.0,0.0,0.003830912090717775,0.0005892439526421259,0.0,0.0,0.0,0.0,0.0017310122851667566,0.0014128015150715188,0.00017946807484786422
x_time_h/10.1016_j.cej.2021.130324/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.cej.2021.130324__Fig6__A__stability_performance_curve_pce__Pure_CsPbIBr₂__Series_2.csv,764,18,0,11.15901180412942,200.8622124743294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.832560505872838e-05,9.858717956954464e-05,1.1977802284530933e-05
x_time_h/10.1016_j.cej.2021.130572/Fig5_A_stability_performance_curve_pce/accepted/10.1016_j.cej.2021.130572__Fig5__A__stability_performance_curve_pce__O-_w_o_HEMA__Series_2.csv,765,14,0,15.256509829286244,213.59113761000705,0.0,0.0,0.0,0.0003383497354339126,0.00032963664087836813,0.0,0.0,0.0,0.0,0.0003515055478247004,0.00011163396130033886,3.0005087788768614e-06
x_time_h/10.1016_j.cej.2021.130572/Fig5_B_stability_performance_curve_pce/accepted/10.1016_j.cej.2021.130572__Fig5__B__stability_performance_curve_pce__w_o_HEMA__Series_1.csv,766,13,0,15.504759322758787,201.56187119586357,0.0,0.0,0.0,0.0,0.0010684045685038367,0.0,0.0,0.0,0.0,0.0011121208320251025,0.0007311031534367031,5.919918370541319e-06
x_time_h/10.1016_j.cej.2021.131185/Fig7_A_stability_performance_curve_plot/accepted/10.1016_j.cej.2021.131185__Fig7__A__stability_performance_curve_plot__3D__Series_1.csv,767,15,0,13.702255266022519,205.5338289903376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013110384700529436,0.0001877752094994383,1.2222506232296704e-05
x_time_h/10.1016_j.cej.2021.131185/Fig7_B_stability_performance_curve/accepted/10.1016_j.cej.2021.131185__Fig7__B__stability_performance_curve__3D__Series_3.csv,768,33,0,6.07520452701722,200.48174939156758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.095726222269645e-05,0.00013277384321180055,7.134927499600703e-05
x_time_h/10.1016_j.cej.2021.131499/Fig5_B_stability_performance_curve_pce/accepted/10.1016_j.cej.2021.131499__Fig5__B__stability_performance_curve_pce__planar-M_CcO__Series_1.csv,769,18,0,11.640337360590138,209.52607249062214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012554994689033358,0.0002770122858966492,1.987785602176873e-05
x_time_h/10.1016_j.cej.2021.131499/Fig5_C_stability_performance_curve_pce/accepted/10.1016_j.cej.2021.131499__Fig5__C__stability_performance_curve_pce__planar-M_cco__Series_1.csv,770,45,0,4.5210695726583765,203.44813076962612,0.0,0.0,0.0,0.0005347357979430652,0.0005681648425168695,0.0,0.0,0.0,0.0,0.0005609588293972748,0.00018980960257354421,0.0002708345165223244
